Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.12956928	0.016898695	0.18274513	0.07087321	16000	2.9802322e-08	0.005362686	-0.0065228315	-0.0044778897	1.3564423	0.005860341	0.048687503	127.0	35.96309018135071	0.26654562	0.13096544	0.6621893	0.095758826	0.0	0.0
1	500.0	0.068639554	0.012821769	0.10968334	0.035718948	32000	1.8626451e-09	0.0011303888	-0.007023769	-0.0004963025	1.3564423	0.0073167956	0.0641875	127.0	69.36441802978516	0.28900778	0.15122688	0.7140155	0.092219286	0.0	0.0
2	500.0	0.070432216	0.016201789	0.119098835	0.03507726	48000	-2.7939677e-08	0.0019879132	-0.010099703	-0.0009867509	1.3564423	0.00654694	0.086812496	127.0	102.60104846954346	0.4537376	0.1893878	0.86227524	0.16110608	0.0	0.0
3	500.0	0.08539441	0.019990854	0.1462333	0.008131802	64000	-7.450581e-09	0.00227158	-0.009346145	-0.0012509986	1.3564423	0.0065182312	0.0900625	127.0	136.15758895874023	0.52967083	0.23443027	1.5026757	0.20912294	0.0	0.0
4	500.0	0.13264517	0.027011959	0.23522094	0.048637234	80000	-3.7252903e-09	0.011398088	-0.01111073	-0.0067136907	1.3564423	0.009465115	0.1011875	127.0	170.99095344543457	1.0711775	0.36268792	1.848909	0.4578892	0.0	0.0
5	500.0	0.2471807	0.056829058	0.4380137	0.069211975	96000	-7.450581e-09	0.30251992	-0.00687315	-0.16785568	1.3564423	0.007618837	0.0728125	127.0	203.3344750404358	2.6542587	2.1530788	10.934623	0.54797703	0.0	0.0
6	500.0	0.67862296	0.28550136	1.5274589	-0.09303567	112000	-3.5390258e-08	1.0224726	-0.006551278	-0.5780986	1.3564423	0.006831275	0.0729375	127.0	237.02045822143555	5.516906	3.627162	15.906934	1.3651007	0.0	0.0
7	500.0	1.5510697	0.8031553	3.4641838	-0.18245684	128000	-3.1664968e-08	1.8513246	-0.008872091	-0.8109473	1.3564423	0.007412437	0.08075	127.0	269.65238094329834	9.394711	4.838332	19.133335	0.807878	0.0	0.0
8	500.0	2.4652379	1.2095771	4.711363	-0.24348703	144000	-3.7252903e-09	1.78439	-0.0077805724	-0.93191016	1.3564423	0.0079300115	0.068625	127.0	303.5159902572632	12.895739	4.838171	20.22663	1.8184264	0.0	0.0
9	500.0	3.7899187	1.8087895	6.540318	-0.50994575	160000	1.1175871e-08	1.630977	-0.009022906	-0.5589709	1.3564423	0.0063842973	0.0791875	127.0	338.3673529624939	17.436798	4.107747	25.833574	8.563786	0.0	0.0
10	500.0	4.866892	1.8833843	7.166488	0.0082676895	176000	0.0	2.0697453	-0.008721877	-0.19050866	1.3564423	0.006704624	0.068937495	127.0	372.5166549682617	18.883015	5.5741086	31.882154	8.659817	0.0	0.0
11	500.0	5.2434473	1.6858387	7.1141644	0.4309805	192000	-2.7939677e-08	2.5343287	-0.008264509	-0.45991164	1.3564423	0.0060932343	0.0729375	127.0	406.6038417816162	23.909954	5.317924	37.14524	16.083864	0.0	0.0
12	500.0	5.8657403	1.5031068	7.342616	0.9648307	208000	2.2351742e-08	2.8898983	-0.0069567803	-0.13422725	1.3564423	0.0045321817	0.0524375	127.0	439.95403003692627	24.39818	6.8820796	44.23346	13.029657	0.0	0.0
13	500.0	5.9269533	1.3168321	7.2127595	1.3657779	224000	2.4214387e-08	3.0857878	-0.0074001593	-0.3722968	1.3564423	0.0064473804	0.0585	127.0	478.9565386772156	22.854374	6.3480225	37.617096	12.955977	0.0	0.0
14	500.0	5.5118027	1.0064108	6.6077423	1.2820735	240000	0.0	3.4728975	-0.006153621	-0.504482	1.3564423	0.004547297	0.0449375	127.0	515.9938514232635	26.909529	6.850995	41.906567	12.793661	0.0	0.0
15	500.0	6.107799	1.1275251	7.3204045	1.3539153	256000	2.6077032e-08	3.2346385	-0.0066796895	-0.46970245	1.3564423	0.0045119943	0.045875	127.0	553.1275448799133	26.768711	7.348359	42.648346	16.369085	0.0	0.0
16	500.0	6.247213	1.4224868	7.838719	0.22055851	272000	0.0	2.945388	-0.009417145	-0.5479661	1.3564423	0.006579957	0.063250005	127.0	587.3330690860748	29.160255	7.4308357	42.71064	17.049412	0.0	0.0
17	500.0	6.4435987	1.2595962	8.321377	1.3392609	288000	-3.632158e-08	2.9077477	-0.008819785	-1.145359	1.3564423	0.008093329	0.073375	127.0	623.0913209915161	28.416426	7.9225855	46.198006	18.122856	0.0	0.0
18	500.0	6.4871073	1.5550078	9.082124	-0.03454235	304000	3.3527613e-08	2.7057471	-0.007286679	-0.9692866	1.3564423	0.008150853	0.071624994	127.0	661.9760468006134	31.72821	8.563598	49.04923	18.380127	0.0	0.0
19	500.0	7.124097	1.7262216	10.101219	1.8913643	320000	1.4901161e-08	1.7279117	-0.009742874	-0.5020939	1.3564423	0.0066634044	0.07987501	127.0	696.9176666736603	33.62829	6.943189	49.261913	24.103807	0.0	0.0
20	500.0	7.743136	1.7829423	10.433521	2.369513	336000	-1.4901161e-08	1.337189	-0.011564329	-0.246108	1.3564423	0.0064535835	0.087	127.0	731.6605949401855	35.666397	7.001762	48.32246	19.33871	0.0	0.0
21	500.0	8.489914	1.7241993	11.065274	2.6572835	352000	0.0	1.3450143	-0.010403747	-0.21447599	1.3564423	0.006817735	0.07412501	127.0	765.1219112873077	37.649452	5.4032993	47.816307	29.318853	0.0	0.0
22	500.0	8.663512	1.7781017	10.948816	2.8545313	368000	9.313226e-09	1.0267358	-0.010570131	-0.13195992	1.3564423	0.007038393	0.08231251	127.0	802.1657917499542	38.06969	6.213593	48.885204	22.347525	0.0	0.0
23	500.0	8.439143	1.6741359	10.874523	3.128466	384000	-5.5879354e-09	0.87439024	-0.01036969	-0.14763592	1.3564423	0.0060814433	0.083937496	127.0	835.8410279750824	37.87793	4.5515285	46.7106	27.221283	0.0	0.0
24	500.0	8.582466	1.5618652	10.881633	3.3352623	400000	0.0	0.8302444	-0.010600874	-0.19926259	1.3564423	0.008503189	0.084875	127.0	871.2452757358551	39.05493	3.9900227	46.97143	30.148487	0.0	0.0
25	500.0	8.828621	1.4590207	10.68401	3.523049	416000	1.4901161e-08	0.7988609	-0.009645933	-0.06703666	1.3564423	0.007062907	0.069375	127.0	909.3746294975281	40.246597	4.4981337	46.163254	29.566202	0.0	0.0
26	500.0	9.021018	1.4431424	10.699931	3.7083848	432000	0.0	0.8990698	-0.0111803785	-0.22738805	1.3564423	0.009036653	0.077437505	127.0	943.6543252468109	40.888824	4.7743835	46.327564	25.781647	0.0	0.0
