Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.12984668	0.016800059	0.18425216	0.069514714	16000	9.872019e-08	0.0061638094	-0.0067363437	-0.0051829703	1.3564423	0.0060884748	0.056125	127.0	42.10037016868591	0.23319305	0.14862725	0.69003934	0.076070316	0.0	0.0
1	500.0	0.06490355	0.014900322	0.113148734	0.027302876	32000	-5.5879354e-09	0.0011468297	-0.006182988	-0.00050520373	1.3564423	0.0068664863	0.0518125	127.0	78.72539734840393	0.27163807	0.14270669	0.6424736	0.09448018	0.0	0.0
2	500.0	0.06441317	0.010822334	0.107051745	0.030151982	48000	-1.1175871e-08	0.0019423976	-0.008623747	-0.0009194849	1.3564423	0.0067085708	0.07843751	127.0	122.87732672691345	0.41937202	0.21181749	1.0234053	0.11437835	0.0	0.0
3	500.0	0.07979492	0.024201382	0.1474794	0.014172208	64000	3.7252903e-08	0.0035592224	-0.008258708	-0.0015066055	1.3564423	0.0071036937	0.088	127.0	161.11946296691895	0.5755357	0.31221986	1.5475152	0.2160881	0.0	0.0
4	500.0	0.1429458	0.03684652	0.27310875	0.039394327	80000	-1.1175871e-08	0.014544213	-0.005932416	-0.0072854706	1.3564423	0.00850581	0.0805625	127.0	197.08963012695312	0.9707304	0.49408785	2.6289518	0.18368073	0.0	0.0
5	500.0	0.21713932	0.100417234	0.6724942	-0.016833954	96000	2.2351742e-08	0.36319387	-0.00648164	-0.22970584	1.3564423	0.008517187	0.0969375	127.0	235.5967516899109	1.9275743	2.597505	11.621333	0.4255559	0.0	0.0
6	500.0	0.44798273	0.46238345	2.520287	-0.21045744	112000	7.450581e-09	0.13224244	-0.009483081	-0.05749021	1.3564423	0.006185824	0.104937494	127.0	272.3258972167969	1.8548841	2.4383664	10.796604	0.3969991	0.0	0.0
7	500.0	0.8038445	0.9662922	4.456915	-0.3395618	128000	3.7252903e-09	0.96592313	-0.008174732	-0.41756645	1.3564423	0.008447507	0.0910625	127.0	309.42715859413147	4.306729	5.6989183	20.084503	0.50165313	0.0	0.0
8	500.0	1.5790617	1.7505448	6.426717	-0.6535804	144000	7.450581e-09	0.7503679	-0.009845423	-0.09030409	1.3564423	0.008595368	0.094375	127.0	347.1829323768616	5.2078505	6.716166	22.697876	0.41979054	0.0	0.0
9	500.0	2.7213492	2.0656335	6.778762	-0.669755	160000	1.4901161e-08	1.3386228	-0.008104045	-0.26957807	1.3564423	0.0054222303	0.0651875	127.0	383.4288067817688	8.051045	5.626811	20.641853	0.6986049	0.0	0.0
10	500.0	2.855234	2.0948837	6.4543424	-0.77828604	176000	-2.6077032e-08	1.5394516	-0.009202984	-0.4550479	1.3564423	0.009671141	0.0861875	127.0	418.6162061691284	12.039347	7.4623117	26.396492	0.6123723	0.0	0.0
11	500.0	3.9237893	2.0745738	7.0054574	-0.46804345	192000	-9.313226e-09	1.645401	-0.007835017	-0.43882966	1.3564423	0.006373984	0.0529375	127.0	456.05779790878296	13.020275	5.5396867	23.129637	0.69945145	0.0	0.0
12	500.0	3.5981302	1.7172629	6.577037	-0.5546965	208000	4.656613e-09	1.7314017	-0.0077202683	-0.31939605	1.3564423	0.005707971	0.062250003	127.0	494.10993671417236	13.072038	5.4023237	22.01536	0.74549484	0.0	0.0
13	500.0	3.680127	1.5361748	6.2722874	-0.5382747	224000	1.1175871e-08	1.7375305	-0.0074856766	-0.5693253	1.3564423	0.0057532685	0.0548125	127.0	532.0563623905182	12.845507	3.1247108	19.389668	5.2854776	0.0	0.0
14	500.0	3.4304137	1.0067132	5.198838	0.15505123	240000	1.1175871e-08	1.5406213	-0.0075450083	-0.22792292	1.3564423	0.0056908317	0.053	127.0	570.6408851146698	13.660593	2.9049578	18.95471	6.034727	0.0	0.0
