Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.008305996	0.028983584	0.09696579	-0.07138966	16000	-2.8871e-08	0.005202013	-0.007931229	-0.0029405975	1.3564423	0.008258691	0.0789375	127.0	38.46904373168945	0.35889152	0.22482622	1.1150688	0.08860929	0.0	0.0
1	500.0	0.065509506	0.024468655	0.16103554	-0.015362831	32000	-9.313226e-09	0.0038534554	-0.0076584	-0.0009262794	1.3564423	0.010153603	0.1098125	127.0	71.60906624794006	0.41867843	0.3101692	1.7592485	0.09209179	0.0	0.0
2	500.0	0.1062195	0.025507838	0.19290097	0.03584407	48000	-3.9115548e-08	0.019311491	-0.0072682314	-0.010183718	1.3564423	0.0070199175	0.0799375	127.0	105.84146046638489	1.0293667	0.5040677	2.0830836	0.30638412	0.0	0.0
3	500.0	0.1907277	0.07671241	0.43736058	-0.012931479	64000	1.4901161e-08	0.02088972	-0.008604121	-0.0057286667	1.3564423	0.0078050806	0.093125	127.0	141.08908700942993	1.2796154	0.69232595	3.3530657	0.29098764	0.0	0.0
4	500.0	0.30147466	0.08016739	0.5566825	-0.035597764	80000	-3.7252903e-09	0.10273205	-0.008131808	-0.05300371	1.3564423	0.007887419	0.0846875	127.0	202.14573407173157	2.3717582	1.5256913	7.3702908	0.7897907	0.0	0.0
5	500.0	0.63726634	0.14232878	1.0139278	0.1271226	96000	-1.8626451e-09	0.29289508	-0.009852133	-0.12049857	1.3564423	0.0068163294	0.0936875	127.0	250.20790100097656	4.50352	2.6299155	12.020852	1.5726669	0.0	0.0
6	500.0	1.1273938	0.2850073	1.9550271	0.10918786	112000	-9.313226e-09	0.9976768	-0.009927572	-0.46905628	1.3564423	0.007996	0.100375	127.0	291.14016222953796	8.010838	4.163458	17.339018	1.2849869	0.0	0.0
7	500.0	2.1960294	0.63133556	4.162844	-0.02954071	128000	1.4901161e-08	2.417905	-0.0106972065	-1.1459271	1.3564423	0.0068947356	0.096687496	127.0	333.472140789032	13.582453	6.3474298	26.497164	3.157982	0.0	0.0
8	500.0	3.5887933	1.1257694	6.193416	0.04582631	144000	0.0	2.004182	-0.0132673	-0.8886728	1.3564423	0.0078018373	0.11475	127.0	376.1748390197754	19.522646	4.6982117	29.832478	7.7122974	0.0	0.0
9	500.0	4.885037	1.2558318	7.0408344	0.43005025	160000	1.8626451e-08	1.8334876	-0.01023974	-0.31890738	1.3564423	0.0069016125	0.081250004	127.0	417.1186692714691	22.645184	4.840039	36.562263	13.941759	0.0	0.0
10	500.0	5.700288	1.4143403	7.5964775	0.61106783	176000	1.3038516e-08	2.444581	-0.008272925	-0.3866659	1.3564423	0.0072648497	0.066625	127.0	455.3306028842926	23.60846	5.5204334	40.47207	13.390699	0.0	0.0
11	500.0	5.8912168	1.0161549	7.045875	1.5170879	192000	7.450581e-09	2.2959113	-0.0067729717	-0.93376684	1.3564423	0.0045563285	0.045375	127.0	503.7106852531433	21.268112	4.103079	30.903852	13.007263	0.0	0.0
12	500.0	5.1477213	0.68599963	6.026293	2.179951	208000	0.0	2.880733	-0.007443319	-0.44794366	1.3564423	0.0064947596	0.064375	127.0	540.74063539505	25.212301	6.3230357	42.922688	17.424908	0.0	0.0
13	500.0	5.575908	0.39132518	6.17337	2.8094466	224000	1.1175871e-08	3.1945386	-0.0067241224	-0.12989339	1.3564423	0.004441242	0.046499997	127.0	583.3618428707123	26.681145	6.9155636	45.304832	18.80745	0.0	0.0
14	500.0	5.756417	0.3400079	6.413512	3.1835394	240000	2.2351742e-08	3.2309675	-0.0068628527	-0.13277555	1.3564423	0.006194592	0.0568125	127.0	619.4638848304749	25.850784	7.5243406	44.556473	15.298346	0.0	0.0
15	500.0	5.5720444	0.35972705	6.1857395	2.8173769	256000	-3.7252903e-08	4.416235	-0.0066183265	-0.73180026	1.3564423	0.0057906145	0.05175	127.0	656.7321035861969	27.782703	9.328768	49.423504	18.497135	0.0	0.0
16	500.0	5.941449	0.59387904	7.0225616	3.4069915	272000	-2.142042e-08	3.5909967	-0.0078228	-0.46416855	1.3564423	0.0056035984	0.060187496	127.0	696.3146297931671	30.400997	7.652391	45.948963	18.180998	0.0	0.0
17	500.0	6.4203606	0.7371805	8.048246	3.4316478	288000	3.7252903e-09	3.7512155	-0.0064833183	-0.9435129	1.3564423	0.0042116093	0.044125002	127.0	737.406304359436	32.36478	9.282771	52.995625	19.894436	0.0	0.0
18	500.0	6.917665	1.1430819	9.214212	1.8123499	304000	-2.0489097e-08	3.5339484	-0.009707662	-0.6765634	1.3564423	0.0062037	0.0744375	127.0	780.5289433002472	35.671135	8.800134	49.322742	20.158758	0.0	0.0
19	500.0	7.93029	1.2087815	10.735699	2.131811	320000	-1.4901161e-08	5.50526	-0.0078030266	-2.0771978	1.3564423	0.006495092	0.061500005	127.0	816.1396698951721	33.331177	10.967589	53.371597	17.048517	0.0	0.0
20	500.0	7.6645546	1.3927875	11.162223	2.2779188	336000	3.7252903e-09	2.965986	-0.010528893	-0.6357759	1.3564423	0.008340528	0.089	127.0	853.4178850650787	35.66548	9.231182	49.71031	21.880224	0.0	0.0
21	500.0	8.839507	1.6132827	12.058191	3.8675258	352000	-5.5879354e-09	3.972098	-0.009537719	-0.77415216	1.3564423	0.007468854	0.070374995	127.0	895.3427050113678	39.425888	7.2954907	50.69635	23.025066	0.0	0.0
22	500.0	8.946292	1.1936951	11.070334	3.9022756	368000	0.0	2.5971813	-0.0092262365	-0.28210646	1.3564423	0.007347088	0.0626875	127.0	932.4292480945587	41.871338	6.2795534	51.360718	27.581264	0.0	0.0
23	500.0	9.211637	1.5078887	11.350266	0.63359183	384000	9.313226e-09	2.9474006	-0.010091152	-0.35724556	1.3564423	0.0070107933	0.068	127.0	970.8403885364532	41.933304	6.614122	50.527084	27.248436	0.0	0.0
24	500.0	9.195137	1.1836151	10.753857	2.878853	400000	0.0	3.2786663	-0.008732639	-0.22091946	1.3564423	0.0071930503	0.057125	127.0	1011.5220642089844	42.307327	8.044513	51.776806	25.477009	0.0	0.0
25	500.0	9.514457	1.1909311	10.89082	4.2915745	416000	-1.8626451e-09	2.8701384	-0.009066684	-0.22224264	1.3564423	0.00558176	0.066750005	127.0	1048.5751960277557	44.440033	6.625517	55.324394	31.061409	0.0	0.0
26	500.0	9.65994	1.013298	10.701894	5.036991	432000	2.2351742e-08	3.653222	-0.007601152	-0.6660116	1.3564423	0.004656265	0.05325	127.0	1084.1664311885834	45.693356	8.603336	68.030334	27.205791	0.0	0.0
