Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07642424	0.012194676	0.11853616	0.04027523	16000	-5.5879354e-09	0.0028885792	-0.006438428	-0.0014625159	1.3564423	0.0060302634	0.04725	127.0	41.32963848114014	0.5084456	0.21363842	1.1481699	0.20308867	0.0	0.0
1	500.0	0.09160226	0.024654834	0.14670458	-0.0033391453	32000	-7.450581e-09	0.0063683754	-0.008587743	-0.0024051366	1.3564423	0.008177517	0.09	127.0	78.33048343658447	0.65333706	0.44181937	1.9768035	0.1280119	0.0	0.0
2	500.0	0.1829544	0.035689797	0.3042963	0.06791966	48000	2.2351742e-08	0.03664546	-0.009106748	-0.021087248	1.3564423	0.006677321	0.081750005	127.0	121.85273313522339	1.5675626	0.7492444	3.6482275	0.4173136	0.0	0.0
3	500.0	0.34478638	0.087347455	0.6833788	0.1006373	64000	-1.8626451e-09	0.25940242	-0.0074912347	-0.1340856	1.3564423	0.007913467	0.08675	127.0	168.90168166160583	3.041676	2.256269	11.705451	0.8644564	0.0	0.0
4	500.0	1.0393558	0.30184108	2.0540352	0.36602423	80000	-3.3527613e-08	1.4953493	-0.0082839355	-0.67142546	1.3564423	0.006877061	0.0739375	127.0	220.08200573921204	7.858552	4.142545	15.534084	2.1171296	0.0	0.0
5	500.0	1.9651364	0.75354487	4.601014	0.29284704	96000	7.450581e-09	1.9015833	-0.010291758	-0.6665791	1.3564423	0.009326921	0.1039375	127.0	262.84361839294434	10.797474	5.608955	23.347628	1.2469335	0.0	0.0
6	500.0	3.0335107	0.95524246	4.9285955	0.5085909	112000	7.450581e-09	3.0375946	-0.007866103	-1.306262	1.3564423	0.0054811845	0.071624994	127.0	318.73427391052246	16.8704	6.2217245	28.609053	3.841218	0.0	0.0
7	500.0	4.301519	1.3736641	6.6472387	0.57100457	128000	1.8626451e-09	1.9914917	-0.010712722	-0.4062578	1.3564423	0.008735904	0.093687505	127.0	361.8174662590027	19.599928	5.4869246	31.780743	4.303024	0.0	0.0
8	500.0	5.045824	1.4041674	6.9860067	0.9604336	144000	-1.4901161e-08	2.4940152	-0.008446877	-0.5367526	1.3564423	0.0076594776	0.07275	127.0	411.19618225097656	23.528414	5.407522	34.563248	11.802905	0.0	0.0
9	500.0	5.747038	1.1151065	7.016607	1.3481548	160000	7.450581e-09	1.628381	-0.00774575	-0.12667999	1.3564423	0.0044175666	0.062625	127.0	447.2043981552124	24.32567	4.819204	32.626884	14.011334	0.0	0.0
10	500.0	5.7365575	0.9351196	6.6902966	2.0567343	176000	-1.1175871e-08	1.399728	-0.008371186	-0.20447674	1.3564423	0.0069069415	0.065125	127.0	484.46284103393555	27.022478	3.4364772	34.28982	18.6475	0.0	0.0
11	500.0	6.166751	0.83728784	6.970939	2.1769772	192000	1.4901161e-08	2.2070832	-0.00829722	-0.5288811	1.3564423	0.005919271	0.067375004	127.0	521.1986203193665	30.992481	4.473279	39.622948	19.68217	0.0	0.0
12	500.0	6.8654265	0.8727225	7.579743	2.2797618	208000	3.7252903e-09	2.287496	-0.007718234	-0.2235247	1.3564423	0.0066593233	0.059562497	127.0	555.7178454399109	32.56417	5.650972	41.67908	20.753668	0.0	0.0
13	500.0	7.2892985	0.8236295	7.872992	2.6738756	224000	-7.450581e-09	1.7197244	-0.009420932	-0.11785533	1.3564423	0.006518312	0.071875	127.0	589.7842934131622	31.223116	5.112435	39.930405	20.400919	0.0	0.0
14	500.0	7.047544	0.77634764	7.610307	3.397319	240000	1.4901161e-08	1.8118348	-0.008880923	-0.4119597	1.3564423	0.006964271	0.0754375	127.0	622.2963509559631	35.196655	4.2520084	44.643158	26.225145	0.0	0.0
15	500.0	7.689709	0.7198517	8.135942	3.5618775	256000	-1.0244548e-08	1.3664472	-0.007706818	-0.06647858	1.3564423	0.0050390633	0.069	127.0	656.7734823226929	36.249573	4.179475	44.251644	25.823	0.0	0.0
16	500.0	7.9430375	0.712563	8.340706	3.673047	272000	-1.4901161e-08	1.4756277	-0.008817273	-0.12947217	1.3564423	0.007087879	0.0645	127.0	690.9555742740631	37.766388	4.4297314	46.811478	29.767942	0.0	0.0
17	500.0	8.253701	0.8203162	8.693891	3.8203905	288000	2.6077032e-08	1.3118827	-0.009656526	-0.11151341	1.3564423	0.00475122	0.069625005	127.0	725.1790158748627	39.122124	3.844964	47.150043	32.66219	0.0	0.0
