Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10203078	0.012369465	0.14070839	0.06401232	16000	0.0	0.0064626774	-0.005921927	-0.002770313	1.3564423	0.005816859	0.041125	127.0	37.75066566467285	0.5131663	0.40891245	1.8066665	0.09648078	0.0	0.0
1	500.0	0.103249244	0.028910281	0.17979148	0.002082482	32000	-1.4901161e-08	0.0085852705	-0.008127908	-0.0032818252	1.3564423	0.009104788	0.0941875	127.0	69.15972471237183	0.6672008	0.5672443	2.4624622	0.1469203	0.0	0.0
2	500.0	0.18314114	0.06756025	0.39328346	-0.029409576	48000	-7.450581e-09	0.04767435	-0.008942063	-0.019942293	1.3564423	0.0070186118	0.089125	127.0	107.75301790237427	1.3598942	1.1410484	4.97083	0.2731972	0.0	0.0
3	500.0	0.39632604	0.14866358	0.8412399	0.011294935	64000	-7.450581e-09	0.16642141	-0.008706752	-0.078008235	1.3564423	0.008379271	0.095062494	127.0	143.15946984291077	2.8144722	1.8534214	6.543404	0.55044335	0.0	0.0
4	500.0	1.0163676	0.30263942	1.7699888	0.23903254	80000	3.7252903e-08	3.485838	-0.006010625	-1.9286911	1.3564423	0.007046243	0.051062502	127.0	178.13298416137695	11.042844	6.1289124	24.70031	2.6253884	0.0	0.0
5	500.0	2.3431523	0.62957484	3.6970043	0.5709645	96000	7.450581e-09	2.0149937	-0.008042048	-0.6214956	1.3564423	0.006559257	0.064125	127.0	211.25763297080994	12.0858755	5.155669	22.83308	3.1717973	0.0	0.0
6	500.0	3.0787153	0.977534	5.1166296	0.29708865	112000	7.450581e-09	4.140485	-0.0068194717	-2.043011	1.3564423	0.007502053	0.063187495	127.0	247.13817524909973	19.158234	5.812471	38.873917	10.320025	0.0	0.0
7	500.0	4.506444	1.396122	6.644919	0.17168854	128000	-2.6077032e-08	1.5381477	-0.008439882	-0.08657401	1.3564423	0.00834824	0.0833125	127.0	285.90289759635925	18.540442	5.4837513	28.727697	7.6900682	0.0	0.0
8	500.0	4.88729	1.5219369	7.0753975	0.074091725	144000	0.0	1.980948	-0.006962872	-0.3374076	1.3564423	0.006796768	0.0586875	127.0	323.0965738296509	21.19563	5.1143575	32.384995	13.830713	0.0	0.0
9	500.0	5.380465	1.0684345	7.09728	0.9143736	160000	-7.450581e-09	4.4541116	-0.0070046494	-0.4278904	1.3564423	0.0034085768	0.058562502	127.0	357.1509609222412	25.075432	8.208723	54.602516	12.012787	0.0	0.0
10	500.0	5.78157	0.76248145	6.72774	2.1551633	176000	0.0	2.9473796	-0.005860118	-0.3305512	1.3564423	0.006242118	0.039	127.0	391.68029260635376	25.167562	6.3983235	36.355316	12.309638	0.0	0.0
11	500.0	5.771615	0.83700114	7.122919	1.2236168	192000	-2.2351742e-08	2.4667578	-0.0058648107	-0.21764168	1.3564423	0.004938638	0.0465625	127.0	425.69618034362793	24.78367	6.068278	35.271633	14.053788	0.0	0.0
12	500.0	5.6582665	1.0336177	7.807604	1.1244469	208000	0.0	2.0381823	-0.0068869954	-0.22157508	1.3564423	0.005115559	0.055	127.0	460.92668557167053	25.56336	6.3230643	36.82773	15.206283	0.0	0.0
13	500.0	6.112732	1.1175145	7.8067636	0.9336087	224000	-1.1175871e-08	2.1854613	-0.0066428958	-0.2027148	1.3564423	0.005281131	0.0548125	127.0	497.78377389907837	28.364683	6.195841	41.44703	14.723388	0.0	0.0
14	500.0	6.320471	1.3400164	8.643001	0.35394982	240000	1.6763806e-08	1.8427098	-0.0083868075	-0.25263494	1.3564423	0.0058172103	0.062437497	127.0	532.7999370098114	29.173346	5.513521	40.43662	14.587932	0.0	0.0
15	500.0	7.0035625	1.4636267	9.144616	1.108383	256000	-1.1175871e-08	1.2650648	-0.0060390476	-0.13187194	1.3564423	0.0058397613	0.039000005	127.0	568.3933265209198	29.858316	3.1466186	35.483723	23.133793	0.0	0.0
16	500.0	7.0811973	1.4328897	9.230094	0.7281489	272000	7.450581e-09	2.2201939	-0.00823272	-0.18396457	1.3564423	0.006551332	0.0664375	127.0	605.9067254066467	31.832531	6.115321	53.241066	21.931486	0.0	0.0
