Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.12869398	0.017010873	0.18124868	0.07002855	16000	-9.313226e-08	0.005895826	-0.0062013716	-0.0050188573	1.3564423	0.0054049566	0.047562502	127.0	37.09457015991211	0.23377621	0.13583864	0.56008863	0.067061394	0.0	0.0
1	500.0	0.064229265	0.014922311	0.10806257	0.027242437	32000	-1.21071935e-08	0.0010799569	-0.006553105	-0.0004928286	1.3564423	0.0074350955	0.062062502	127.0	72.90712404251099	0.2445101	0.14812435	0.70433843	0.088971816	0.0	0.0
2	500.0	0.058801234	0.013458268	0.10641979	0.028240494	48000	-2.9802322e-08	0.0014775596	-0.010250939	-0.00065881247	1.3564423	0.0071271677	0.088937506	127.0	106.04231643676758	0.36605906	0.17957698	0.8620873	0.1159534	0.0	0.0
3	500.0	0.0717681	0.016303068	0.11669752	0.009096086	64000	-1.8626451e-08	0.00210867	-0.008989591	-0.0011260589	1.3564423	0.0064692954	0.084875	127.0	138.07063364982605	0.46989286	0.22617199	1.1630616	0.16781664	0.0	0.0
4	500.0	0.117542416	0.025891896	0.20030129	0.049555458	80000	1.4901161e-08	0.01408028	-0.008725261	-0.007876578	1.3564423	0.0090681035	0.095125005	127.0	170.0607886314392	1.0161598	0.416968	2.5988336	0.43070793	0.0	0.0
5	500.0	0.23391904	0.07221794	0.4949028	0.06331824	96000	-1.4901161e-08	0.25994176	-0.006544838	-0.14947197	1.3564423	0.0089955535	0.0824375	127.0	202.47406578063965	2.2446258	2.1657603	10.150538	0.38505918	0.0	0.0
6	500.0	0.62336516	0.3140652	1.7148626	-0.14982867	112000	2.2351742e-08	1.2586689	-0.006111257	-0.7387183	1.3564423	0.006296505	0.0651875	127.0	237.445054769516	5.3838124	4.078365	17.803797	1.5197742	0.0	0.0
7	500.0	1.5145158	0.9266682	3.691003	-0.291323	128000	3.7252903e-08	0.836777	-0.008799877	-0.21638145	1.3564423	0.008134311	0.08825	127.0	272.9647624492645	6.8506937	4.0459294	17.216688	0.49593538	0.0	0.0
8	500.0	2.1821432	1.1564528	4.4789853	-0.18824275	144000	-7.450581e-09	1.3596966	-0.00851529	-0.6474721	1.3564423	0.008841476	0.085187495	127.0	307.59641337394714	10.888126	4.5560646	21.614552	1.3258089	0.0	0.0
9	500.0	3.3515599	1.65607	6.2319803	-0.12572679	160000	-1.8626451e-08	2.219383	-0.009515945	-0.80654675	1.3564423	0.0069619846	0.095375	127.0	342.9246189594269	16.073425	5.0498824	28.602991	7.0559673	0.0	0.0
10	500.0	4.3626623	1.8896785	7.1561875	0.37185606	176000	2.2351742e-08	2.1881173	-0.008706594	-0.25963193	1.3564423	0.0077943113	0.0775	127.0	378.90134477615356	17.269817	5.8551917	28.739288	7.146014	0.0	0.0
11	500.0	4.974664	1.765663	7.5741453	0.58119005	192000	-3.259629e-08	1.9365113	-0.008469461	-0.39053893	1.3564423	0.00727261	0.081	127.0	412.975976228714	21.944191	4.6397605	29.309593	13.905479	0.0	0.0
12	500.0	5.53666	1.7709404	7.7040553	0.58923846	208000	-7.450581e-09	2.4497223	-0.007971731	-0.18300295	1.3564423	0.0059036557	0.062	127.0	447.19152092933655	23.745604	7.336232	36.222218	11.958256	0.0	0.0
13	500.0	5.8968973	1.7784549	8.023976	0.71173483	224000	1.1175871e-08	2.8947423	-0.00798731	-0.46094126	1.3564423	0.0068798033	0.0594375	127.0	484.3179111480713	24.368553	8.518501	36.221725	12.171219	0.0	0.0
14	500.0	5.8091564	2.067576	8.790192	0.45437992	240000	-3.7252903e-09	1.7188132	-0.00747272	-0.1799302	1.3564423	0.005924871	0.0558125	127.0	522.133620262146	24.578503	6.00632	36.778053	13.080955	0.0	0.0
15	500.0	6.209499	1.7771562	8.557699	0.9012454	256000	1.4901161e-08	2.146032	-0.0075548813	-0.43818602	1.3564423	0.0066094724	0.05675	127.0	559.8728330135345	28.632072	6.548031	36.431026	14.607847	0.0	0.0
16	500.0	6.9567685	1.9213557	9.223302	0.82448095	272000	-7.450581e-09	1.9916561	-0.007937997	-0.16095965	1.3564423	0.0043781996	0.0523125	127.0	595.9956891536713	30.031542	6.649671	38.24578	12.513132	0.0	0.0
17	500.0	7.3675876	1.8119615	9.282121	1.1655155	288000	-1.4901161e-08	1.7137127	-0.007496508	-0.13249579	1.3564423	0.006041378	0.0503125	127.0	630.1237368583679	31.022316	6.181369	40.971355	15.804894	0.0	0.0
18	500.0	7.5965896	1.9187394	9.590669	1.1561714	304000	-3.7252903e-09	1.6704795	-0.008885179	-0.115191296	1.3564423	0.006401185	0.06425	127.0	666.8189375400543	31.766926	5.7966833	39.341995	14.977675	0.0	0.0
19	500.0	7.66809	1.7593833	9.434337	1.5140872	320000	0.0	1.474664	-0.0076539414	-0.12229055	1.3564423	0.004632241	0.053000003	127.0	703.9199907779694	32.803066	5.2122827	42.27629	17.793093	0.0	0.0
20	500.0	7.7989316	1.5637416	9.271981	1.7788571	336000	1.3038516e-08	1.3887801	-0.008373613	-0.22825418	1.3564423	0.0072097573	0.05775	127.0	739.388505935669	34.26897	5.2621617	39.30363	13.350117	0.0	0.0
