Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07680165	0.012569091	0.119901136	0.040341876	16000	1.1175871e-08	0.002312605	-0.0061100917	-0.0010727637	1.3564423	0.0060877297	0.049625	127.0	32.76717400550842	0.4301078	0.21287553	0.95970327	0.1351155	0.0	0.0
1	500.0	0.07850232	0.025747605	0.13578345	-0.027267322	32000	1.8626451e-08	0.006914732	-0.007754501	-0.0030660713	1.3564423	0.008245941	0.0868125	127.0	63.1357147693634	0.5655109	0.49229255	2.303125	0.07878221	0.0	0.0
2	500.0	0.17998214	0.043756884	0.30680206	0.04771454	48000	3.7252903e-08	0.029321678	-0.008448584	-0.015293422	1.3564423	0.0070756515	0.0789375	127.0	99.89897871017456	1.3874938	0.7482779	3.319158	0.2897603	0.0	0.0
3	500.0	0.31506017	0.10226256	0.6977558	0.08400208	64000	1.1175871e-08	0.24146925	-0.0070008254	-0.114628844	1.3564423	0.008087143	0.084625006	127.0	130.27982115745544	2.7005649	2.2580266	11.634743	0.5995856	0.0	0.0
4	500.0	0.94904417	0.29562366	1.7135899	0.2503747	80000	3.3527613e-08	1.4180195	-0.007366727	-0.61271816	1.3564423	0.0072506387	0.070250005	127.0	164.570818901062	6.729632	4.5614266	18.59312	1.05005	0.0	0.0
5	500.0	1.8179616	0.90385187	4.937197	0.045009084	96000	1.1175871e-08	1.0140071	-0.011348863	-0.32375875	1.3564423	0.0103197	0.1255	127.0	198.20198154449463	8.519472	4.5542345	17.28664	0.3513718	0.0	0.0
6	500.0	2.7440085	1.0050626	4.942913	0.077152215	112000	1.4901161e-08	2.7276573	-0.0061898003	-0.7204554	1.3564423	0.0061703674	0.0696875	127.0	234.24350333213806	13.905779	6.700776	36.992638	2.306	0.0	0.0
7	500.0	3.7463686	1.274391	6.143023	-0.121306285	128000	9.313226e-09	1.6177922	-0.008836228	-0.30167532	1.3564423	0.0073901163	0.0785	127.0	268.5029921531677	16.570618	5.1682653	28.40555	4.851352	0.0	0.0
8	500.0	4.3485017	1.3143737	6.53282	0.6101661	144000	-9.313226e-09	9.819558	-0.005924268	-0.91034293	1.3564423	0.0057488317	0.059125	127.0	303.510226726532	21.845644	14.433913	97.07529	10.185585	0.0	0.0
9	500.0	5.269226	1.1076789	7.302041	0.79901266	160000	-2.2351742e-08	3.2422	-0.00649662	-0.3258254	1.3564423	0.0041203867	0.055375002	127.0	337.62667322158813	23.221384	7.9449735	49.69282	8.0151205	0.0	0.0
10	500.0	5.4368587	1.1661707	6.9194016	0.8079873	176000	3.3527613e-08	1.6358163	-0.008148432	-0.21290071	1.3564423	0.008005296	0.0765625	127.0	368.6696710586548	25.017134	4.5965257	33.6257	14.324401	0.0	0.0
11	500.0	5.9230094	1.1722478	7.5799627	1.2455704	192000	0.0	1.8110179	-0.007780005	-0.2307409	1.3564423	0.0060841152	0.056062505	127.0	405.5747766494751	25.772114	5.528245	37.885815	15.51541	0.0	0.0
12	500.0	6.060027	1.1466697	7.69233	1.18199	208000	-9.313226e-10	2.640297	-0.0068953903	-0.3962384	1.3564423	0.00510842	0.0485	127.0	441.0857391357422	28.76953	5.8207655	43.985424	14.730767	0.0	0.0
13	500.0	6.6466637	1.1575218	7.9781914	1.3329608	224000	0.0	1.6742716	-0.008395202	-0.10334468	1.3564423	0.007579059	0.063	127.0	475.34141659736633	28.18285	5.492892	40.14744	16.74409	0.0	0.0
14	500.0	6.5731273	1.0962254	7.919189	1.5953385	240000	7.450581e-09	1.0593102	-0.009136306	-0.08195039	1.3564423	0.0054563796	0.0705625	127.0	509.0845100879669	30.153084	3.9426837	36.48676	21.56484	0.0	0.0
15	500.0	6.8969636	1.1158398	8.346737	1.6769047	256000	1.4901161e-08	0.85716736	-0.0082382	-0.05483469	1.3564423	0.005981172	0.0584375	127.0	545.5325179100037	31.114372	3.6715136	37.875072	23.766844	0.0	0.0
16	500.0	7.0871224	1.1242307	8.5827055	1.8438326	272000	0.0	0.773646	-0.0073942323	-0.09947075	1.3564423	0.0046826573	0.057	127.0	580.0093505382538	32.346954	3.5505238	38.766987	22.446054	0.0	0.0
17	500.0	7.327593	1.222614	8.744201	1.7068008	288000	2.9802322e-08	0.704365	-0.0071072113	-0.20812885	1.3564423	0.0071715433	0.0595	127.0	616.6339960098267	34.497246	3.0832202	39.84685	28.303686	0.0	0.0
18	500.0	7.775811	1.2718837	9.216687	1.71214	304000	6.519258e-09	0.48112163	-0.009001541	-0.032491326	1.3564423	0.0070050433	0.074	127.0	654.5589246749878	33.5513	2.2476401	40.184116	29.500261	0.0	0.0
19	500.0	7.8129354	1.2481952	9.235112	2.030511	320000	-2.2351742e-08	0.883347	-0.007988632	-0.07578577	1.3564423	0.007290763	0.0575625	127.0	690.7955095767975	34.54895	3.704874	40.97684	25.88909	0.0	0.0
20	500.0	7.846576	1.0266149	9.000505	2.9480507	336000	1.8626451e-08	1.1755723	-0.009688046	-0.20854932	1.3564423	0.007346784	0.072	127.0	724.3765997886658	34.40789	3.7140267	41.832516	21.896137	0.0	0.0
21	500.0	7.7125897	0.90455204	8.60397	2.879942	352000	0.0	0.8481754	-0.008441739	-0.15136081	1.3564423	0.0068094786	0.052874997	127.0	759.0032203197479	35.9551	3.5485113	42.603134	26.8015	0.0	0.0
22	500.0	7.945346	1.0157373	8.993037	2.6865077	368000	0.0	4.3397417	-0.007306245	-0.8344511	1.3564423	0.008839123	0.0706875	127.0	798.208703994751	39.294075	7.4095736	66.107	29.058178	0.0	0.0
23	500.0	8.651936	1.0787873	9.739374	2.3454618	384000	3.7252903e-09	2.5578377	-0.0076422095	-0.30452305	1.3564423	0.0075510736	0.067125	127.0	833.8810844421387	37.09104	5.847667	53.8105	21.649683	0.0	0.0
24	500.0	8.236957	1.120491	9.139365	2.4595032	400000	3.7252903e-08	2.3077583	-0.0067235706	-0.21544968	1.3564423	0.0070637693	0.0599375	127.0	867.386155128479	38.897327	4.9784613	62.872566	32.97837	0.0	0.0
25	500.0	8.640348	1.128082	9.585835	2.9771848	416000	1.1175871e-08	0.8287993	-0.008442882	-0.12981692	1.3564423	0.0065089585	0.072437495	127.0	906.4458854198456	40.267845	3.6452825	48.426144	33.14616	0.0	0.0
26	500.0	8.805377	1.1425331	9.758413	3.1880198	432000	1.4901161e-08	1.2087194	-0.0077247303	-0.07691342	1.3564423	0.005789904	0.0585625	127.0	940.9234480857849	39.330902	4.6949177	55.489883	32.355106	0.0	0.0
27	500.0	8.720064	1.19877	9.827139	3.279939	448000	-7.450581e-09	7.0659595	-0.007652349	-0.69969964	1.3564423	0.006057276	0.0725625	127.0	976.8558366298676	41.426308	11.350148	96.86558	33.081646	0.0	0.0
28	500.0	9.343575	1.4125869	10.820046	3.3842828	464000	-1.8626451e-08	7.4955397	-0.008510884	-0.8827795	1.3564423	0.007902211	0.075125	127.0	1013.570054769516	42.19867	10.766542	72.68547	31.33942	0.0	0.0
29	500.0	9.466855	1.4221189	10.626545	3.0231857	480000	-1.4901161e-08	4.4647202	-0.0057049235	-0.3051538	1.3564423	0.005180086	0.03875	127.0	1046.9177520275116	40.824368	8.114618	73.659	29.914515	0.0	0.0
30	500.0	9.101742	1.2027129	10.418665	4.1206503	496000	-2.6077032e-08	0.9631305	-0.008002132	-0.18892786	1.3564423	0.0070775943	0.0626875	127.0	1081.05881524086	39.398643	3.832565	46.195644	28.313488	0.0	0.0
31	500.0	8.873446	1.130351	10.659759	4.1558256	512000	0.0	5.104994	-0.0061187837	-0.14907017	1.3564423	0.006306297	0.052625	127.0	1115.2994365692139	40.068417	8.5008	74.0467	29.638338	0.0	0.0
32	500.0	9.004777	1.2052835	10.673322	3.9507544	528000	1.1175871e-08	5.0767665	-0.008439505	-0.50541186	1.3564423	0.008226192	0.0808125	127.0	1151.8478026390076	38.618088	9.707699	83.24396	24.245794	0.0	0.0
33	500.0	8.853247	1.3814186	11.2923155	3.5711017	544000	1.1175871e-08	7.049691	-0.008201769	-1.0503402	1.3564423	0.007497117	0.068749994	127.0	1185.3833591938019	41.78398	11.956024	84.69928	30.620815	0.0	0.0
34	500.0	9.270445	1.4515343	11.740076	3.6329646	560000	1.1175871e-08	5.4961023	-0.007150331	-0.49124753	1.3564423	0.0063311188	0.0655	127.0	1223.975667476654	41.723454	9.784045	78.91108	33.17936	0.0	0.0
35	500.0	9.678061	1.4981289	12.512998	3.8675516	576000	1.4901161e-08	3.2437935	-0.007217655	-0.9709349	1.3564423	0.0069486722	0.055437498	127.0	1257.8714909553528	39.417595	5.960395	60.059837	27.88767	0.0	0.0
36	500.0	9.332742	1.4409533	12.111612	3.6143527	592000	1.4901161e-08	10.077993	-0.00710004	-1.2172754	1.3564423	0.0073707243	0.0655625	127.0	1292.3890385627747	42.403786	14.548975	97.02985	29.438213	0.0	0.0
37	500.0	9.968076	1.7838818	13.224872	2.4747536	608000	1.4901161e-08	5.822121	-0.008312439	-1.3380308	1.3564423	0.007163652	0.070250005	127.0	1327.8872871398926	40.340614	9.048044	81.548935	32.01664	0.0	0.0
38	500.0	9.572089	1.6691158	13.150734	3.9861636	624000	-1.4901161e-08	14.437172	-0.007486332	-2.3692238	1.3564423	0.008439239	0.075500004	127.0	1364.3248295783997	44.089752	17.901075	107.40446	23.261923	0.0	0.0
39	500.0	10.196239	2.063282	14.668363	2.9909143	640000	7.450581e-09	25.543663	-0.006958724	-4.902073	1.3564423	0.005694247	0.056874998	127.0	1401.2477486133575	48.848103	24.590326	115.002525	29.08099	0.0	0.0
40	500.0	10.13426	2.6501884	16.790709	2.0192826	656000	2.4214387e-08	10.610021	-0.00922334	-1.7396252	1.3564423	0.008468252	0.0828125	127.0	1433.2370870113373	43.080994	13.981636	92.028336	27.09978	0.0	0.0
41	500.0	9.933834	2.2365954	15.916987	2.8773894	672000	2.9802322e-08	3.9380803	-0.0103997085	-2.2590384	1.3564423	0.007958157	0.081375	127.0	1465.901697397232	37.897636	4.522586	51.27758	29.249775	0.0	0.0
