Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.104709245	0.012298498	0.14313184	0.06684388	16000	4.284084e-08	0.006670058	-0.0059276093	-0.0028555633	1.3564423	0.0059228633	0.04175	127.0	36.265933990478516	0.5224086	0.41821787	1.8409404	0.09785124	0.0	0.0
1	500.0	0.1057171	0.029018873	0.18221214	0.00465136	32000	-7.450581e-09	0.009151221	-0.008149225	-0.0035043617	1.3564423	0.009230424	0.0946875	127.0	70.98766922950745	0.6817751	0.5844372	2.5439699	0.1506987	0.0	0.0
2	500.0	0.18839496	0.070604555	0.40979096	-0.03123262	48000	2.2351742e-08	0.05320963	-0.008793996	-0.02231928	1.3564423	0.006719004	0.090187505	127.0	106.46502470970154	1.4076164	1.2056624	5.197159	0.27179378	0.0	0.0
3	500.0	0.41585627	0.15850371	0.8982887	0.01573535	64000	1.8626451e-08	0.18684012	-0.00868904	-0.08449217	1.3564423	0.0083162775	0.0928125	127.0	141.84576177597046	2.9165714	1.9619724	6.824705	0.50001866	0.0	0.0
4	500.0	1.0427032	0.30869102	1.8320343	0.24229296	80000	3.7252903e-08	3.5242605	-0.006097134	-1.9186094	1.3564423	0.007042351	0.0545	127.0	176.27415490150452	11.110419	6.211059	24.63014	2.7935097	0.0	0.0
5	500.0	2.3639312	0.6398705	3.6626475	0.5079405	96000	-1.6763806e-08	1.9839118	-0.008038614	-0.5681975	1.3564423	0.0064435815	0.0626875	127.0	215.4208505153656	12.1119995	5.047726	22.097494	3.0440059	0.0	0.0
6	500.0	3.046647	0.9295202	5.0245748	0.3658133	112000	3.7252903e-08	3.2183456	-0.007220267	-1.8538083	1.3564423	0.0064929374	0.060937498	127.0	247.61208057403564	18.83934	5.027843	31.96904	10.174543	0.0	0.0
7	500.0	4.483575	1.3413833	6.699215	0.27496397	128000	-4.4703484e-08	3.7569208	-0.0073087877	-0.30971718	1.3564423	0.008195536	0.080875	127.0	301.4049942493439	19.795734	8.568303	56.532204	8.674442	0.0	0.0
8	500.0	5.111178	1.5222796	7.1479115	-0.021228613	144000	-2.7939677e-09	1.7856671	-0.0069434107	-0.21053067	1.3564423	0.006456539	0.0575625	127.0	356.89233589172363	21.408018	4.8592863	32.005318	14.102244	0.0	0.0
9	500.0	5.4704723	1.1478446	7.097917	0.8005065	160000	-1.4901161e-08	3.894173	-0.00622062	-0.40223908	1.3564423	0.0029325823	0.042999998	127.0	389.4737524986267	23.76092	6.895755	36.811424	11.030737	0.0	0.0
