Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.13145773	0.01705661	0.18394376	0.07299192	16000	1.1175871e-07	0.0061427327	-0.0061689615	-0.0052405326	1.3564423	0.0055415863	0.0485625	127.0	36.26836133003235	0.2366888	0.13799123	0.56394565	0.06705417	0.0	0.0
1	500.0	0.06541859	0.014812143	0.109148666	0.028384324	32000	1.8626451e-08	0.001110094	-0.006696798	-0.000483606	1.3564423	0.0071474756	0.062	127.0	69.2671251296997	0.25264245	0.15303901	0.7313591	0.09255997	0.0	0.0
2	500.0	0.060777258	0.013227552	0.10672695	0.027573526	48000	-3.7252903e-09	0.0015703926	-0.009843603	-0.00071631547	1.3564423	0.006829544	0.084875	127.0	100.88594889640808	0.37752303	0.18548518	0.87484866	0.120214574	0.0	0.0
3	500.0	0.0739919	0.01729145	0.118514076	0.011383742	64000	4.0978193e-08	0.0023585754	-0.009158989	-0.0012583656	1.3564423	0.0064626173	0.08356249	127.0	132.23289895057678	0.49972034	0.23665972	1.1830488	0.1985944	0.0	0.0
4	500.0	0.124731116	0.026648616	0.21371801	0.058047887	80000	3.7252903e-09	0.017501114	-0.008513514	-0.009813596	1.3564423	0.008990865	0.0940625	127.0	172.02293300628662	1.0942508	0.45671135	2.797868	0.4413491	0.0	0.0
5	500.0	0.24760003	0.07769457	0.5324931	0.07235063	96000	2.2351742e-08	0.28944418	-0.006776397	-0.16232516	1.3564423	0.009120721	0.080125	127.0	209.40168619155884	2.4099193	2.2317274	10.073979	0.43143293	0.0	0.0
6	500.0	0.65366405	0.33322054	1.7755499	-0.14150271	112000	3.1664968e-08	1.2307467	-0.005789774	-0.6972861	1.3564423	0.0068086525	0.06325	127.0	252.3202428817749	5.1857624	4.2514005	18.95283	1.4941081	0.0	0.0
7	500.0	1.5802963	0.9837908	3.8962684	-0.2560319	128000	3.7252903e-09	0.9275695	-0.00925618	-0.30912107	1.3564423	0.007638936	0.092	127.0	308.1179325580597	7.4252996	4.1339874	17.802168	0.67461497	0.0	0.0
8	500.0	2.3761578	1.2363224	4.787039	-0.19552924	144000	2.4214387e-08	1.524093	-0.008449836	-0.7555697	1.3564423	0.008745061	0.081875	127.0	353.74357509613037	12.184803	4.0867157	21.785206	2.503197	0.0	0.0
9	500.0	3.5797503	1.7236449	6.3765407	-0.2907178	160000	9.313226e-09	1.5951883	-0.009126727	-0.37027964	1.3564423	0.0069827046	0.0933125	127.0	387.3730001449585	15.394312	4.683116	27.332634	7.158735	0.0	0.0
10	500.0	4.3609786	1.8448482	6.9794936	0.297294	176000	1.1175871e-08	2.1973	-0.0083780885	-0.25970715	1.3564423	0.007837929	0.0729375	127.0	421.4849190711975	16.605228	6.043238	28.987469	6.8801646	0.0	0.0
11	500.0	4.744325	1.55187	6.688631	0.54243517	192000	4.1909516e-09	2.6977959	-0.006873445	-0.8355679	1.3564423	0.0065561575	0.0743125	127.0	458.42035126686096	22.4464	6.1325936	32.06009	13.459218	0.0	0.0
12	500.0	5.5039506	1.7143459	7.813204	0.043809295	208000	-1.4901161e-08	2.9459145	-0.007980859	-0.51916003	1.3564423	0.005842017	0.061062496	127.0	496.9520194530487	22.739246	8.179932	37.495567	9.870105	0.0	0.0
13	500.0	5.6982036	1.6994425	8.62287	0.8463665	224000	0.0	3.0967631	-0.008780145	-0.48352355	1.3564423	0.006276853	0.06712501	127.0	531.7044911384583	23.94479	9.0061865	36.606396	10.465802	0.0	0.0
14	500.0	5.689828	2.11325	9.099417	-0.21069095	240000	2.6077032e-08	2.020025	-0.0077375937	-0.18036744	1.3564423	0.0056234244	0.0551875	127.0	569.4017333984375	24.867752	6.85852	37.361458	14.7377825	0.0	0.0
15	500.0	6.212254	2.0570362	9.172623	0.41562158	256000	-1.21071935e-08	2.0865307	-0.007104613	-0.2943087	1.3564423	0.006088506	0.058375	127.0	607.0162341594696	28.295391	6.34118	36.570774	17.171597	0.0	0.0
16	500.0	6.8328047	2.0161211	9.676365	0.24551365	272000	1.8626451e-09	1.2406263	-0.008409735	-0.074488156	1.3564423	0.0039082514	0.064624995	127.0	641.0134646892548	29.061619	5.864636	37.808952	15.531772	0.0	0.0
17	500.0	7.2408195	2.0575573	9.853747	0.5921588	288000	1.1175871e-08	1.772662	-0.008029224	-0.24591091	1.3564423	0.0067481273	0.06425	127.0	675.3535227775574	29.16248	6.0303836	38.905262	15.728769	0.0	0.0
18	500.0	7.3969784	1.9336945	9.864398	1.1256499	304000	1.21071935e-08	2.059095	-0.008396416	-0.34080997	1.3564423	0.007093084	0.065937504	127.0	712.0243337154388	29.716852	5.6830697	39.195957	21.300175	0.0	0.0
19	500.0	7.226797	1.638875	9.26533	1.1764357	320000	0.0	1.5673349	-0.0069316025	-0.22542109	1.3564423	0.005967915	0.0493125	127.0	750.0667505264282	30.90083	5.672637	40.443817	19.886963	0.0	0.0
20	500.0	7.3811307	1.5614403	9.291085	1.4939282	336000	-1.1175871e-08	1.9221344	-0.0085661905	-0.61046803	1.3564423	0.0062179617	0.056874998	127.0	785.3949267864227	32.273655	5.9157724	43.562233	15.28268	0.0	0.0
21	500.0	7.7477384	1.5253478	9.608355	1.4518375	352000	-1.8626451e-08	1.7255094	-0.0074084904	-0.45651865	1.3564423	0.007838929	0.054000005	127.0	821.0052378177643	32.66839	5.8895607	40.47621	20.00521	0.0	0.0
22	500.0	7.507464	1.6814648	9.855578	1.986269	368000	-1.1175871e-08	1.34957	-0.0073983176	-0.31667382	1.3564423	0.0055977693	0.0541875	127.0	858.6726195812225	32.584675	6.0727572	43.167187	21.17265	0.0	0.0
23	500.0	7.7164183	1.8840326	10.37742	1.9420309	384000	-1.4901161e-08	1.3395989	-0.008063602	-0.41714382	1.3564423	0.004358393	0.059375003	127.0	893.9908754825592	34.61659	6.1998973	42.509026	18.316545	0.0	0.0
24	500.0	8.195568	1.9387844	10.918539	0.7825589	400000	1.3038516e-08	0.7583401	-0.009063784	-0.16802424	1.3564423	0.00673392	0.0790625	127.0	930.6774344444275	37.00779	4.37401	41.681698	25.402325	0.0	0.0
25	500.0	8.572778	1.8873093	11.176545	2.5581229	416000	7.450581e-09	0.90713954	-0.00919052	-0.19605577	1.3564423	0.0075040795	0.0655	127.0	966.22762799263	36.733738	6.6079087	44.27658	17.439049	0.0	0.0
26	500.0	8.757395	1.8680205	11.251392	2.7124643	432000	-3.7252903e-09	0.68954974	-0.008026025	-0.20291135	1.3564423	0.006398119	0.062187504	127.0	1008.5495357513428	38.437744	3.6988494	45.12105	30.116474	0.0	0.0
27	500.0	8.4591875	1.8640816	11.376547	2.8581815	448000	2.6077032e-08	1.2246133	-0.008677399	-0.46051276	1.3564423	0.0049839457	0.054875	127.0	1065.18474650383	35.682156	7.4601154	44.893616	12.071619	0.0	0.0
