Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.045723006	0.024211548	0.110095546	-0.022790803	16000	0.0	0.00801011	-0.0057024816	-0.0033324556	1.3564423	0.007875446	0.0706875	127.0	42.51393747329712	0.38130096	0.4221219	1.5683359	0.025886951	0.0	0.0
1	500.0	0.069326505	0.039181303	0.21238706	-0.016149968	32000	-9.313226e-09	0.0062113707	-0.0068478803	-0.0015401265	1.3564423	0.010167728	0.113437496	127.0	82.3366494178772	0.4610074	0.48371026	2.5456576	0.029764747	0.0	0.0
2	500.0	0.12411748	0.059640866	0.32002485	-0.008906318	48000	-9.313226e-09	0.022095421	-0.009972331	-0.0084761055	1.3564423	0.0100939665	0.1225	127.0	123.23515820503235	0.93616533	0.91590416	4.719875	0.14001468	0.0	0.0
3	500.0	0.28749028	0.11171562	0.764205	0.032884117	64000	-1.4901161e-08	0.04232819	-0.009276352	-0.025863465	1.3564423	0.008994474	0.093125	127.0	162.06345653533936	1.5497501	1.2664287	5.1317973	0.056741454	0.0	0.0
4	500.0	0.56778294	0.21739896	1.3627015	-0.06326902	80000	3.7252903e-09	0.10204917	-0.009895707	-0.04286178	1.3564423	0.00919891	0.100875005	127.0	202.7293086051941	2.2087188	1.7518647	7.7434115	0.34217063	0.0	0.0
5	500.0	0.5065423	0.22057101	1.1055547	-0.10631643	96000	1.8626451e-09	0.05108831	-0.011748608	-0.017844822	1.3564423	0.007123597	0.1200625	127.0	248.84496879577637	2.3390024	1.5443599	5.8049784	0.2687879	0.0	0.0
6	500.0	0.731942	0.3368377	1.6438606	-0.14175762	112000	3.7252903e-09	0.43931013	-0.009456163	-0.20287979	1.3564423	0.007835312	0.0973125	127.0	286.46658277511597	5.0991983	3.2638023	12.045499	0.5366973	0.0	0.0
7	500.0	1.4677954	0.5936755	2.925761	-0.21914017	128000	1.1175871e-08	1.7756547	-0.008708185	-0.8427036	1.3564423	0.0060569	0.08562501	127.0	329.8961591720581	9.766733	5.6458187	20.159006	1.4819704	0.0	0.0
8	500.0	2.6176302	1.1084121	5.4871297	-0.25249875	144000	-2.9802322e-08	2.4388108	-0.009737177	-0.8539994	1.3564423	0.0066569	0.086875	127.0	368.717782497406	14.033973	6.5697412	30.277283	4.3722825	0.0	0.0
9	500.0	3.8913188	1.3257471	6.7146688	-0.75464475	160000	-2.4214387e-08	3.2982395	-0.008547968	-1.2587134	1.3564423	0.0064462814	0.0706875	127.0	403.88371872901917	21.261358	7.766865	37.47596	7.3519406	0.0	0.0
10	500.0	5.332065	1.6091871	7.967619	-0.5379759	176000	7.450581e-09	3.2185488	-0.010868457	-1.1165812	1.3564423	0.0075435587	0.092437506	127.0	446.7578270435333	27.157421	6.823788	39.861877	12.679774	0.0	0.0
11	500.0	6.4458203	1.8399652	9.156174	-1.1442931	192000	0.0	4.4287634	-0.007956447	-0.88590217	1.3564423	0.0044538667	0.056812502	127.0	566.3031513690948	30.570322	8.603936	64.24772	17.84463	0.0	0.0
12	500.0	7.282823	1.999566	10.015586	0.45125535	208000	1.1175871e-08	14.724349	-0.005925119	-2.0310907	1.3564423	0.0061912118	0.055562504	127.0	617.3039960861206	35.945984	16.753685	109.81205	14.631985	0.0	0.0
13	500.0	8.3519125	2.2465029	11.105173	-1.1544445	224000	-9.313226e-09	2.4422314	-0.011349261	-0.2950825	1.3564423	0.008769945	0.0788125	127.0	657.5321066379547	34.620422	6.496291	50.39359	23.713722	0.0	0.0
14	500.0	8.362027	2.2676415	10.911537	-0.16683087	240000	3.7252903e-09	4.9134073	-0.010490149	-0.39635336	1.3564423	0.0071236724	0.07431251	127.0	700.014062166214	35.103996	9.243557	57.171265	13.985422	0.0	0.0
15	500.0	8.53649	1.9816471	10.972027	0.51082146	256000	1.3038516e-08	8.22718	-0.008045513	-1.1491461	1.3564423	0.008230822	0.0695	127.0	743.301754951477	40.33821	10.718889	91.929794	25.9047	0.0	0.0
16	500.0	9.376799	1.6650336	11.033616	1.5423341	272000	1.1175871e-08	7.1038723	-0.0072996803	-0.17847106	1.3564423	0.005958325	0.064687505	127.0	782.0528743267059	40.832584	12.141969	94.82232	29.321833	0.0	0.0
17	500.0	9.383819	1.831821	11.114604	1.3351854	288000	7.450581e-09	5.1450863	-0.0079884995	-0.2420921	1.3564423	0.00400707	0.052500002	127.0	872.6924247741699	40.023262	8.953756	65.01377	25.190468	0.0	0.0
18	500.0	9.265956	1.6099408	10.626044	2.2954214	304000	7.450581e-09	4.653955	-0.007925274	-0.13115835	1.3564423	0.006374416	0.0643125	127.0	918.7925450801849	41.463318	9.250737	85.21844	26.937693	0.0	0.0
19	500.0	9.456122	1.597764	10.81043	1.9136567	320000	0.0	4.2694936	-0.008010908	-0.1035942	1.3564423	0.0061947885	0.072875	127.0	971.7986476421356	42.095802	7.718169	76.25341	31.713018	0.0	0.0
20	500.0	9.513294	1.5722	10.87718	1.8886442	336000	2.2351742e-08	8.20859	-0.008378154	-0.64468026	1.3564423	0.0070496323	0.082625	127.0	1016.7881238460541	44.820618	12.288243	90.13215	30.802147	0.0	0.0
21	500.0	10.050532	1.9842776	11.823373	1.4123206	352000	2.0489097e-08	6.1596923	-0.007986194	-0.67971027	1.3564423	0.0076074046	0.0788125	127.0	1053.6656873226166	47.111347	10.2455	94.458984	32.03568	0.0	0.0
22	500.0	10.5706835	2.1972327	12.748281	1.6440991	368000	-7.450581e-09	2.2315836	-0.010110969	-0.44289535	1.3564423	0.007000023	0.081125006	127.0	1096.4505472183228	45.302593	5.3155165	63.469738	35.616955	0.0	0.0
23	500.0	10.426423	1.8660473	12.186644	2.475158	384000	-1.4901161e-08	7.247472	-0.0074325316	-1.0069083	1.3564423	0.0066166315	0.070999995	127.0	1134.9482235908508	49.818916	10.726154	83.91091	33.23744	0.0	0.0
24	500.0	11.315961	1.970976	12.861003	2.084155	400000	0.0	11.508141	-0.008936828	-0.62640154	1.3564423	0.009594637	0.09343749	127.0	1174.897742986679	51.702774	15.071112	95.778175	36.049015	0.0	0.0
25	500.0	11.850027	2.2546158	13.648131	1.3279433	416000	-3.7252903e-09	10.634043	-0.00985459	-0.48170647	1.3564423	0.0076913554	0.10043749	127.0	1216.6282813549042	53.759384	12.910359	99.19572	35.758656	0.0	0.0
26	500.0	12.243463	2.28074	13.98397	2.3955023	432000	1.8626451e-08	15.843108	-0.0087994095	-0.45440102	1.3564423	0.009184035	0.089562505	127.0	1286.8095808029175	52.55287	18.355207	111.0607	34.319305	0.0	0.0
27	500.0	11.847895	2.3059857	14.097226	2.8644733	448000	-3.7252903e-09	10.137052	-0.008913511	-1.2048242	1.3564423	0.0075943894	0.069	127.0	1397.5825145244598	54.201042	13.6724205	105.92635	40.509697	0.0	0.0
28	500.0	12.499661	2.3357291	14.256563	2.4509692	464000	2.9802322e-08	16.300175	-0.007620956	-0.72155476	1.3564423	0.007380871	0.0754375	127.0	1434.632741689682	57.228218	17.264254	112.63247	39.891438	0.0	0.0
29	500.0	13.242101	2.4318206	14.952982	3.0503674	480000	1.8626451e-08	6.804976	-0.008483137	-1.3070832	1.3564423	0.0072149914	0.078187495	127.0	1474.299971818924	52.02008	10.351882	100.51205	38.52245	0.0	0.0
30	500.0	12.245307	2.1245701	13.977986	3.421962	496000	0.0	30.602705	-0.0077997544	-6.296211	1.3564423	0.009006455	0.0759375	127.0	1530.2575371265411	65.92778	22.03459	114.08256	43.268375	0.0	0.0
31	500.0	14.375164	2.7666779	16.21517	1.8552932	512000	1.4901161e-08	15.276854	-0.008299831	-2.4732673	1.3564423	0.007166552	0.069625005	127.0	1590.643108844757	54.760292	16.416464	107.965195	38.138264	0.0	0.0
32	500.0	13.047889	2.4974456	15.101789	3.0777328	528000	7.450581e-09	30.240435	-0.0074154795	-2.4058506	1.3564423	0.007064541	0.066625	127.0	1653.2529118061066	62.94429	24.757647	120.30227	42.726357	0.0	0.0
33	500.0	14.003551	2.4522305	15.8354	1.1549641	544000	-2.2351742e-08	13.140579	-0.008892135	-1.2941275	1.3564423	0.0077967034	0.070125	127.0	1699.4238588809967	57.14747	15.765276	101.76912	40.907204	0.0	0.0
34	500.0	13.388842	2.4226418	15.55976	2.4967208	560000	0.0	27.762356	-0.008978634	-1.9393916	1.3564423	0.008245885	0.0801875	127.0	1741.821795463562	65.21852	24.812807	124.26621	42.056923	0.0	0.0
35	500.0	14.42185	2.9121523	16.66217	1.7591375	576000	-2.9802322e-08	35.971447	-0.008892005	-3.543272	1.3564423	0.009317707	0.083375	127.0	1796.3073501586914	71.2298	27.966784	129.96695	43.282883	0.0	0.0
36	500.0	15.223475	3.1567218	17.971685	0.9049032	592000	2.6077032e-08	22.180477	-0.007951743	-1.8936894	1.3564423	0.0075506084	0.072625004	127.0	1847.4385335445404	61.01532	21.608845	131.82748	40.894928	0.0	0.0
37	500.0	14.662139	2.960896	17.58552	2.1624565	608000	-3.3527613e-08	27.257431	-0.009255435	-0.9352965	1.3564423	0.009369951	0.087375	127.0	1894.6899676322937	65.467896	23.429771	125.028114	43.53032	0.0	0.0
38	500.0	14.834137	3.1658912	17.781876	2.2242162	624000	7.450581e-09	24.316277	-0.0076469677	-2.9339523	1.3564423	0.0060331463	0.0700625	127.0	1991.9804508686066	65.34657	23.35302	117.281906	42.127403	0.0	0.0
39	500.0	14.723488	3.3670585	18.696424	1.4144576	640000	0.0	20.918465	-0.008639721	-2.1218889	1.3564423	0.00906829	0.0836875	127.0	2067.77099108696	59.5983	20.881493	124.49815	42.530056	0.0	0.0
