Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0708108	0.01331871	0.12505111	0.02907604	16000	-7.450581e-09	0.0024402488	-0.005693326	-0.0014062732	1.3564423	0.0068586934	0.060875	127.0	43.02192425727844	0.21007478	0.18198293	0.9133019	0.023300555	0.0	0.0
1	500.0	0.051718593	0.014761913	0.1096791	0.011011332	32000	3.7252903e-09	0.0020841633	-0.007095732	-0.0007202609	1.3564423	0.008902355	0.0835625	127.0	82.15073370933533	0.30429807	0.24410516	1.0464236	0.0289334	0.0	0.0
2	500.0	0.07812647	0.02779118	0.16023491	-0.008827064	48000	3.7252903e-09	0.002753077	-0.010886274	-0.0010575248	1.3564423	0.009354364	0.118062496	127.0	119.72509264945984	0.5085111	0.3247328	1.6514983	0.06873083	0.0	0.0
3	500.0	0.1407598	0.037884157	0.28217638	0.0149372965	64000	-5.5879354e-09	0.0046899808	-0.008898668	-0.0013289859	1.3564423	0.008207393	0.084	127.0	173.88531112670898	0.745879	0.3589869	1.780623	0.17812493	0.0	0.0
4	500.0	0.2177391	0.045679156	0.35320616	0.053048894	80000	-7.450581e-09	0.013611582	-0.00881086	-0.003887731	1.3564423	0.0071894033	0.072375	127.0	223.29966354370117	1.1781502	0.5062562	2.2675934	0.47436512	0.0	0.0
5	500.0	0.27299443	0.04819499	0.42388293	0.12640956	96000	1.4901161e-08	0.04973043	-0.008519744	-0.025275305	1.3564423	0.0060771722	0.0895625	127.0	282.8888478279114	1.9317436	0.74368995	4.0647235	0.59358615	0.0	0.0
6	500.0	0.42939082	0.112630084	0.8202389	0.083933145	112000	9.313226e-10	0.12551749	-0.008525487	-0.06332219	1.3564423	0.0064813993	0.0803125	127.0	326.9540927410126	2.8847737	1.4307667	7.0640187	0.70817584	0.0	0.0
7	500.0	0.77459496	0.2943936	1.6113744	0.04155482	128000	2.2351742e-08	0.43822432	-0.007573865	-0.25187272	1.3564423	0.005496295	0.07175	127.0	367.0255811214447	5.0195518	2.3427954	11.311295	1.1063842	0.0	0.0
8	500.0	1.4437248	0.695077	2.9423356	0.005340781	144000	7.450581e-09	0.47920826	-0.0088577205	-0.2150344	1.3564423	0.0063911993	0.0978125	127.0	407.99136424064636	6.888383	3.1606634	14.507974	1.5034492	0.0	0.0
9	500.0	2.1105027	0.9187898	3.769293	-0.10684614	160000	-1.21071935e-08	1.8496978	-0.008744033	-0.8517324	1.3564423	0.00724444	0.0948125	127.0	531.2691655158997	11.621191	5.390794	22.635109	3.3096669	0.0	0.0
10	500.0	3.2127478	1.3898431	5.8677435	-0.15357505	176000	1.8626451e-08	2.1894264	-0.008715803	-0.41737503	1.3564423	0.0077546085	0.1040625	127.0	578.8859870433807	14.30089	6.2390833	28.814272	5.914549	0.0	0.0
11	500.0	4.1243057	1.6320142	6.751727	-0.55982435	192000	-1.3038516e-08	2.3277812	-0.00747794	-0.3628647	1.3564423	0.0045989472	0.06025	127.0	620.4945776462555	16.03249	6.6895466	29.636454	3.7491043	0.0	0.0
12	500.0	4.569375	1.9681706	8.0093	-0.43456313	208000	-1.4901161e-08	2.3503826	-0.008462415	-0.738115	1.3564423	0.0072463034	0.0650625	127.0	664.062308549881	15.749079	6.3387303	28.346273	3.13411	0.0	0.0
13	500.0	4.642778	2.3482728	9.108049	-0.97860366	224000	0.0	3.4252422	-0.0075121056	-1.470403	1.3564423	0.00750774	0.058124997	127.0	703.5117211341858	15.234167	9.454213	36.17755	2.5315943	0.0	0.0
14	500.0	4.488635	2.8962283	10.0955305	-1.3402989	240000	-2.6077032e-08	1.7369637	-0.008171048	-0.29598746	1.3564423	0.0060161995	0.063125	127.0	745.9971618652344	15.447247	8.383326	32.000065	2.4107158	0.0	0.0
15	500.0	5.1297646	2.9597855	9.931043	-0.976009	256000	0.0	1.7303922	-0.010529581	-0.39131862	1.3564423	0.007860268	0.087500006	127.0	845.7957990169525	20.021473	9.071987	37.77927	3.7031777	0.0	0.0
16	500.0	6.5478835	2.9374166	10.588354	-0.49710974	272000	3.7252903e-09	3.6334317	-0.008886575	-0.4907148	1.3564423	0.008233906	0.078875005	127.0	917.4909880161285	25.661407	9.390062	57.504738	7.396673	0.0	0.0
17	500.0	6.8610744	2.7362728	11.5055065	-0.06933687	288000	1.4901161e-08	5.636402	-0.0069915983	-1.4097719	1.3564423	0.0060500503	0.055375002	127.0	978.5488674640656	24.420013	9.047991	44.18822	8.897984	0.0	0.0
18	500.0	6.6373105	2.3670633	10.097843	0.62756926	304000	-1.4901161e-08	5.488044	-0.007596632	-2.0550277	1.3564423	0.005407822	0.055625	127.0	1047.6295647621155	20.096066	8.432773	35.129646	6.7218275	0.0	0.0
19	500.0	5.676953	2.0287194	8.670022	0.8873732	320000	-2.9802322e-08	6.8673925	-0.006191343	-0.8243878	1.3564423	0.007801446	0.064500004	127.0	1123.136240720749	22.954733	11.690073	53.776665	7.3711066	0.0	0.0
20	500.0	6.1116056	1.816274	8.549395	1.1121551	336000	-3.7252903e-09	6.2707396	-0.006937337	-1.3135308	1.3564423	0.005544343	0.060000002	127.0	1178.8553314208984	26.556162	11.416037	47.15343	6.3514137	0.0	0.0
21	500.0	6.6809945	1.9251184	9.6070795	1.3903106	352000	1.1175871e-08	3.7953951	-0.007374494	-0.29969025	1.3564423	0.0049820254	0.0591875	127.0	1345.2770631313324	28.258858	8.973383	42.56447	6.065887	0.0	0.0
22	500.0	7.046204	1.938138	9.669932	0.8397761	368000	-7.450581e-09	3.2760677	-0.0076412675	-0.27913666	1.3564423	0.0053933905	0.0561875	127.0	1407.101166009903	29.134237	8.014886	46.90573	12.71097	0.0	0.0
23	500.0	7.121394	2.1651173	9.641798	0.009875336	384000	-3.3527613e-08	3.0903125	-0.006433179	-0.24395472	1.3564423	0.005957842	0.0500625	127.0	1465.44478225708	28.947506	8.111337	43.405304	7.7909126	0.0	0.0
