Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.04858052	0.02416175	0.112511635	-0.019303849	16000	-2.0489097e-08	0.008239672	-0.005701798	-0.0034479718	1.3564423	0.007997248	0.0715625	127.0	62.49425387382507	0.38816386	0.42957938	1.5991129	0.026410742	0.0	0.0
1	500.0	0.072433725	0.040223412	0.22139132	-0.01618582	32000	-1.6763806e-08	0.0066874158	-0.0070094476	-0.0016577356	1.3564423	0.010185378	0.112749994	127.0	104.36841535568237	0.48011708	0.50040984	2.6517649	0.030292284	0.0	0.0
2	500.0	0.13128868	0.06236586	0.33451694	-0.007409936	48000	-9.313226e-09	0.025809096	-0.009762826	-0.009894714	1.3564423	0.0097673945	0.1209375	127.0	159.48865461349487	0.9917216	0.98253727	5.1886277	0.1472845	0.0	0.0
3	500.0	0.30703515	0.11916613	0.79599005	0.043300472	64000	2.9802322e-08	0.047052972	-0.008967009	-0.028860398	1.3564423	0.008744426	0.0910625	127.0	228.23432207107544	1.6167743	1.3338133	5.3793955	0.046107758	0.0	0.0
4	500.0	0.58281875	0.2248262	1.4170634	-0.062278293	80000	3.7252903e-09	0.10921984	-0.009966055	-0.046047047	1.3564423	0.009264506	0.1011875	127.0	283.7341275215149	2.1687837	1.7932857	8.15697	0.33107212	0.0	0.0
5	500.0	0.49932513	0.23005588	1.1326339	-0.18365207	96000	0.0	0.050370716	-0.0122145545	-0.016717575	1.3564423	0.007246745	0.12275	127.0	357.94779801368713	2.316728	1.557548	5.743219	0.18397382	0.0	0.0
6	500.0	0.7322045	0.3358433	1.6615183	-0.11961458	112000	2.2351742e-08	0.42025554	-0.00936779	-0.18726985	1.3564423	0.00790203	0.098124996	127.0	402.14303517341614	4.9922466	3.187729	11.399986	0.52205014	0.0	0.0
7	500.0	1.428027	0.5761221	2.8683274	-0.18837173	128000	-3.3527613e-08	1.7321844	-0.008461118	-0.79046047	1.3564423	0.0061256625	0.0828125	127.0	456.2454743385315	9.365216	5.5857325	21.702055	1.4216312	0.0	0.0
8	500.0	2.5144985	1.0672367	5.351199	-0.2615509	144000	-1.4901161e-08	2.4530847	-0.009903064	-0.87642395	1.3564423	0.0068717543	0.088937506	127.0	564.276941537857	13.81313	6.4355984	30.653824	4.411137	0.0	0.0
9	500.0	3.8526871	1.2926917	6.545113	-0.5963675	160000	-4.4703484e-08	3.5038671	-0.008381897	-1.4540282	1.3564423	0.0065514585	0.069437504	127.0	647.1443223953247	21.285957	8.036514	37.54238	7.240051	0.0	0.0
10	500.0	5.348749	1.6733333	8.243254	-0.7745261	176000	-4.4703484e-08	3.807118	-0.00966205	-1.0448432	1.3564423	0.006916124	0.083375	127.0	736.4812500476837	26.946842	7.44887	44.176098	12.276699	0.0	0.0
