Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.043753322	0.022136377	0.12244135	-0.043114856	16000	-7.450581e-09	0.0054539056	-0.0066823238	-0.0022531003	1.3564423	0.0075900196	0.074875005	127.0	40.34200644493103	0.33685964	0.34000295	1.3240385	0.026888419	0.0	0.0
1	500.0	0.06456894	0.028252847	0.1437468	-0.013513021	32000	0.0	0.004027788	-0.0062011085	-0.0010080785	1.3564423	0.009094991	0.0901875	127.0	73.06353211402893	0.40436882	0.3618516	1.5542781	0.030309446	0.0	0.0
2	500.0	0.0846305	0.039618675	0.23160657	-0.0069222134	48000	-3.7252903e-09	0.010864202	-0.008758609	-0.00424073	1.3564423	0.009278661	0.112187505	127.0	115.99613976478577	0.6767092	0.61902654	2.8664298	0.10752817	0.0	0.0
3	500.0	0.17833385	0.07832379	0.39104545	-0.022936182	64000	-1.8626451e-08	0.02399148	-0.009207951	-0.011944677	1.3564423	0.00890729	0.0991875	127.0	161.69660806655884	1.2258774	0.8988816	3.968654	0.21087323	0.0	0.0
4	500.0	0.4433178	0.15305172	1.0535469	0.014984142	80000	5.5879354e-09	0.14416698	-0.008245123	-0.06677705	1.3564423	0.007865294	0.083312504	127.0	200.3387393951416	2.7520058	1.929752	8.190127	0.44120878	0.0	0.0
5	500.0	0.6425315	0.2194711	1.3107119	0.042558577	96000	-1.4901161e-08	0.15031037	-0.011023087	-0.061196856	1.3564423	0.008987036	0.117874995	127.0	242.68128871917725	3.582337	2.2413187	9.976534	0.327589	0.0	0.0
6	500.0	1.1218139	0.46004844	2.450959	-0.16543272	112000	1.6763806e-08	2.435853	-0.00761226	-1.1967173	1.3564423	0.007221009	0.0904375	127.0	286.7597634792328	9.346153	6.948307	28.496397	2.2871673	0.0	0.0
7	500.0	2.803148	1.1151929	5.423838	-0.8353627	128000	-3.3527613e-08	4.455352	-0.00929108	-1.9826009	1.3564423	0.0070098964	0.0913125	127.0	330.523029088974	18.052269	9.044406	33.530727	3.3754146	0.0	0.0
8	500.0	4.7629175	1.6259401	7.5293016	-1.2514372	144000	0.0	3.2557535	-0.009538939	-0.55890894	1.3564423	0.0064275265	0.08543751	127.0	384.31882786750793	21.449532	7.623859	42.983593	6.676354	0.0	0.0
9	500.0	5.648607	1.6821992	8.180473	-0.38547784	160000	2.6077032e-08	2.7820435	-0.0084281415	-0.32912946	1.3564423	0.006217002	0.0643125	127.0	440.7462041378021	23.795235	6.518218	35.648846	9.479982	0.0	0.0
10	500.0	6.1508203	1.5934013	8.25831	0.111154735	176000	7.450581e-09	3.7728343	-0.0081542805	-0.7405561	1.3564423	0.006963848	0.0661875	127.0	494.05300879478455	24.405355	6.081071	37.358334	13.339684	0.0	0.0
11	500.0	5.880903	0.99930954	7.0295267	1.295959	192000	-3.4458935e-08	10.201417	-0.006083508	-1.4907238	1.3564423	0.0042066947	0.0479375	127.0	530.3050236701965	31.397263	12.183219	88.058975	14.716078	0.0	0.0
12	500.0	6.9244823	0.97003514	8.143337	1.715629	208000	-2.2351742e-08	4.4967394	-0.008788635	-0.5534574	1.3564423	0.005887501	0.0629375	127.0	566.9983448982239	33.816914	8.36063	55.16203	19.079697	0.0	0.0
13	500.0	7.5568814	0.9378981	8.468167	1.550432	224000	-1.4901161e-08	3.8717089	-0.007966669	-0.55705535	1.3564423	0.006594616	0.0604375	127.0	608.288825750351	33.14886	7.473545	47.667465	22.352985	0.0	0.0
14	500.0	7.4016914	1.1948378	8.909185	-0.0057342127	240000	1.4901161e-08	3.4645734	-0.010326298	-0.24749404	1.3564423	0.0070318305	0.07525	127.0	643.0706419944763	33.623688	7.7920847	50.536682	18.379921	0.0	0.0
15	500.0	7.495753	0.91521585	8.646277	2.0795057	256000	1.4901161e-08	5.516974	-0.0074034864	-0.7690202	1.3564423	0.0057388297	0.0453125	127.0	683.1901724338531	37.516403	9.891775	53.224674	21.474792	0.0	0.0
16	500.0	8.065441	0.96560025	9.277874	3.2375817	272000	-3.7252903e-09	5.716263	-0.009127786	-1.4522555	1.3564423	0.006650067	0.0668125	127.0	719.0102117061615	32.20931	9.666229	55.318695	12.813399	0.0	0.0
17	500.0	7.2281847	1.2275212	8.770915	2.1449435	288000	-2.6077032e-08	26.842844	-0.007380542	-2.745298	1.3564423	0.0060018944	0.0585	127.0	754.553334236145	40.654446	24.762213	135.8465	11.758225	0.0	0.0
18	500.0	8.407113	1.3491129	9.949588	0.8381071	304000	-2.0489097e-08	4.78249	-0.009324586	-1.0776031	1.3564423	0.0070588505	0.062875	127.0	790.5702185630798	35.470856	8.161531	52.096325	21.360973	0.0	0.0
19	500.0	7.645379	1.7868395	9.570866	0.31631395	320000	1.3038516e-08	4.508713	-0.009387238	-0.87920845	1.3564423	0.0066499542	0.0695625	127.0	825.0838198661804	36.023003	9.909649	54.247356	18.855783	0.0	0.0
20	500.0	7.9921045	1.5143508	10.115306	0.95258605	336000	-7.450581e-09	12.434921	-0.008183152	-2.2145731	1.3564423	0.0073915115	0.0829375	127.0	865.8662745952606	44.0473	17.146942	121.39453	18.194866	0.0	0.0
21	500.0	9.89358	1.1921139	11.536126	4.588067	352000	-1.4901161e-08	11.993636	-0.00884144	-2.0626042	1.3564423	0.006386931	0.075	127.0	903.9723651409149	48.929226	14.13022	96.63331	31.64163	0.0	0.0
22	500.0	10.4440975	1.9931865	13.076743	0.9775928	368000	1.1175871e-08	9.541487	-0.009178101	-1.960639	1.3564423	0.007220058	0.070187494	127.0	941.4587888717651	43.981827	13.235064	85.16195	19.82395	0.0	0.0
23	500.0	10.038411	1.7178682	12.805737	1.2227918	384000	-1.4901161e-08	19.361797	-0.007702554	-2.1948767	1.3564423	0.0059384266	0.062562495	127.0	980.0487835407257	51.61817	20.838175	117.900894	30.32978	0.0	0.0
24	500.0	10.744218	2.5913508	14.248859	-7.84206	400000	-6.146729e-08	12.496172	-0.00854446	-7.15623	1.3564423	0.0054339096	0.065312505	127.0	1016.4199385643005	37.703423	13.20262	66.26264	14.686888	0.0	0.0
25	500.0	9.09167	2.0164998	12.872328	-0.53043526	416000	7.450581e-09	9.837453	-0.0085022375	-1.6982793	1.3564423	0.008113936	0.07206249	127.0	1050.2011759281158	43.071045	15.020276	88.5556	15.525389	0.0	0.0
26	500.0	9.832591	1.7595041	12.875812	0.89722764	432000	2.9802322e-08	21.121973	-0.00780107	-2.5242777	1.3564423	0.006402584	0.068125	127.0	1089.688631772995	46.498257	20.71663	123.478775	21.280405	0.0	0.0
27	500.0	10.320171	2.3289342	13.8793955	-1.64307	448000	0.0	10.06918	-0.009970931	-1.823602	1.3564423	0.009960471	0.085999995	127.0	1127.574066877365	51.508636	12.298722	92.02757	28.350037	0.0	0.0
28	500.0	11.332537	1.9579515	14.188435	2.058314	464000	1.6763806e-08	17.911652	-0.0075560953	-2.4426785	1.3564423	0.0057625724	0.054125	127.0	1165.959668636322	53.403023	19.585558	102.43032	22.906422	0.0	0.0
29	500.0	10.94569	3.0299137	14.979525	-0.2383301	480000	-1.1175871e-08	17.901592	-0.008429671	-2.0390878	1.3564423	0.007754611	0.074125	127.0	1204.1102290153503	52.011036	20.182142	94.13743	13.248294	0.0	0.0
30	500.0	11.813191	3.3423061	16.14723	0.1556995	496000	-2.6077032e-08	13.413162	-0.009353131	-2.419386	1.3564423	0.0077551445	0.08	127.0	1243.1847145557404	49.46595	17.203459	115.10531	13.325294	0.0	0.0
31	500.0	10.075327	3.865935	14.324897	-1.0156627	512000	0.0	6.917944	-0.009039194	-2.7764535	1.3564423	0.00629663	0.07412501	127.0	1294.2215695381165	41.49759	13.690902	65.25452	14.452735	0.0	0.0
32	500.0	9.663291	2.8449419	13.619179	0.57598174	528000	1.9557774e-08	16.089771	-0.008562241	-1.7261664	1.3564423	0.005241888	0.073062494	127.0	1347.876285791397	45.237247	19.436262	98.48127	22.54714	0.0	0.0
33	500.0	9.4725485	3.4537535	14.255116	-0.3952081	544000	1.1175871e-08	13.415292	-0.008990692	-3.6531963	1.3564423	0.0063196444	0.0695	127.0	1393.7275757789612	42.603493	18.109005	122.800705	12.767766	0.0	0.0
34	500.0	8.947869	3.025727	14.784076	0.119199485	560000	0.0	28.67557	-0.008556915	-6.13972	1.3564423	0.01144544	0.088625	127.0	1431.8016216754913	50.984074	25.148815	126.78031	15.186998	0.0	0.0
35	500.0	10.298765	3.131634	15.173095	0.7220139	576000	-3.7252903e-08	10.578012	-0.009566526	-3.3907132	1.3564423	0.0070365914	0.073625	127.0	1467.5011756420135	43.194794	12.871885	95.90619	14.10072	0.0	0.0
36	500.0	9.372046	2.8439965	14.955911	0.5732813	592000	-9.313226e-10	7.9338236	-0.010120109	-0.84114504	1.3564423	0.006868622	0.087875	127.0	1501.283573627472	46.078335	16.268845	115.81155	15.937509	0.0	0.0
