Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07689124	0.013444976	0.13176134	0.03483011	16000	-1.4901161e-08	0.0026672452	-0.005779108	-0.0016190745	1.3564423	0.0069974437	0.059750002	127.0	45.27464246749878	0.21203768	0.17728677	0.8843813	0.024101492	0.0	0.0
1	500.0	0.05347815	0.0139233	0.11076478	0.014969055	32000	-1.1175871e-08	0.0021133795	-0.006800703	-0.00073745626	1.3564423	0.008631065	0.07875	127.0	163.48816967010498	0.3057481	0.23810533	1.0174124	0.029215684	0.0	0.0
2	500.0	0.07679938	0.025638046	0.15337469	-0.004565563	48000	4.4703484e-08	0.0028206832	-0.010424492	-0.0010442453	1.3564423	0.009189729	0.1161875	127.0	202.14872527122498	0.49302185	0.32330725	1.7127153	0.077850185	0.0	0.0
3	500.0	0.13509393	0.034560364	0.264334	0.015539583	64000	-1.3038516e-08	0.0044331243	-0.008894496	-0.0012296487	1.3564423	0.007926261	0.084625	127.0	244.2492287158966	0.7287597	0.34867677	1.7412152	0.18680839	0.0	0.0
4	500.0	0.20847125	0.043050088	0.33385476	0.056067355	80000	0.0	0.0136636235	-0.008958136	-0.0039200736	1.3564423	0.007277717	0.074	127.0	282.9072995185852	1.1809233	0.5123256	2.2836277	0.48111132	0.0	0.0
5	500.0	0.2677447	0.04805132	0.4152223	0.123686925	96000	4.4703484e-08	0.05279935	-0.008318553	-0.02673057	1.3564423	0.005735973	0.0849375	127.0	323.58395171165466	1.9443372	0.77744824	4.2608824	0.6101385	0.0	0.0
6	500.0	0.42307046	0.1108579	0.8033203	0.07782829	112000	4.0978193e-08	0.12581283	-0.008193042	-0.06488504	1.3564423	0.0063785464	0.07925	127.0	370.4374656677246	2.8940377	1.4215846	7.092367	0.70982426	0.0	0.0
7	500.0	0.7881173	0.2955344	1.5925484	0.040137034	128000	2.2351742e-08	0.48165184	-0.007480585	-0.27056056	1.3564423	0.0055281147	0.06825	127.0	407.7601914405823	5.202639	2.480375	11.588924	1.0633839	0.0	0.0
8	500.0	1.5023259	0.7002499	2.9924424	0.011232693	144000	-4.4703484e-08	0.62451655	-0.008602455	-0.27379286	1.3564423	0.00609119	0.0931875	127.0	446.78381419181824	7.4705706	3.3884902	16.126932	1.6249287	0.0	0.0
9	500.0	2.2013128	0.9571007	3.9845216	-0.13276902	160000	-3.7252903e-08	1.9813604	-0.009293628	-0.8869854	1.3564423	0.007691296	0.095375	127.0	489.1447694301605	12.087062	5.5929456	22.526222	3.7641675	0.0	0.0
10	500.0	3.2447588	1.3907727	5.7043276	-0.1525806	176000	0.0	1.9405389	-0.008862032	-0.36894286	1.3564423	0.0076658535	0.0979375	127.0	531.4734473228455	14.174009	5.9335766	27.050825	6.005247	0.0	0.0
11	500.0	4.198867	1.6662368	7.1710114	-0.40253362	192000	9.313226e-10	2.5543518	-0.007699105	-0.30296576	1.3564423	0.00463045	0.0653125	127.0	566.9818167686462	17.452353	6.899732	31.62553	3.8535564	0.0	0.0
12	500.0	4.8013687	1.9744434	8.472185	-0.3550162	208000	1.4901161e-08	2.7380497	-0.008221902	-1.0050217	1.3564423	0.0063947495	0.0663125	127.0	608.5344593524933	16.954805	6.6813316	30.698063	5.4035954	0.0	0.0
13	500.0	4.799581	2.41028	9.142473	-1.0201759	224000	0.0	3.7373066	-0.0076015936	-1.7539072	1.3564423	0.0072537605	0.053937502	127.0	647.8116455078125	15.546911	10.172392	37.185642	2.54854	0.0	0.0
14	500.0	4.6559606	3.0291536	10.208712	-1.5476198	240000	-4.656613e-09	1.9236186	-0.0086223055	-0.35917896	1.3564423	0.0058019236	0.0655	127.0	685.0497422218323	17.017433	9.014929	35.363625	2.7217865	0.0	0.0
15	500.0	5.691967	3.2342942	11.272378	-1.0492893	256000	2.2351742e-08	5.9860477	-0.008744529	-0.6553516	1.3564423	0.008903249	0.0945	127.0	726.5757467746735	23.117865	12.299007	67.98354	3.8224022	0.0	0.0
16	500.0	7.4259562	3.186737	11.313583	-0.5006492	272000	0.0	4.8003564	-0.008970683	-1.5951363	1.3564423	0.0075515956	0.0695	127.0	765.4328145980835	24.352266	8.373148	41.591705	5.974231	0.0	0.0
17	500.0	6.7131906	2.559616	10.5798235	0.48799855	288000	3.7252903e-08	4.928098	-0.0076940088	-1.0057651	1.3564423	0.007100405	0.054375	127.0	802.7357802391052	23.209576	8.499255	40.021843	7.5151796	0.0	0.0
18	500.0	6.3440013	2.177281	9.563935	0.8354739	304000	-1.8626451e-08	3.3787773	-0.0080347685	-0.5693629	1.3564423	0.006420692	0.062750004	127.0	840.4138662815094	23.1943	8.279562	36.59084	6.183807	0.0	0.0
19	500.0	6.055993	2.1516864	8.9787245	1.0289828	320000	1.4901161e-08	13.953473	-0.0070603862	-1.7668505	1.3564423	0.008194489	0.0766875	127.0	888.9571707248688	26.919287	17.379126	100.532326	10.103366	0.0	0.0
20	500.0	7.115991	2.4194906	10.794179	0.8917894	336000	0.0	1.9283793	-0.008323643	-0.21790257	1.3564423	0.00673272	0.061312497	127.0	929.6687648296356	29.634048	5.9323773	39.509377	18.198801	0.0	0.0
21	500.0	7.4659452	2.2613387	10.632651	1.3181312	352000	-7.450581e-09	2.5886688	-0.007768769	-0.27584437	1.3564423	0.0056100856	0.053625	127.0	970.7254168987274	30.922539	7.7034073	46.20298	10.093286	0.0	0.0
22	500.0	7.6142225	2.4633148	10.955345	0.9416267	368000	-2.2351742e-08	2.980969	-0.007922207	-0.15696412	1.3564423	0.005640569	0.060187504	127.0	1010.6085538864136	30.573776	8.51185	50.72445	7.2836723	0.0	0.0
23	500.0	7.5718694	2.5433779	11.277918	0.4551872	384000	-7.450581e-09	2.971064	-0.0069283275	-0.4771006	1.3564423	0.0066096126	0.0455	127.0	1049.3825633525848	31.213602	8.947171	45.68557	7.1852393	0.0	0.0
24	500.0	7.843756	2.5987806	10.958965	0.34262595	400000	-3.7252903e-09	2.3477044	-0.008215362	-0.48594373	1.3564423	0.009101828	0.056250002	127.0	1089.6901364326477	33.858234	7.699479	46.269497	11.777331	0.0	0.0
25	500.0	8.421722	2.5539136	11.756642	-0.23524903	416000	3.7252903e-09	2.329416	-0.008480337	-0.27355188	1.3564423	0.0064756125	0.0604375	127.0	1125.5450448989868	32.31507	7.4138494	45.203957	18.148153	0.0	0.0
26	500.0	8.288629	2.6300793	11.940405	0.3746649	432000	-1.1175871e-08	5.3073416	-0.0063328287	-1.1486894	1.3564423	0.006792171	0.046375	127.0	1165.8978462219238	35.197647	10.598451	58.824947	4.937376	0.0	0.0
27	500.0	8.762172	2.7470806	12.568256	0.48353744	448000	1.3038516e-08	2.0033503	-0.008730103	-0.19665866	1.3564423	0.008083765	0.056625	127.0	1203.701622724533	35.99889	6.4247007	47.70704	16.476107	0.0	0.0
28	500.0	8.694549	2.4926646	11.704132	-0.61732316	464000	-7.450581e-09	3.16753	-0.0077767274	-0.34076774	1.3564423	0.0047001997	0.0555625	127.0	1246.051355600357	36.933655	9.899702	51.53995	13.739256	0.0	0.0
29	500.0	8.948619	2.7485483	12.30733	0.57934713	480000	2.9802322e-08	3.7152267	-0.00820926	-0.74754816	1.3564423	0.006285484	0.058750004	127.0	1288.9636974334717	34.3049	11.115205	49.991375	8.026842	0.0	0.0
30	500.0	8.593338	2.738489	13.196309	0.66458625	496000	1.8626451e-09	1.5617657	-0.0073019597	-0.19113597	1.3564423	0.008258253	0.063999996	127.0	1331.8638393878937	33.745003	6.5904365	47.135807	18.21631	0.0	0.0
31	500.0	8.604555	2.8903353	12.71794	-0.25116658	512000	1.4901161e-08	2.7089295	-0.007881614	-0.33779803	1.3564423	0.005720604	0.062250003	127.0	1388.050164937973	33.892624	8.647267	48.754707	16.420612	0.0	0.0
32	500.0	8.503674	2.7784429	12.729635	0.20151785	528000	-2.2351742e-08	1.8533195	-0.008469468	-0.26985562	1.3564423	0.0066730543	0.0635625	127.0	1446.5812027454376	36.217674	6.622889	47.738014	20.352783	0.0	0.0
33	500.0	8.650248	2.5223095	12.243417	0.5215756	544000	1.4901161e-08	2.987951	-0.008970045	-0.74852353	1.3564423	0.0076013408	0.070375	127.0	1497.704776763916	34.14517	8.917779	47.615475	15.584909	0.0	0.0
34	500.0	8.646156	2.6015282	12.613449	0.92953926	560000	-9.313226e-09	2.646203	-0.008472157	-0.45399243	1.3564423	0.0076344972	0.067999996	127.0	1538.900315284729	35.480972	8.6802	50.37555	5.3372917	0.0	0.0
35	500.0	8.850828	2.4904342	12.523907	0.39768437	576000	0.0	2.768663	-0.006765282	-0.39840645	1.3564423	0.0061182044	0.051062502	127.0	1579.8488578796387	37.493652	7.9713798	49.38194	18.553642	0.0	0.0
36	500.0	8.858481	2.6870925	12.777788	-0.69326925	592000	-1.4901161e-08	2.1830413	-0.007363856	-0.22141346	1.3564423	0.0051709814	0.051375	127.0	1615.8066325187683	35.01367	8.205746	46.957916	17.815273	0.0	0.0
37	500.0	8.916289	2.7868152	13.363813	-0.19095054	608000	7.450581e-09	2.356853	-0.007252246	-0.4030596	1.3564423	0.0065869074	0.056874998	127.0	1654.95356965065	34.897003	8.70811	48.368153	11.6058	0.0	0.0
38	500.0	8.627342	2.850554	12.584803	0.6928713	624000	-7.450581e-09	3.2570283	-0.008462773	-0.7105324	1.3564423	0.006797446	0.070875004	127.0	1702.4415674209595	34.57579	9.806005	48.573624	7.874346	0.0	0.0
39	500.0	8.873154	2.7243333	12.64693	1.0047256	640000	-2.2351742e-08	2.2559152	-0.008277318	-0.26245788	1.3564423	0.0063266074	0.0650625	127.0	1743.0233614444733	36.32338	8.44828	48.234863	7.0706916	0.0	0.0
40	500.0	8.202837	2.7544847	12.941793	-0.09470914	656000	1.8626451e-09	4.202339	-0.008514248	-1.5871955	1.3564423	0.005609819	0.064125	127.0	1785.7978870868683	29.22887	10.435397	50.460434	10.80134	0.0	0.0
41	500.0	8.125926	2.6524465	12.12288	1.235386	672000	5.5879354e-09	2.9472651	-0.0078803785	-0.52716297	1.3564423	0.0054358216	0.0621875	127.0	1832.8366961479187	34.320312	8.771015	48.622677	6.3100567	0.0	0.0
42	500.0	8.580343	2.827552	12.71359	0.9245316	688000	2.2351742e-08	3.3091583	-0.0071173767	-0.34813333	1.3564423	0.006482179	0.0560625	127.0	1869.0136723518372	33.927162	9.921913	49.145798	16.642715	0.0	0.0
43	500.0	8.298727	2.467115	12.551007	1.2438612	704000	1.1175871e-08	3.9456465	-0.0072015654	-0.51890635	1.3564423	0.0068550063	0.0553125	127.0	1906.764564037323	33.441353	10.034723	52.86122	15.026503	0.0	0.0
44	500.0	8.25328	2.6027677	11.942033	1.091273	720000	7.450581e-09	7.3807364	-0.0079010045	-1.0585558	1.3564423	0.009518535	0.07075	127.0	1954.0544056892395	37.78868	13.962769	92.305855	9.698406	0.0	0.0
45	500.0	9.117953	2.7499838	13.225395	0.53809285	736000	7.450581e-09	3.2756183	-0.008287479	-1.0969948	1.3564423	0.005341171	0.0595	127.0	2003.2482726573944	33.749165	10.150054	48.47815	8.70206	0.0	0.0
46	500.0	8.66742	3.1007702	13.665019	0.7514593	752000	-7.450581e-09	9.600639	-0.008163188	-1.1574378	1.3564423	0.006547536	0.06925	127.0	2046.23557472229	36.18998	14.712381	91.04198	13.761882	0.0	0.0
47	500.0	9.076664	3.5345507	14.646259	1.4318874	768000	-1.4901161e-08	4.255724	-0.008517077	-0.49857706	1.3564423	0.006790122	0.0645625	127.0	2082.077076435089	34.47084	10.516059	63.35798	15.174057	0.0	0.0
48	500.0	9.267446	3.2423704	13.483749	1.0498782	784000	0.0	2.1541474	-0.00833614	-0.2061619	1.3564423	0.0077421144	0.073125005	127.0	2125.267319917679	35.51003	7.9280667	50.916645	20.57954	0.0	0.0
49	500.0	8.738119	3.0658066	13.115423	1.3786714	800000	7.450581e-09	2.0861125	-0.008917269	-0.38813475	1.3564423	0.008532794	0.073625	127.0	2164.093670129776	35.124878	9.262047	49.47436	17.78295	0.0	0.0
50	500.0	8.893488	2.9259353	12.987599	1.4825888	816000	2.2351742e-08	3.0546925	-0.009196799	-0.442446	1.3564423	0.0062238793	0.0678125	127.0	2203.425339460373	33.89684	9.452911	52.129147	19.03234	0.0	0.0
51	500.0	8.825766	2.8838308	12.622843	1.3419076	832000	0.0	2.034582	-0.008176789	-0.42128542	1.3564423	0.007413199	0.061	127.0	2243.7576344013214	35.547554	8.673962	49.929924	20.795774	0.0	0.0
52	500.0	8.592516	2.8148286	12.600482	1.6253175	848000	3.7252903e-09	2.419065	-0.008323111	-0.5323079	1.3564423	0.0060298187	0.0668125	127.0	2287.543623447418	34.61844	10.013448	50.847404	16.344025	0.0	0.0
53	500.0	9.118077	2.9660919	13.073659	2.0045524	864000	-1.4901161e-08	2.254217	-0.00853843	-0.38076442	1.3564423	0.0059820553	0.059375003	127.0	2328.0353956222534	36.62017	8.766604	52.51552	17.83391	0.0	0.0
54	500.0	9.087913	2.991431	12.785263	1.915097	880000	1.4901161e-08	6.3722205	-0.008351546	-0.7192532	1.3564423	0.006311469	0.0673125	127.0	2372.779016017914	37.91034	13.292106	88.83206	17.812294	0.0	0.0
55	500.0	9.033696	3.1294682	13.429468	2.0748045	896000	-1.4901161e-08	2.5744538	-0.00943595	-0.9568172	1.3564423	0.005691096	0.079500005	127.0	2414.646052122116	34.051834	8.054443	47.881027	22.054811	0.0	0.0
56	500.0	8.851777	2.7635741	12.139834	2.0297315	912000	-1.4901161e-08	8.862592	-0.008495714	-1.537706	1.3564423	0.0071927602	0.070625	127.0	2454.259286403656	38.841167	14.788592	84.675934	4.258662	0.0	0.0
57	500.0	8.9342985	2.97942	13.816527	2.1527653	928000	2.2351742e-08	3.3455448	-0.008236838	-1.2379246	1.3564423	0.006324286	0.056374997	127.0	2491.6517338752747	32.995567	10.754733	54.34343	11.739368	0.0	0.0
