Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07486517	0.014622443	0.13178253	0.036680885	16000	6.7055225e-08	0.002627853	-0.0058243154	-0.0016558489	1.3564423	0.007059981	0.061750002	127.0	119.9466564655304	0.19682372	0.17364925	0.8334001	0.024101492	0.0	0.0
1	500.0	0.05173987	0.014478951	0.10673176	0.013046049	32000	-5.5879354e-09	0.0020905435	-0.006961974	-0.00078462163	1.3564423	0.008650894	0.0805	127.0	158.1893289089203	0.29236877	0.23336351	1.0352442	0.029414786	0.0	0.0
2	500.0	0.07654589	0.031650998	0.16700587	-0.006309118	48000	-2.0489097e-08	0.0025653434	-0.011803995	-0.0006874129	1.3564423	0.010344947	0.1369375	127.0	198.44780564308167	0.44762737	0.30233002	1.5303539	0.06714981	0.0	0.0
3	500.0	0.13119794	0.03801488	0.27667546	0.029189445	64000	2.2351742e-08	0.0049405983	-0.0086281635	-0.0015615758	1.3564423	0.008354413	0.0805	127.0	236.24750447273254	0.72116685	0.37501264	1.7583139	0.15547936	0.0	0.0
4	500.0	0.20955415	0.047252044	0.3665874	0.047349323	80000	7.450581e-09	0.010897963	-0.0088781435	-0.003727442	1.3564423	0.0070484453	0.072500005	127.0	277.15669345855713	1.0646325	0.4152587	2.1221328	0.5015782	0.0	0.0
5	500.0	0.24240671	0.03958421	0.3598319	0.10899544	96000	0.0	0.017850708	-0.010410853	-0.006308598	1.3564423	0.0065438594	0.0949375	127.0	323.36372566223145	1.512593	0.5080955	2.870251	0.60366905	0.0	0.0
6	500.0	0.3367432	0.0643991	0.54073703	0.12962501	112000	0.0	0.036443457	-0.0087766405	-0.01931845	1.3564423	0.006017128	0.077250004	127.0	358.3126654624939	2.0928962	0.90935457	4.4531097	0.72129565	0.0	0.0
7	500.0	0.5219066	0.12801704	1.1088492	0.09726292	128000	-1.4901161e-08	0.06611584	-0.00844464	-0.027246475	1.3564423	0.006370962	0.068812504	127.0	399.94557428359985	2.7473965	1.4066846	5.394783	0.5150014	0.0	0.0
8	500.0	0.6520963	0.2373646	1.4259835	0.02297622	144000	-1.4901161e-08	0.18600717	-0.006642362	-0.10604382	1.3564423	0.0067149154	0.084875	127.0	440.54546308517456	3.7275703	2.2925217	10.961914	1.4039193	0.0	0.0
9	500.0	0.85559607	0.32746923	1.9175537	-0.07739354	160000	7.450581e-09	0.07143807	-0.010179499	-0.028655633	1.3564423	0.00786365	0.09118749	127.0	477.13322949409485	3.8825948	1.4587346	6.7849593	1.3314716	0.0	0.0
10	500.0	1.0443447	0.49341694	2.7326238	-0.048001137	176000	-7.450581e-09	0.10326731	-0.0072604567	-0.032307148	1.3564423	0.0051893312	0.0639375	127.0	516.8344662189484	4.660511	2.3569932	10.090116	1.8945442	0.0	0.0
11	500.0	1.1394584	0.4978334	2.9215596	0.14109235	192000	-1.3038516e-08	0.12551232	-0.0074090045	-0.037962705	1.3564423	0.005692647	0.074687496	127.0	558.8535406589508	4.9692907	2.5840926	12.1873045	2.479572	0.0	0.0
12	500.0	1.6657389	0.8929097	3.7384343	0.16397245	208000	0.0	0.14581776	-0.006807263	-0.019903215	1.3564423	0.006233418	0.06025	127.0	594.225873708725	6.919842	3.0339217	13.131463	2.7592955	0.0	0.0
13	500.0	1.7599294	0.9584559	4.394644	0.15986684	224000	3.7252903e-09	0.32741332	-0.008906975	-0.09071022	1.3564423	0.007957024	0.080125004	127.0	634.923326253891	7.196063	4.2026567	18.465145	2.386186	0.0	0.0
14	500.0	1.9578454	1.0782031	4.624955	-0.11451291	240000	-1.4901161e-08	0.39083618	-0.008323551	-0.10060712	1.3564423	0.008263018	0.0690625	127.0	677.7221336364746	7.5915384	3.9839063	17.135635	1.8128484	0.0	0.0
15	500.0	1.9776628	1.0991204	4.558229	0.15501933	256000	0.0	0.41581932	-0.008144888	-0.05741022	1.3564423	0.007244437	0.0881875	127.0	714.6018841266632	8.280017	5.1930304	20.84693	1.2884424	0.0	0.0
16	500.0	2.5628655	1.23308	4.7986903	-0.2503264	272000	-5.9604645e-08	0.7164447	-0.0067139855	-0.2614565	1.3564423	0.004981476	0.0511875	127.0	753.0666122436523	9.095619	4.6077833	20.877417	1.8712972	0.0	0.0
17	500.0	2.534144	0.9335362	4.3083787	-0.164599	288000	-7.450581e-09	1.023115	-0.0067097973	-0.42183077	1.3564423	0.005812467	0.057187498	127.0	794.0877974033356	10.918234	5.707499	29.232454	2.4698324	0.0	0.0
18	500.0	2.406429	1.2160363	4.645457	-0.7363618	304000	-9.313226e-09	1.8853614	-0.008053585	-0.5476353	1.3564423	0.008056983	0.087124996	127.0	837.8533358573914	11.893968	8.430945	32.816372	1.8210771	0.0	0.0
19	500.0	2.9669585	1.7744029	7.2188706	-1.375514	320000	-1.4901161e-08	1.2590606	-0.0070851743	-0.45003432	1.3564423	0.0068017314	0.065874994	127.0	875.7272439002991	12.521086	9.00874	38.803646	2.3386064	0.0	0.0
20	500.0	3.458422	1.9813603	8.693661	-1.400254	336000	-1.8626451e-09	1.0502173	-0.007973563	-0.41099927	1.3564423	0.0073213005	0.065375	127.0	911.6467041969299	14.06831	8.265189	29.776663	2.6075132	0.0	0.0
