Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.013803294	0.026270067	0.09189613	-0.04351253	16000	2.9802322e-08	0.0036797368	-0.006758294	-0.0017238195	1.3564423	0.0075082807	0.073687494	127.0	42.19016766548157	0.30991417	0.23754573	1.0799081	0.06203363	0.0	0.0
1	500.0	0.05261718	0.026104553	0.12214717	-0.02481059	32000	8.381903e-09	0.0027841171	-0.00769846	-0.0006692292	1.3564423	0.010703739	0.1246875	127.0	77.58423018455505	0.31857145	0.31406	1.6891015	0.042148564	0.0	0.0
2	500.0	0.09681291	0.031080766	0.17693411	0.015163902	48000	2.9802322e-08	0.02244802	-0.007959075	-0.011943017	1.3564423	0.0077659073	0.091875	127.0	117.78148317337036	1.0635622	0.6442608	2.5958276	0.21598059	0.0	0.0
3	500.0	0.23063125	0.06518585	0.429649	0.051166564	64000	7.450581e-09	0.03983159	-0.0077134953	-0.01336801	1.3564423	0.006440044	0.084437504	127.0	155.99540519714355	1.4428332	1.136202	6.397893	0.26350144	0.0	0.0
4	500.0	0.3772398	0.09511962	0.6625864	0.038676936	80000	-1.8626451e-08	0.13229766	-0.0066486597	-0.07932943	1.3564423	0.0072832676	0.07368751	127.0	195.25183939933777	2.0995889	1.9483238	9.236589	0.41885155	0.0	0.0
5	500.0	0.58280176	0.24075612	1.2997173	0.046302862	96000	1.5832484e-08	0.11421098	-0.009165315	-0.038057655	1.3564423	0.008200271	0.1065	127.0	233.44322967529297	2.616703	2.3563569	11.437758	0.4139103	0.0	0.0
6	500.0	0.7057583	0.3868218	1.6447809	-0.3562849	112000	-7.450581e-09	0.25029993	-0.012021253	-0.08066209	1.3564423	0.009568319	0.12981251	127.0	268.82665157318115	4.1819067	3.0260394	13.964086	0.20852038	0.0	0.0
7	500.0	1.463332	0.6224635	3.1190856	-0.39417434	128000	-2.6077032e-08	1.2117538	-0.009914727	-0.54037166	1.3564423	0.0059920577	0.0950625	127.0	308.13544940948486	8.492514	4.9004526	25.229948	1.7163243	0.0	0.0
8	500.0	2.3478053	1.0285919	4.7241497	-0.61515075	144000	-7.450581e-09	2.1464565	-0.008188192	-1.1763778	1.3564423	0.0062765395	0.08675	127.0	343.75458335876465	13.094375	6.0696807	24.934309	3.811699	0.0	0.0
9	500.0	3.6438153	1.4824927	6.469623	-0.82170737	160000	-6.798655e-08	3.151815	-0.009818987	-1.4299128	1.3564423	0.0073233894	0.0975	127.0	385.7573153972626	19.344063	6.112368	31.24246	9.362528	0.0	0.0
10	500.0	5.080091	2.0760946	8.493462	-0.9545075	176000	6.519258e-09	3.2519193	-0.01053731	-1.104607	1.3564423	0.0066414746	0.08581251	127.0	428.89047718048096	24.385422	6.729818	36.85349	10.841848	0.0	0.0
11	500.0	6.4782414	2.0313137	9.505431	-0.607054	192000	1.4901161e-08	3.6096694	-0.00835613	-0.2695652	1.3564423	0.004888122	0.0595625	127.0	469.90346002578735	27.623516	8.680735	46.34956	13.280173	0.0	0.0
12	500.0	6.705288	2.0418096	9.6412735	-0.43544537	208000	4.4703484e-08	3.8073695	-0.009041822	-1.2028337	1.3564423	0.006442961	0.066	127.0	509.0843279361725	32.342644	8.83863	53.070667	14.547919	0.0	0.0
13	500.0	7.867075	2.0186396	10.50259	-0.11612406	224000	-1.4901161e-08	2.641838	-0.010063817	-0.17173964	1.3564423	0.008281764	0.0794375	127.0	546.3494708538055	33.981476	6.993056	47.966446	23.249903	0.0	0.0
14	500.0	8.125192	1.9349549	10.569797	0.31499577	240000	-1.4901161e-08	3.54956	-0.0092295045	-0.344102	1.3564423	0.008431905	0.068187505	127.0	584.0252196788788	34.58053	7.4203043	51.28988	20.447521	0.0	0.0
15	500.0	8.242793	1.6638815	10.2057495	1.3552979	256000	1.8626451e-08	12.657326	-0.0070024	-1.9500725	1.3564423	0.006490753	0.060000002	127.0	625.7612826824188	42.270863	15.418337	114.23311	27.013119	0.0	0.0
16	500.0	9.388523	1.7131411	10.97587	0.9004601	272000	1.4901161e-08	3.7657332	-0.009368571	-0.26269603	1.3564423	0.00727031	0.062375	127.0	665.3865683078766	39.33169	7.3241463	52.66042	21.935112	0.0	0.0
17	500.0	9.254794	1.6896435	10.729425	1.2111207	288000	-1.8626451e-09	3.6919396	-0.008053713	-0.2612812	1.3564423	0.0053641	0.048874997	127.0	705.7218029499054	39.119038	7.22985	53.26571	26.205023	0.0	0.0
18	500.0	9.027351	1.6593043	10.221999	1.0212256	304000	-1.8626451e-09	2.5030878	-0.008600688	-0.2887522	1.3564423	0.005904638	0.0598125	127.0	743.0034551620483	41.145508	5.2482414	49.88212	29.263638	0.0	0.0
19	500.0	9.648982	1.6598995	10.744631	1.2822407	320000	0.0	3.8447952	-0.008605489	-0.6085135	1.3564423	0.0060112886	0.060374998	127.0	781.752034664154	38.591797	6.7958694	50.717865	24.494741	0.0	0.0
