Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.047237214	0.024513854	0.11791512	-0.029737942	16000	7.450581e-09	0.008793845	-0.00622317	-0.0037820037	1.3564423	0.0075167995	0.0706875	127.0	43.51444125175476	0.4458929	0.41368392	1.5658214	0.051763825	0.0	0.0
1	500.0	0.08045041	0.039373323	0.20219438	-0.01272523	32000	1.9557774e-08	0.0067607127	-0.0071252706	-0.0019337016	1.3564423	0.009649476	0.109625	127.0	85.68602848052979	0.561489	0.46396565	2.4388893	0.0638386	0.0	0.0
2	500.0	0.14582063	0.056955688	0.3172618	-0.0014930516	48000	-2.9802322e-08	0.022744799	-0.010843038	-0.009228148	1.3564423	0.0098051615	0.1181875	127.0	121.04346966743469	1.1669493	0.8349968	3.901084	0.2566821	0.0	0.0
3	500.0	0.3372486	0.0891908	0.67165375	0.10654199	64000	7.450581e-09	0.05659104	-0.009204783	-0.024617588	1.3564423	0.008697718	0.090124995	127.0	160.50788974761963	2.0043607	1.2768164	5.5626287	0.34433043	0.0	0.0
4	500.0	0.5985048	0.14582537	1.1349676	0.078729115	80000	1.1175871e-08	0.0867682	-0.009935509	-0.03382743	1.3564423	0.008481397	0.093625	127.0	198.163676738739	2.5836043	1.3554438	6.2907896	0.9321291	0.0	0.0
5	500.0	0.59359276	0.12143775	0.97746533	0.17074433	96000	5.5879354e-09	0.08357924	-0.011091592	-0.03414685	1.3564423	0.0064158845	0.113125	127.0	237.41532969474792	3.2293587	1.5541205	6.935102	0.8234826	0.0	0.0
6	500.0	0.88863677	0.27141443	1.6843455	0.062142614	112000	-1.4901161e-08	0.7318308	-0.009423351	-0.40156755	1.3564423	0.007310302	0.09275	127.0	277.11932039260864	6.964498	3.6025405	16.68614	1.5491596	0.0	0.0
7	500.0	1.9233007	0.5796983	3.2676747	0.06323644	128000	-1.1175871e-08	1.3370728	-0.008948598	-0.7188319	1.3564423	0.0056720497	0.0798125	127.0	312.6361837387085	11.473162	4.498489	18.672474	3.0548496	0.0	0.0
8	500.0	3.0528173	1.0645669	5.255216	0.17292507	144000	7.450581e-09	1.1227667	-0.010221908	-0.4070824	1.3564423	0.007125709	0.0935	127.0	351.74892234802246	14.254905	4.3087187	22.897345	5.8584886	0.0	0.0
9	500.0	3.8619432	1.1792669	5.9945183	-0.13845922	160000	3.1664968e-08	2.1675386	-0.010505775	-1.131741	1.3564423	0.0060311267	0.0843125	127.0	397.00535106658936	21.379478	4.6669087	31.312443	11.641094	0.0	0.0
