Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.016153721	0.02607129	0.09203319	-0.05161969	16000	-2.9802322e-08	0.0054564234	-0.0068811695	-0.0028294914	1.3564423	0.007453107	0.0729375	127.0	34.95442843437195	0.4016612	0.2637089	1.2890823	0.10584929	0.0	0.0
1	500.0	0.070811465	0.03371631	0.17644486	-0.034388103	32000	-1.3969839e-09	0.004244549	-0.008773282	-0.0010305007	1.3564423	0.010872187	0.12799999	127.0	64.47093367576599	0.45870572	0.37608412	2.1015227	0.08664047	0.0	0.0
2	500.0	0.13639478	0.038620036	0.2377154	0.038715206	48000	-7.450581e-09	0.032847647	-0.009009152	-0.018022284	1.3564423	0.007949576	0.097875	127.0	98.38385820388794	1.4186932	0.69343925	2.87828	0.4410989	0.0	0.0
3	500.0	0.30989388	0.06761295	0.493276	0.11549134	64000	2.2351742e-08	0.048341375	-0.0081680175	-0.012276705	1.3564423	0.0069934	0.08212501	127.0	129.86364316940308	1.8571516	1.0984701	6.08519	0.56010896	0.0	0.0
4	500.0	0.43873549	0.07241432	0.69475174	0.124446765	80000	1.6763806e-08	0.18009758	-0.006749706	-0.07181761	1.3564423	0.007064661	0.07625	127.0	159.86768794059753	2.6078033	2.0954263	10.979345	0.7640641	0.0	0.0
5	500.0	0.69280493	0.15252459	1.1889025	0.256152	96000	5.5879354e-09	0.16209286	-0.009847308	-0.056840632	1.3564423	0.0070248395	0.1045625	127.0	190.53743743896484	3.6831374	2.3412251	11.933091	1.1394315	0.0	0.0
6	500.0	0.9555276	0.29851192	1.6723443	-0.031002834	112000	3.7252903e-09	0.65992856	-0.010979248	-0.36554268	1.3564423	0.007546239	0.102937505	127.0	225.22277164459229	6.9397383	3.5514884	16.411951	1.6048819	0.0	0.0
7	500.0	2.0416842	0.6928996	4.0786314	-0.0589487	128000	1.8626451e-08	1.4720594	-0.0093370695	-0.650665	1.3564423	0.006231964	0.08925	127.0	257.12379789352417	11.12493	4.8372383	22.540224	3.5010293	0.0	0.0
8	500.0	2.9562256	1.0616865	5.0434175	-0.1122915	144000	1.1175871e-08	1.6949174	-0.010402607	-0.861962	1.3564423	0.0069857086	0.10325	127.0	290.1611216068268	15.304887	4.785456	27.726898	6.5884476	0.0	0.0
9	500.0	4.1311393	1.3953942	7.004007	-0.14866337	160000	2.6077032e-08	2.9224353	-0.010495606	-1.3170941	1.3564423	0.008348659	0.10825	127.0	323.2980875968933	21.964987	5.0573587	34.278954	12.948099	0.0	0.0
10	500.0	5.573601	1.7566178	8.188182	-0.007244097	176000	-2.9802322e-08	1.5455296	-0.010731384	-0.17267299	1.3564423	0.00851011	0.081625	127.0	355.97911047935486	23.217302	4.42089	32.617847	12.629854	0.0	0.0
11	500.0	6.1834764	1.5185417	8.27993	1.0941193	192000	-7.450581e-09	3.1282086	-0.007409176	-0.54442304	1.3564423	0.0052255327	0.0598125	127.0	390.4837181568146	23.661484	6.5653095	42.13785	13.160944	0.0	0.0
12	500.0	5.7281632	1.2310252	8.017917	1.6586711	208000	-5.2154064e-08	3.2637372	-0.0076577575	-0.58306366	1.3564423	0.007845518	0.061375	127.0	420.9427647590637	28.378183	6.695676	41.26453	14.600648	0.0	0.0
13	500.0	6.4727764	1.0196182	7.8169036	1.9569274	224000	3.7252903e-09	4.2708454	-0.0076261936	-1.1166888	1.3564423	0.0053423024	0.057125002	127.0	452.5038375854492	33.770958	7.141116	45.89416	23.704708	0.0	0.0
14	500.0	7.48626	1.2394394	9.522388	1.5592201	240000	0.0	4.458399	-0.0077822134	-0.27399755	1.3564423	0.006781528	0.060875	127.0	485.2338237762451	31.896963	8.743381	50.851196	17.818872	0.0	0.0
15	500.0	7.3376184	1.0929798	8.777905	2.8088384	256000	-1.4901161e-08	4.5958414	-0.008307589	-0.7411412	1.3564423	0.0047533857	0.0570625	127.0	517.6563866138458	36.105812	8.811625	52.250954	21.382689	0.0	0.0
16	500.0	7.965129	0.949339	9.469181	3.8598206	272000	-5.5879354e-09	3.2829757	-0.00874283	-0.37844157	1.3564423	0.006984871	0.0586875	127.0	553.2636671066284	36.78222	7.0776587	48.56737	21.29714	0.0	0.0
17	500.0	8.32065	1.2633865	10.433182	3.0874968	288000	-1.8626451e-09	3.6762881	-0.008919588	-0.3885899	1.3564423	0.006245015	0.0586875	127.0	587.8017570972443	36.941597	8.857931	50.814114	19.998587	0.0	0.0
18	500.0	8.488535	1.2933453	10.407146	3.232701	304000	-1.1175871e-08	3.1598687	-0.009782556	-0.48344737	1.3564423	0.007759825	0.0698125	127.0	619.287309885025	39.750328	6.833214	50.0049	27.642393	0.0	0.0
19	500.0	8.917445	1.4354591	11.525672	2.9462385	320000	2.9802322e-08	4.613538	-0.008295345	-0.57328916	1.3564423	0.006412181	0.0574375	127.0	653.319899559021	37.02311	9.349996	52.192986	20.612617	0.0	0.0
20	500.0	8.64016	1.3994851	11.065712	3.7888227	336000	0.0	4.847577	-0.009237909	-0.59485835	1.3564423	0.0069563184	0.0650625	127.0	689.512894153595	38.123947	9.257583	51.33695	20.634008	0.0	0.0
21	500.0	8.75602	1.2605236	10.826977	2.9317987	352000	-2.2351742e-08	5.116473	-0.008461651	-0.67107797	1.3564423	0.006197068	0.062	127.0	721.8738827705383	40.69217	8.419813	51.391033	21.091938	0.0	0.0
22	500.0	9.188361	1.0352889	10.119044	4.0391555	368000	1.1175871e-08	4.2280865	-0.008404734	-0.55502784	1.3564423	0.005818663	0.06225	127.0	755.3032808303833	39.72039	7.550792	51.35397	25.461946	0.0	0.0
23	500.0	8.943918	1.2179515	10.405246	2.9291737	384000	1.4901161e-08	4.5546255	-0.009820287	-1.2334054	1.3564423	0.008600159	0.065937504	127.0	786.234828710556	37.42041	7.347025	52.05001	26.494324	0.0	0.0
24	500.0	8.666772	1.0738754	9.75058	3.7617416	400000	-1.0244548e-08	3.7984867	-0.008468455	-0.9181253	1.3564423	0.005626721	0.06625	127.0	817.0086295604706	39.25156	8.195117	53.260593	27.087484	0.0	0.0
25	495.03125	8.745843	1.501608	10.368162	2.0165663	416000	-1.4901161e-08	3.2331438	-0.010054507	-0.51623756	1.3564423	0.007917472	0.07731251	127.0	851.0636742115021	41.263947	7.4412336	50.870766	28.551012	0.0	0.0
26	500.0	9.472038	1.4430206	11.155667	2.249116	432000	-9.313226e-09	3.1085725	-0.009754242	-0.4967518	1.3564423	0.008481611	0.0773125	127.0	885.8148818016052	44.715385	7.8254967	54.447258	27.81839	0.0	0.0
27	500.0	9.929969	1.5917499	11.666134	2.0891466	448000	-1.1175871e-08	2.1198754	-0.0100185275	-0.43580043	1.3564423	0.0060341842	0.0643125	127.0	919.9383790493011	45.227898	6.6947813	54.9092	27.390127	0.0	0.0
28	500.0	10.201265	1.8034453	12.280407	2.8509345	464000	1.4901161e-08	1.8051435	-0.00967829	-0.46295315	1.3564423	0.0060844976	0.0770625	127.0	952.13884806633	47.13813	6.5279765	57.036533	30.897211	0.0	0.0
29	500.0	10.588631	1.9158579	12.777185	3.6171172	480000	7.450581e-09	1.2853881	-0.010557253	-0.29097733	1.3564423	0.0077185067	0.0795625	127.0	983.3734803199768	48.127792	6.8324027	56.2394	23.881937	0.0	0.0
30	500.0	10.889798	1.9302695	13.3906145	3.7564774	496000	-1.8626451e-08	1.2995491	-0.0095054	-0.28782225	1.3564423	0.007756285	0.0765	127.0	1018.0555255413055	48.38611	6.1556897	56.429836	29.658895	0.0	0.0
31	500.0	10.889	2.1503701	13.443585	3.230483	512000	-7.450581e-09	1.5363204	-0.009331856	-0.32501727	1.3564423	0.0066595925	0.072375	127.0	1052.0302369594574	48.63086	6.90851	55.999302	29.906305	0.0	0.0
32	500.0	11.373243	2.0822	13.433763	3.1514313	528000	3.7252903e-09	1.2312205	-0.008884301	-0.4121502	1.3564423	0.006123407	0.075124994	127.0	1082.8357450962067	49.355938	7.360255	55.88176	30.633251	0.0	0.0
33	500.0	11.705168	2.0818503	13.932113	4.0131254	544000	-1.0244548e-08	0.6700852	-0.009504071	-0.28190824	1.3564423	0.006250307	0.070374995	127.0	1118.6099190711975	52.473053	2.7718258	58.39772	47.828926	0.0	0.0
34	500.0	11.637882	1.92773	13.723461	4.768031	560000	7.450581e-09	1.19309	-0.009102618	-0.3796534	1.3564423	0.0069311922	0.0626875	127.0	1155.5273463726044	50.523403	5.390559	57.38565	29.138374	0.0	0.0
35	500.0	11.648435	1.92552	14.037767	4.31274	576000	0.0	0.9325031	-0.008329131	-0.25177187	1.3564423	0.007153998	0.06225	127.0	1189.5857832431793	50.568928	6.265267	56.40433	31.00128	0.0	0.0
36	500.0	11.58443	1.8305857	13.837742	4.674751	592000	7.450581e-09	1.0664923	-0.007915835	-0.22356175	1.3564423	0.005201703	0.06075	127.0	1223.1680791378021	50.08471	4.9446626	58.901768	29.41224	0.0	0.0
