Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.021313284	0.025937555	0.095678374	-0.04786064	16000	-1.3038516e-08	0.0051500225	-0.007188473	-0.002596878	1.3564423	0.007897332	0.0725625	127.0	56.658815145492554	0.39726937	0.2569317	1.2563689	0.107106134	0.0	0.0
1	500.0	0.07004423	0.03243945	0.18093464	-0.024507366	32000	-9.313226e-09	0.0040203133	-0.008679937	-0.0009964368	1.3564423	0.010934207	0.129625	127.0	100.10077357292175	0.44420475	0.35639036	1.9876324	0.08696435	0.0	0.0
2	500.0	0.12873605	0.035897624	0.2251041	0.035604753	48000	3.7252903e-09	0.029011823	-0.008538809	-0.016009733	1.3564423	0.007723078	0.0925625	127.0	155.08449292182922	1.3295683	0.63788986	2.6925669	0.42236006	0.0	0.0
3	500.0	0.28561226	0.067070715	0.46107835	0.090775356	64000	1.4901161e-08	0.04250492	-0.008256288	-0.011007782	1.3564423	0.0069108023	0.084437504	127.0	199.51404547691345	1.7432144	1.035747	5.889169	0.5512077	0.0	0.0
4	500.0	0.4076276	0.07471755	0.673368	0.07452978	80000	-3.7252903e-09	0.16541076	-0.0071320743	-0.06800093	1.3564423	0.007344343	0.083312504	127.0	257.7886199951172	2.5157568	2.00827	10.607888	0.7412714	0.0	0.0
5	500.0	0.6579884	0.1539944	1.1436847	0.21223366	96000	9.313226e-09	0.14110634	-0.009996231	-0.0494719	1.3564423	0.0070323627	0.102437496	127.0	303.5969457626343	3.474099	2.2212105	11.1258335	1.0464268	0.0	0.0
6	500.0	0.88452566	0.27991045	1.5639635	-0.09077058	112000	-1.6763806e-08	0.4683059	-0.011530268	-0.24537152	1.3564423	0.007959514	0.10775	127.0	340.52359986305237	6.161211	3.1550422	14.068162	1.13024	0.0	0.0
7	500.0	1.8079647	0.61642283	3.551559	-0.025891315	128000	3.7252903e-08	1.1838744	-0.009839531	-0.58171445	1.3564423	0.0068029836	0.095125005	127.0	395.9885895252228	10.256833	4.349307	17.87574	3.1293209	0.0	0.0
8	500.0	2.7349854	0.96199757	4.6364846	-0.084892064	144000	2.188608e-08	1.4974554	-0.010032166	-0.7771615	1.3564423	0.007044591	0.101875	127.0	438.9173719882965	14.244903	4.7619605	26.248285	5.423053	0.0	0.0
9	500.0	3.8620708	1.2896804	6.4907103	-0.118278146	160000	5.5879354e-08	2.3174949	-0.011127071	-1.064079	1.3564423	0.008169455	0.1073125	127.0	476.68927669525146	20.549072	4.597657	29.515255	11.291719	0.0	0.0
10	500.0	5.2383623	1.6438872	7.673349	0.22026548	176000	-5.5879354e-09	1.6160276	-0.010609524	-0.2802177	1.3564423	0.00797095	0.090812504	127.0	518.8704981803894	22.888935	4.8800855	33.468307	13.255548	0.0	0.0
11	500.0	6.050398	1.469396	8.212715	1.0070808	192000	3.7252903e-08	2.694664	-0.008183	-0.3104592	1.3564423	0.005430674	0.0585	127.0	555.0253868103027	24.721832	6.640655	48.778625	16.019205	0.0	0.0
