Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.05401345	0.023842236	0.12318763	-0.023978341	16000	-1.1175871e-08	0.008518234	-0.006502886	-0.0036126853	1.3564423	0.007896604	0.0700625	127.0	43.043816804885864	0.44514495	0.408043	1.5588173	0.053147793	0.0	0.0
1	500.0	0.08177252	0.037518095	0.19855088	-0.004467696	32000	-7.450581e-09	0.006647415	-0.007197124	-0.0019959905	1.3564423	0.009642071	0.107875004	127.0	81.33912396430969	0.55663985	0.46259907	2.3758729	0.06301032	0.0	0.0
2	500.0	0.14880389	0.056706313	0.32492635	0.0024232678	48000	2.6077032e-08	0.021046882	-0.011208842	-0.00876625	1.3564423	0.009695831	0.119500004	127.0	122.53801655769348	1.1685638	0.80549175	3.5672426	0.2619398	0.0	0.0
3	500.0	0.33728206	0.09356235	0.663972	0.08111748	64000	-3.7252903e-09	0.056328975	-0.009172347	-0.025874317	1.3564423	0.008951378	0.091375	127.0	168.474942445755	1.9840924	1.3065468	5.7615075	0.31348678	0.0	0.0
4	500.0	0.6327491	0.16715562	1.2511299	0.06671132	80000	-1.8626451e-08	0.09404527	-0.010475988	-0.03929483	1.3564423	0.008805204	0.0998125	127.0	203.6726906299591	2.5806198	1.3693937	6.4880724	0.9467836	0.0	0.0
5	500.0	0.61353505	0.12091259	0.9942364	0.19581152	96000	-1.4901161e-08	0.093413904	-0.010859376	-0.037307687	1.3564423	0.0065381704	0.113749996	127.0	238.38734555244446	3.3150415	1.5997138	7.108879	0.8305446	0.0	0.0
6	500.0	0.9242485	0.27326453	1.7482852	0.0866503	112000	-4.284084e-08	0.77350414	-0.009364225	-0.42106265	1.3564423	0.007302411	0.09056249	127.0	286.4433045387268	7.1682396	3.6052766	16.759323	1.6601521	0.0	0.0
7	500.0	1.963029	0.568748	3.3015003	0.13146062	128000	3.9115548e-08	1.4009199	-0.00857294	-0.7480378	1.3564423	0.005755854	0.0775	127.0	318.069109916687	11.729084	4.4844203	19.042788	3.093717	0.0	0.0
8	500.0	3.1109684	1.0581219	5.2206383	0.25615096	144000	-1.8626451e-08	1.1634178	-0.01028906	-0.39443845	1.3564423	0.0071062203	0.0904375	127.0	351.119083404541	14.509765	4.2255793	22.92492	6.1670904	0.0	0.0
9	500.0	3.876129	1.158894	5.9056787	-0.10466878	160000	-2.7008355e-08	2.3125741	-0.010287292	-1.171246	1.3564423	0.0059680697	0.083000004	127.0	386.181925535202	21.638077	4.7143598	34.54663	11.873969	0.0	0.0
10	500.0	5.2872252	1.3117418	7.4421763	0.37775117	176000	4.4703484e-08	2.222248	-0.010931896	-0.53065157	1.3564423	0.008470721	0.092	127.0	425.95672702789307	25.509274	5.028173	38.397423	19.546804	0.0	0.0
11	500.0	6.0580907	1.1844188	7.562564	1.371741	192000	-7.450581e-09	2.4356244	-0.008645202	-0.19924742	1.3564423	0.004713726	0.060999997	127.0	459.91673612594604	27.243729	5.707317	41.79541	18.102768	0.0	0.0
12	500.0	6.456447	1.1446699	8.373872	1.8329455	208000	-2.9802322e-08	4.1757803	-0.008969918	-0.39574808	1.3564423	0.0063499995	0.0644375	127.0	495.9918887615204	30.488478	8.321362	46.999523	16.682371	0.0	0.0
13	500.0	7.019713	1.2946932	8.81454	1.5951524	224000	0.0	2.9251432	-0.008586803	-0.3850944	1.3564423	0.0066766897	0.0635	127.0	537.5987181663513	33.238605	6.0547633	45.416668	23.280375	0.0	0.0
14	500.0	7.549993	1.2654688	9.01804	2.017819	240000	0.0	3.3023365	-0.008428093	-0.20847341	1.3564423	0.007106024	0.058437504	127.0	577.0541503429413	31.365887	7.51378	44.889473	16.510626	0.0	0.0
15	500.0	7.233349	1.3480636	8.916996	2.2432313	256000	-3.7252903e-09	4.7954516	-0.008033089	-0.678596	1.3564423	0.005547403	0.062437505	127.0	613.4834311008453	35.822792	8.849569	49.563087	23.36171	0.0	0.0
