Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.048077878	0.021683404	0.12476842	-0.03865898	16000	-1.8626451e-09	0.00647319	-0.0064327326	-0.002756557	1.3564423	0.007366621	0.067875	127.0	42.38702726364136	0.4094231	0.34265247	1.4702774	0.05406245	0.0	0.0
1	500.0	0.07839062	0.028759578	0.20169115	-0.0071842913	32000	1.4901161e-08	0.0054153674	-0.006788589	-0.001605962	1.3564423	0.008815452	0.0919375	127.0	78.69022870063782	0.52122	0.38238606	1.6666139	0.06556531	0.0	0.0
2	500.0	0.11371164	0.041168187	0.28460437	0.0032912046	48000	-4.8428774e-08	0.014792947	-0.009480143	-0.0061179316	1.3564423	0.009045617	0.11225	127.0	114.19695138931274	0.9194102	0.65238535	3.0141528	0.16168363	0.0	0.0
3	500.0	0.23508283	0.07223255	0.43334517	0.0317485	64000	1.8626451e-09	0.04336484	-0.009166949	-0.018327828	1.3564423	0.009246873	0.0934375	127.0	149.68282747268677	1.6355186	1.0676398	5.50838	0.38510755	0.0	0.0
4	500.0	0.53668886	0.14341575	1.0914496	0.11064756	80000	-9.313226e-10	0.18943426	-0.0083107855	-0.07745668	1.3564423	0.007908852	0.08375	127.0	189.99004197120667	3.3410645	1.9597433	9.4685135	0.6394339	0.0	0.0
5	500.0	0.83573925	0.20249917	1.4350377	0.13801473	96000	1.1175871e-08	0.27899915	-0.011427049	-0.133322	1.3564423	0.00782603	0.1093125	127.0	228.81643390655518	5.079587	2.4821777	9.921438	0.78741384	0.0	0.0
6	500.0	1.5107791	0.45369166	2.764147	0.17700492	112000	1.1175871e-08	2.162118	-0.009943018	-1.1036787	1.3564423	0.00718969	0.09725	127.0	266.2394003868103	11.584252	5.5858965	25.24686	4.1699924	0.0	0.0
7	500.0	3.2592666	0.96616274	5.435959	0.101016045	128000	-2.6077032e-08	1.7780955	-0.010959968	-0.42520282	1.3564423	0.007459063	0.093187496	127.0	304.5827395915985	16.738638	5.640501	29.502811	6.4524593	0.0	0.0
8	500.0	4.343387	1.1683972	6.300906	0.11321151	144000	-3.7252903e-09	1.1886196	-0.010136862	-0.2105365	1.3564423	0.0067294044	0.08193751	127.0	345.2069890499115	18.839294	3.2135472	24.372871	8.45073	0.0	0.0
9	500.0	4.731833	0.9489475	6.2045665	1.0812626	160000	1.1175871e-08	1.8742366	-0.008163983	-0.36638424	1.3564423	0.00625195	0.060875002	127.0	395.12387323379517	22.165089	3.8882113	35.88191	17.218882	0.0	0.0
10	500.0	5.2259893	0.7063878	6.063346	1.3834522	176000	3.7252903e-09	2.684224	-0.0070214374	-0.29962027	1.3564423	0.0063200695	0.0518125	127.0	452.03670954704285	23.43817	5.999232	43.056664	17.710663	0.0	0.0
11	500.0	5.212994	0.37590563	5.800347	2.3178046	192000	-1.8626451e-08	4.203237	-0.0057861162	-0.81168	1.3564423	0.004036174	0.034125	127.0	513.1251766681671	28.021124	7.8176003	44.893456	17.698235	0.0	0.0
12	496.1875	5.9774513	0.46330887	6.7921953	2.6275907	208000	0.0	4.8822865	-0.006964621	-0.6895661	1.3564423	0.0047526937	0.048374996	127.0	553.9444308280945	31.244158	8.4983425	48.282772	18.97034	0.0	0.0
13	500.0	6.691263	0.5211729	7.808643	2.8868873	224000	1.1175871e-08	3.4226918	-0.006647253	-0.566046	1.3564423	0.0049599796	0.0454375	127.0	596.1270241737366	27.45806	7.199024	51.0563	18.756844	0.0	0.0
