Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.055508196	0.017996365	0.1326574	-0.0041917562	16000	1.1175871e-08	0.0013770389	-0.0072142165	-0.00075008883	1.3564423	0.006040849	0.060812503	127.0	41.20563077926636	0.19572476	0.121161185	0.51502264	0.03308656	0.0	0.0
1	500.0	0.045323808	0.014699388	0.10527411	-0.0040192604	32000	-9.313226e-09	0.0012406242	-0.0073927846	-0.0005056738	1.3564423	0.008317515	0.08125	127.0	74.67822694778442	0.2805186	0.15603274	0.62132907	0.05234999	0.0	0.0
2	500.0	0.06659917	0.018281981	0.13056713	-0.0045307465	48000	7.450581e-09	0.0016679859	-0.010653317	-0.00086449477	1.3564423	0.008647099	0.1009375	127.0	118.43717908859253	0.43673632	0.18975262	0.8772186	0.08573313	0.0	0.0
3	500.0	0.10370653	0.028365633	0.1894155	0.01836336	64000	-3.7252903e-09	0.0025108396	-0.010075432	-0.00090418616	1.3564423	0.008053811	0.089375004	127.0	152.80145072937012	0.6358627	0.23413119	1.2782854	0.22746554	0.0	0.0
4	500.0	0.1722646	0.03636876	0.2672224	0.07219806	80000	-2.7939677e-08	0.010004447	-0.009913982	-0.0037189284	1.3564423	0.0085370615	0.089375004	127.0	207.89172792434692	1.0212166	0.34747735	1.6973385	0.501074	0.0	0.0
5	500.0	0.22952835	0.040241744	0.32295418	0.088740975	96000	3.7252903e-08	0.029861804	-0.0077782595	-0.01321942	1.3564423	0.0062226774	0.080125	127.0	275.52251291275024	1.5407538	0.66279924	3.1701858	0.678031	0.0	0.0
6	500.0	0.3363597	0.08724171	0.6353803	-0.010256881	112000	-2.2351742e-08	0.07569113	-0.0091760075	-0.034800116	1.3564423	0.0075947368	0.0924375	127.0	321.3302049636841	2.3231483	0.9882199	5.8062057	1.0257804	0.0	0.0
7	500.0	0.5619059	0.2231394	1.3704189	0.16811854	128000	2.7939677e-09	0.35525197	-0.007195157	-0.18651345	1.3564423	0.0060990956	0.073937505	127.0	375.15869998931885	3.6563861	2.177588	9.948285	0.9843537	0.0	0.0
8	500.0	1.1246054	0.6537244	2.7081215	0.06947182	144000	-2.9802322e-08	0.7688081	-0.007586562	-0.39350772	1.3564423	0.0069315904	0.0834375	127.0	424.43641996383667	6.2553434	3.7040868	13.575984	0.99229264	0.0	0.0
9	500.0	2.009225	1.0135736	4.7893457	0.1464486	160000	-4.0978193e-08	1.6470532	-0.007427219	-0.61610746	1.3564423	0.0063955747	0.079375006	127.0	475.21519804000854	9.931997	5.228268	26.503733	1.8968892	0.0	0.0
10	500.0	2.7626407	1.5932631	6.0634227	-0.060978033	176000	2.7939677e-09	1.4312761	-0.010971177	-0.40553313	1.3564423	0.009315055	0.1098125	127.0	524.8578860759735	12.08345	4.74553	25.845644	3.5291665	0.0	0.0
11	500.0	4.00259	1.6935993	6.755744	0.22042707	192000	-1.4901161e-08	2.2454956	-0.0074294982	-0.42035258	1.3564423	0.0060153445	0.069125004	127.0	576.9464430809021	16.952436	5.919932	31.418106	4.5831895	0.0	0.0
12	500.0	4.4079523	1.8686602	7.459094	0.082105614	208000	-2.2351742e-08	2.0275517	-0.0076108505	-0.16024262	1.3564423	0.006765878	0.0691875	127.0	624.8346583843231	16.735981	6.9490604	34.772346	5.8614407	0.0	0.0
13	500.0	4.7572217	2.0091808	7.978866	-0.75571114	224000	-7.450581e-09	3.2621999	-0.0097516645	-0.9430059	1.3564423	0.008601617	0.0843125	127.0	679.1723875999451	22.845722	6.5951266	37.602043	10.452554	0.0	0.0
14	500.0	6.074585	2.2733798	8.745026	-0.012682513	240000	-7.450581e-09	4.4414062	-0.008647483	-1.1177455	1.3564423	0.00629107	0.069625005	127.0	722.7629971504211	20.458529	8.485806	38.6261	7.676667	0.0	0.0
15	500.0	5.5515046	1.6690056	8.016272	1.1454136	256000	-1.4901161e-08	4.322082	-0.008053181	-0.7257682	1.3564423	0.007655457	0.073687494	127.0	764.5556929111481	22.644388	9.015183	41.21225	10.803213	0.0	0.0
16	500.0	5.854867	1.4626876	8.396229	0.6421953	272000	-1.8626451e-08	4.2593946	-0.00912471	-0.39807463	1.3564423	0.0071294997	0.0798125	127.0	803.4129738807678	24.106308	8.908054	40.78594	12.050402	0.0	0.0
17	498.40625	5.683044	1.3561441	8.47084	0.69404304	288000	2.9802322e-08	4.631833	-0.008159165	-0.94551724	1.3564423	0.006448463	0.0600625	127.0	848.798647403717	26.513447	9.795879	43.69729	13.8157835	0.0	0.0
18	493.5625	6.2025113	1.9955196	9.314276	-7.901473	304000	7.450581e-09	5.0200496	-0.009072955	-0.5320984	1.3564423	0.007635296	0.0680625	127.0	890.0170617103577	28.507212	11.047826	47.346504	10.854825	0.0	0.0
19	495.96875	6.3904524	2.1411657	9.839832	-3.3313818	320000	0.0	4.9575267	-0.008295603	-0.9456812	1.3564423	0.007404274	0.066937506	127.0	929.6341650485992	29.18909	11.902629	58.138485	13.469319	0.0	0.0
20	495.46875	6.373549	2.4722028	10.59379	-7.2676287	336000	-1.4901161e-08	3.1305618	-0.009095855	-0.8406275	1.3564423	0.0065776464	0.067499995	127.0	974.4799966812134	26.050816	9.744828	44.77671	13.347891	0.0	0.0
21	500.0	6.795927	2.0447683	10.171507	-1.9689654	352000	3.7252903e-09	4.898041	-0.009583776	-0.9758021	1.3564423	0.0073148664	0.075125	127.0	1015.4050831794739	31.773178	10.975101	61.908836	14.6760025	0.0	0.0
22	500.0	6.999471	2.2779655	10.648617	-7.5667	368000	7.450581e-09	6.7225204	-0.008456346	-0.7522671	1.3564423	0.006840733	0.0646875	127.0	1055.1227416992188	32.99873	13.004421	82.061226	12.933632	0.0	0.0
23	491.78125	6.8784504	2.2502923	10.966208	1.6329669	384000	0.0	3.610618	-0.00857234	-0.5990147	1.3564423	0.006231253	0.0810625	127.0	1097.210389137268	29.14823	11.518873	50.532505	14.924344	0.0	0.0
24	500.0	7.0897107	2.1726494	10.9430485	0.93851924	400000	1.1175871e-08	2.488831	-0.008375129	-0.31945944	1.3564423	0.0058396123	0.060750004	127.0	1147.5853312015533	31.017384	10.088696	48.151886	16.070292	0.0	0.0
25	500.0	7.5506277	2.2385855	11.17759	-3.1824133	416000	0.0	2.0713086	-0.01174172	-0.32752603	1.3564423	0.009438699	0.0985625	127.0	1202.3467411994934	33.576405	8.057213	46.52739	18.167494	0.0	0.0
26	500.0	7.579107	1.8888725	10.687396	1.0206594	432000	-2.2351742e-08	3.8347726	-0.00861555	-1.0704079	1.3564423	0.006306423	0.0778125	127.0	1256.315738916397	38.60056	9.441532	69.440735	18.717293	0.0	0.0
27	496.59375	8.705349	1.9703462	11.80866	2.4958062	448000	1.1175871e-08	2.577623	-0.009338954	-0.39060992	1.3564423	0.006275553	0.073125	127.0	1304.9965348243713	38.947277	8.725916	50.61244	20.29095	0.0	0.0
28	492.5625	8.221131	2.519293	11.928443	-0.43251574	464000	0.0	2.0132127	-0.009186577	-0.3838746	1.3564423	0.0068132	0.071625	127.0	1362.560606956482	37.89649	9.727422	51.480827	19.963333	0.0	0.0
29	500.0	8.595838	2.2372022	11.884504	-0.8937169	480000	-3.7252903e-09	2.177858	-0.009772349	-0.1558669	1.3564423	0.0070544244	0.078375	127.0	1409.4784669876099	38.563656	8.97552	55.8781	22.59721	0.0	0.0
30	484.5625	8.324185	2.4405222	11.726917	2.1559625	496000	0.0	2.96392	-0.009112904	-0.7683984	1.3564423	0.00840107	0.0858125	127.0	1461.6274144649506	35.460094	9.338597	51.474533	19.948177	0.0	0.0
31	500.0	8.249977	1.7159321	11.076061	2.4071128	512000	5.5879354e-09	4.3527384	-0.0095979	-0.4264611	1.3564423	0.0070594745	0.082	127.0	1504.232206583023	38.59197	9.482061	78.63832	26.458286	0.0	0.0
32	494.15625	8.841225	1.5738299	11.263115	2.8940594	528000	-2.6077032e-08	4.705291	-0.008223291	-0.5459627	1.3564423	0.0067781447	0.068625	127.0	1549.8149366378784	39.324966	10.109065	79.98123	23.09757	0.0	0.0
33	486.53125	9.25757	1.7479435	11.648886	3.7200623	544000	-1.8626451e-09	1.8220094	-0.00938215	-0.21364856	1.3564423	0.00854559	0.084125	127.0	1593.1622557640076	42.2335	7.382161	51.2656	12.328613	0.0	0.0
34	500.0	8.882639	2.2851775	11.62832	-8.96112	560000	-2.2351742e-08	2.5431802	-0.010367019	-0.3104596	1.3564423	0.010184715	0.0886875	127.0	1633.9621860980988	40.89899	7.8548117	62.98977	27.899946	0.0	0.0
35	500.0	9.148797	1.8968462	11.973934	-1.0639623	576000	-1.1175871e-08	2.7712321	-0.010082524	-0.6786104	1.3564423	0.007957762	0.071625	127.0	1672.9814126491547	40.218323	6.3825746	52.752926	25.436253	0.0	0.0
36	493.90625	9.056644	1.4854428	10.933308	4.1078086	592000	2.9802322e-08	7.4283686	-0.008150244	-1.2481427	1.3564423	0.008977193	0.08687501	127.0	1713.200392961502	44.72464	12.045406	92.60437	28.481943	0.0	0.0
37	496.59375	9.788207	1.730481	11.734736	4.151224	608000	-1.1175871e-08	5.0733833	-0.008496424	-0.635671	1.3564423	0.008078295	0.0668125	127.0	1755.496834039688	48.345318	9.710669	75.68639	31.965658	0.0	0.0
38	492.1875	10.634123	1.7771882	12.444673	3.8792808	624000	1.1175871e-08	4.804255	-0.008888375	-1.0142529	1.3564423	0.00677392	0.065375	127.0	1797.367718219757	46.65158	10.291937	69.07527	21.925638	0.0	0.0
39	500.0	10.637362	1.867561	12.900647	3.2255702	640000	0.0	4.501211	-0.0075247176	-0.49826285	1.3564423	0.008401917	0.065375	127.0	1837.9255812168121	46.750675	9.458918	84.80899	31.001633	0.0	0.0
40	497.0	9.873092	2.121689	13.675193	2.3733466	656000	-2.2351742e-08	3.6216776	-0.007982627	-0.6984261	1.3564423	0.006332383	0.0609375	127.0	1894.027666091919	41.305126	8.520051	57.659145	20.575222	0.0	0.0
41	490.65625	9.701533	2.0078726	12.821789	1.8227289	672000	7.450581e-09	2.9268084	-0.00993455	-0.640787	1.3564423	0.008601712	0.079875	127.0	1949.2232685089111	45.052864	8.622449	58.47476	12.916843	0.0	0.0
42	500.0	10.4073105	1.7847177	12.684182	3.6264122	688000	-1.8626451e-08	4.673624	-0.008998544	-0.38964048	1.3564423	0.006892725	0.069562495	127.0	1993.907452583313	48.569363	10.044583	75.73797	30.659922	0.0	0.0
43	500.0	10.888447	1.9305886	13.310772	4.007052	704000	0.0	8.16854	-0.008634357	-0.7549584	1.3564423	0.0072064917	0.0705	127.0	2043.9470207691193	49.73022	11.988126	90.86184	34.103127	0.0	0.0
44	454.87878	11.327015	2.0717802	14.104684	4.3545237	720000	-2.2351742e-08	7.1626873	-0.00980024	-0.42129362	1.3564423	0.007462491	0.0890625	127.0	2098.6177520751953	45.925198	14.615112	85.04388	18.59638	0.0	0.0
45	495.625	10.714775	2.0612898	14.124822	4.458374	736000	7.450581e-09	4.930376	-0.011327453	-0.5817599	1.3564423	0.009654157	0.1003125	127.0	2153.669228076935	48.286476	10.303447	80.153435	26.100723	0.0	0.0
46	500.0	11.358518	2.2741492	14.386471	-3.1549265	752000	-5.5879354e-09	3.1961513	-0.008631887	-0.94785804	1.3564423	0.006789675	0.0696875	127.0	2197.5036103725433	47.855293	5.0518837	56.143204	33.96515	0.0	0.0
47	493.15625	10.833686	1.9185078	13.142646	-0.15270753	768000	7.450581e-09	3.9880357	-0.008257868	-0.23609392	1.3564423	0.008244926	0.0690625	127.0	2242.3203423023224	47.27447	8.583312	72.421425	26.425072	0.0	0.0
48	494.40625	10.84123	1.767464	12.67853	0.083676435	784000	0.0	5.011886	-0.0072399434	-0.4449915	1.3564423	0.005305513	0.0629375	127.0	2285.394253015518	51.43803	9.866558	90.0995	32.48923	0.0	0.0
49	497.3125	11.043836	2.2502656	13.157985	0.6134068	800000	-1.4901161e-08	2.1090705	-0.007195742	-0.23124641	1.3564423	0.006581581	0.073625	127.0	2325.0707268714905	49.668262	6.3150854	63.93001	35.46446	0.0	0.0
50	500.0	11.139872	1.8144932	12.958482	2.1516697	816000	0.0	1.4135715	-0.00879414	-0.16801088	1.3564423	0.0060013942	0.056375	127.0	2371.54567527771	50.778244	6.307405	64.49487	30.87599	0.0	0.0
51	500.0	11.20916	1.8401933	13.411766	5.213109	832000	7.450581e-09	5.1319456	-0.006885861	-0.6680116	1.3564423	0.006607583	0.073312506	127.0	2407.6370055675507	48.994255	11.096399	92.64337	20.798306	0.0	0.0
52	500.0	11.247791	2.055482	13.543413	0.45870978	848000	-1.6763806e-08	4.5801253	-0.009168845	-0.52674246	1.3564423	0.006929486	0.0795625	127.0	2461.2841970920563	51.727398	9.845907	96.61729	31.221533	0.0	0.0
53	493.34375	11.48132	1.9990418	13.622283	-5.760589	864000	9.313226e-09	9.363124	-0.00892092	-1.158724	1.3564423	0.007896889	0.084125005	127.0	2511.0576038360596	52.43544	13.984695	106.395996	32.417706	0.0	0.0
54	500.0	11.461376	2.0344932	14.47492	5.0036807	880000	7.450581e-09	5.167201	-0.008471362	-1.0580626	1.3564423	0.00831936	0.0711875	127.0	2554.515836954117	51.082573	10.393019	98.35976	32.888195	0.0	0.0
55	500.0	11.695514	2.598403	14.667887	-4.5482016	896000	7.450581e-09	4.9756174	-0.0097265085	-0.73116386	1.3564423	0.008393966	0.084875	127.0	2603.353290081024	51.49861	8.456454	86.736	36.156372	0.0	0.0
56	498.625	11.760139	2.0039802	13.93868	-0.28721094	912000	7.450581e-09	6.194646	-0.009679209	-1.1970634	1.3564423	0.0075633805	0.075625	127.0	2658.585147857666	52.0982	11.682372	86.477745	25.342464	0.0	0.0
57	500.0	11.959922	2.1628833	14.743355	4.8456016	928000	1.1175871e-08	3.3915896	-0.00870318	-0.7853105	1.3564423	0.007590339	0.067562506	127.0	2715.2410957813263	53.38462	7.187316	82.38791	38.11995	0.0	0.0
58	500.0	12.095183	2.0270426	14.151281	4.986883	944000	7.450581e-09	3.3337083	-0.0083613675	-0.13746387	1.3564423	0.006614613	0.0695625	127.0	2766.7595739364624	53.152756	8.835321	85.74051	33.62954	0.0	0.0
59	500.0	12.085491	2.1290534	14.219147	1.0498894	960000	1.1175871e-08	5.886687	-0.0085391095	-0.73886997	1.3564423	0.005747161	0.066875	127.0	2818.820375919342	55.338497	9.100285	86.77843	32.33405	0.0	0.0
60	500.0	12.326647	1.9804237	14.616766	5.0286884	976000	-1.4901161e-08	8.37122	-0.008807916	-1.1530802	1.3564423	0.010484597	0.098625004	127.0	2871.04953455925	57.85064	11.919254	96.913536	43.500576	0.0	0.0
61	500.0	12.820538	2.2950864	15.446932	-2.980305	992000	-7.450581e-09	7.536534	-0.007865631	-0.48346013	1.3564423	0.0071719075	0.073249996	127.0	2914.682669878006	58.46064	11.213691	93.67181	39.21416	0.0	0.0
62	495.09375	13.25603	2.2435594	16.195837	5.796242	1008000	-2.9802322e-08	9.494146	-0.007878814	-1.1746235	1.3564423	0.009395439	0.08675	127.0	2962.152216911316	57.51725	13.886962	99.1655	36.974228	0.0	0.0
63	500.0	13.061682	2.4775445	17.32162	4.5578694	1024000	-2.2351742e-08	10.081821	-0.008444853	-1.0557288	1.3564423	0.0068697305	0.07625	127.0	3010.090474843979	56.609463	13.562683	108.312836	32.380646	0.0	0.0
64	500.0	12.5992775	2.568808	17.441181	3.0130527	1040000	-2.2351742e-08	10.9314995	-0.008954192	-2.6201487	1.3564423	0.00856163	0.0826875	127.0	3050.172346353531	55.900135	17.832186	119.90792	14.484271	0.0	0.0
65	500.0	12.612315	3.4245803	19.356956	-2.6640604	1056000	1.4901161e-08	17.01043	-0.009346867	-3.319715	1.3564423	0.0068624076	0.0739375	127.0	3100.4990527629852	62.03116	18.83803	104.46531	30.468737	0.03125	0.90625
66	500.0	13.758897	3.2455583	20.33395	5.1674786	1072000	0.0	11.2252445	-0.008546928	-1.953819	1.3564423	0.0064656762	0.076625004	127.0	3139.983999967575	62.245586	17.28813	106.51705	31.408985	0.0	0.0
67	500.0	14.033356	3.8038282	21.85988	2.7679145	1088000	9.313226e-10	9.996775	-0.008599406	-2.3480146	1.3564423	0.0069171465	0.0648125	127.0	3184.4993274211884	61.5932	16.43653	106.07765	43.84469	0.0	0.0
68	493.09375	14.165268	4.0870047	23.212683	2.0540783	1104000	1.3969839e-08	10.044664	-0.008804851	-1.8149407	1.3564423	0.007169558	0.06925	127.0	3227.0047595500946	59.908512	16.755953	100.14608	25.955738	0.0	0.0
69	500.0	13.924671	3.7840402	22.803644	5.507962	1120000	1.8626451e-09	13.792862	-0.008295421	-2.8834143	1.3564423	0.008225004	0.078125	127.0	3268.4307510852814	59.871773	16.210276	100.48377	31.209225	0.0	0.0
