Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.051905364	0.022843234	0.11443916	-0.01600242	16000	1.6763806e-08	0.0028174534	-0.007180956	-0.0013560029	1.3564423	0.0075630145	0.078687504	127.0	47.2440288066864	0.276707	0.21118435	0.8395349	0.050354525	0.0	0.0
1	500.0	0.056161217	0.020204816	0.1283958	0.008223183	32000	9.313226e-09	0.0019429151	-0.0071362234	-0.00070918765	1.3564423	0.009149449	0.095875	127.0	90.62252378463745	0.3382312	0.23484683	1.2318432	0.0625445	0.0	0.0
2	500.0	0.090413	0.03264234	0.19570497	0.0073131807	48000	7.450581e-09	0.00759813	-0.010903126	-0.0033611755	1.3564423	0.00968791	0.11825	127.0	130.72356724739075	0.72814757	0.45954752	2.2516882	0.20276941	0.0	0.0
3	500.0	0.2150017	0.056592006	0.4935062	0.0793385	64000	3.5390258e-08	0.018709961	-0.010258684	-0.009191945	1.3564423	0.008917106	0.092625	127.0	169.8892433643341	1.2543755	0.69528717	2.9878373	0.14658454	0.0	0.0
4	500.0	0.37918416	0.094025835	0.73012733	0.086940214	80000	1.4901161e-08	0.029870776	-0.011076134	-0.010962299	1.3564423	0.009118911	0.099125	127.0	212.79637598991394	1.7012931	0.7313101	3.9395764	0.7073391	0.0	0.0
5	500.0	0.4203723	0.07100482	0.6362883	0.16676114	96000	0.0	0.038073283	-0.011504287	-0.0115000205	1.3564423	0.006157345	0.1138125	127.0	257.6744704246521	2.320797	0.89772636	4.2672997	0.6796076	0.0	0.0
6	500.0	0.6321346	0.14058782	1.0586649	0.18498123	112000	2.6077032e-08	0.44363207	-0.008588122	-0.2348187	1.3564423	0.0067640753	0.079125	127.0	294.0149528980255	5.1133327	2.352699	10.713517	1.5962964	0.0	0.0
7	500.0	1.3102727	0.32333237	2.1576293	0.3497345	128000	-2.2351742e-08	1.8072572	-0.0075474717	-0.9543017	1.3564423	0.005291491	0.0628125	127.0	334.02625918388367	9.673743	4.3776817	20.616764	2.153679	0.0	0.0
8	500.0	2.431966	0.8299953	4.0380783	0.31967142	144000	-5.7742e-08	2.875125	-0.008059995	-1.6036271	1.3564423	0.0053107096	0.066937506	127.0	366.48042488098145	15.409092	5.004005	27.019444	5.156595	0.0	0.0
9	500.0	3.7378325	1.191798	6.0392666	0.062639765	160000	-3.7252903e-09	2.774814	-0.009018559	-1.1509978	1.3564423	0.0059907697	0.078125	127.0	401.6661081314087	20.15337	6.0661974	31.156021	7.3732862	0.0	0.0
10	500.0	5.0691733	1.5445065	7.2926836	0.2036352	176000	7.450581e-09	2.003223	-0.010427121	-0.689448	1.3564423	0.007728791	0.08925	127.0	447.95523977279663	24.830841	4.314669	31.35115	13.118806	0.0	0.0
11	500.0	6.0988374	1.617908	8.244409	0.55989075	192000	1.8626451e-08	1.4957294	-0.0082996385	-0.086277835	1.3564423	0.004973471	0.0566875	127.0	486.16136956214905	26.110485	4.3548355	35.387802	16.160336	0.0	0.0
12	500.0	6.400199	1.5016391	8.155711	1.4080548	208000	7.450581e-09	2.1905823	-0.008807084	-0.1473016	1.3564423	0.006427468	0.0590625	127.0	521.0086851119995	27.959265	5.5980635	38.422462	16.00751	0.0	0.0
13	500.0	6.620668	1.234561	7.9631596	1.8666455	224000	7.450581e-09	1.8864579	-0.008761566	-0.17610665	1.3564423	0.007778101	0.0616875	127.0	559.1778521537781	30.122772	4.666893	40.658436	22.242119	0.0	0.0
14	500.0	6.9859033	1.2300589	8.202106	2.0437925	240000	-7.450581e-09	1.9373423	-0.009838504	-0.10437743	1.3564423	0.007490311	0.068375	127.0	607.620965719223	30.164848	5.394875	41.65275	17.079672	0.0	0.0
15	500.0	7.035321	1.129141	7.984996	2.2390988	256000	2.6077032e-08	2.3395886	-0.00870638	-0.41616246	1.3564423	0.0052870302	0.06362501	127.0	648.5073471069336	34.103134	5.353697	45.440605	21.78319	0.0	0.0
16	500.0	7.6855097	1.0130247	8.414975	2.7635164	272000	1.1175871e-08	1.5223259	-0.009187138	-0.021201761	1.3564423	0.007064156	0.0656875	127.0	684.639684677124	34.15847	4.5568748	42.105534	26.695461	0.0	0.0
17	500.0	7.7383285	1.051641	8.449167	2.650247	288000	-7.450581e-09	1.8816134	-0.007849498	-0.030268956	1.3564423	0.0056860587	0.054625	127.0	724.0747745037079	34.980774	5.3714724	45.36576	22.008593	0.0	0.0
18	500.0	7.81938	0.99644303	8.468827	2.9452682	304000	-2.9802322e-08	1.746108	-0.0074433046	-0.24554256	1.3564423	0.0063848933	0.054625005	127.0	764.5757415294647	37.212067	4.4049993	46.05929	26.650417	0.0	0.0
19	500.0	8.328864	1.123162	8.971538	2.5324605	320000	-1.4901161e-08	1.747009	-0.0065570916	-0.048887264	1.3564423	0.0030217557	0.045374997	127.0	807.9011209011078	37.511787	5.1682534	48.272	22.200481	0.0	0.0
20	500.0	8.452574	1.1847132	9.175792	2.513052	336000	7.450581e-09	1.6231861	-0.008016327	-0.36109784	1.3564423	0.004632456	0.061750002	127.0	843.3813791275024	40.66859	4.2400503	52.67343	31.836346	0.0	0.0
21	500.0	9.036884	1.3066487	9.7640705	2.5658038	352000	-2.6077032e-08	1.3842852	-0.008409508	-0.3000204	1.3564423	0.0048461272	0.057	127.0	882.0650815963745	42.09796	3.8744454	49.153896	34.665546	0.0	0.0
22	500.0	9.497919	1.4779943	10.402472	2.7076616	368000	3.7252903e-09	1.4122282	-0.009547545	-0.080736354	1.3564423	0.006037635	0.071125	127.0	921.3443853855133	40.859825	4.304553	49.44717	29.797422	0.0	0.0
23	500.0	9.3163185	1.3329226	10.1121	3.3354664	384000	7.450581e-09	0.9599144	-0.008636504	-0.13515273	1.3564423	0.004528485	0.062499996	127.0	964.1136705875397	42.93092	3.186653	48.009995	35.996098	0.0	0.0
24	500.0	9.629354	1.3880975	10.506711	3.3009892	400000	0.0	1.0559156	-0.008549668	-0.045762844	1.3564423	0.007240137	0.064624995	127.0	1001.7266845703125	43.03058	4.2031713	49.547062	34.25539	0.0	0.0
25	500.0	9.787104	1.4571301	10.689018	3.570744	416000	1.1175871e-08	1.0536776	-0.007728936	-0.055660833	1.3564423	0.005191053	0.055375002	127.0	1035.3718478679657	44.37626	3.6853077	51.069527	35.996418	0.0	0.0
26	500.0	9.999087	1.4596411	10.860829	3.4916933	432000	2.9802322e-08	1.011639	-0.00706635	-0.012482665	1.3564423	0.0071292957	0.0489375	127.0	1073.7322897911072	44.37783	3.6968868	49.827827	33.018784	0.0	0.0
