Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.069748804	0.013198756	0.13108137	0.031110056	16000	4.8428774e-08	0.0021159113	-0.0061404575	-0.0015878768	1.3564423	0.006717937	0.056125	127.0	36.31426191329956	0.15260564	0.110745065	0.44784734	0.031768877	0.0	0.0
1	500.0	0.03872108	0.013399297	0.08525561	0.00041108578	32000	1.8626451e-08	0.0011692179	-0.0077469293	-0.00050549	1.3564423	0.0089048445	0.0823125	127.0	75.47870779037476	0.21512432	0.18523622	0.87813336	0.031864125	0.0	0.0
2	500.0	0.064183295	0.03271495	0.17249481	-0.007902209	48000	-1.4901161e-08	0.0021925867	-0.009990454	-0.0008748146	1.3564423	0.009551004	0.108624995	127.0	110.52133250236511	0.41125596	0.2723402	1.0705702	0.0336556	0.0	0.0
3	500.0	0.10078303	0.035627387	0.19907877	-0.020350907	64000	-7.450581e-09	0.0020150917	-0.009672173	-0.00061424274	1.3564423	0.007221942	0.0860625	127.0	151.08076906204224	0.55573	0.26190013	1.1101683	0.05971117	0.0	0.0
4	500.0	0.14941487	0.033115525	0.23233144	0.053983707	80000	0.0	0.0041016946	-0.010538768	-0.0011024168	1.3564423	0.008022845	0.08875	127.0	190.09124207496643	0.8048234	0.30098748	1.7992823	0.35873803	0.0	0.0
5	500.0	0.18840024	0.0379933	0.30101463	0.06152614	96000	-1.4901161e-08	0.012002828	-0.01200129	-0.0059200283	1.3564423	0.006835649	0.1065625	127.0	228.24084734916687	1.2588618	0.40795073	2.3142426	0.6244569	0.0	0.0
6	500.0	0.29097462	0.053980906	0.45983392	0.1196869	112000	1.21071935e-08	0.020151572	-0.01251111	-0.012718311	1.3564423	0.0074822344	0.1053125	127.0	266.6404867172241	1.8679318	0.40910837	2.54557	0.79264575	0.0	0.0
7	500.0	0.42264324	0.07396314	0.59050816	0.17682722	128000	1.3038516e-08	0.025452724	-0.007747355	-0.011871749	1.3564423	0.005909042	0.0694375	127.0	303.33089685440063	2.247758	0.74264514	4.5120068	0.7469398	0.0	0.0
8	500.0	0.5511133	0.15530443	0.9785673	0.15330459	144000	0.0	0.03468515	-0.0094725955	-0.014393466	1.3564423	0.005651935	0.09568751	127.0	339.97609972953796	2.8319116	0.8801718	5.594494	1.3458853	0.0	0.0
9	500.0	0.7215017	0.2002373	1.297259	0.15729412	160000	-3.7252903e-09	0.032309763	-0.011181086	-0.011785458	1.3564423	0.0076766256	0.1019375	127.0	377.15648794174194	3.4730773	0.7433372	6.478384	2.223342	0.0	0.0
10	500.0	0.8470418	0.24594606	1.5397002	0.28345776	176000	3.7252903e-09	0.049323734	-0.008212168	-0.0068948516	1.3564423	0.006841964	0.081625	127.0	418.5718014240265	3.652133	1.0952647	8.623225	2.0099869	0.0	0.0
11	500.0	0.9411106	0.2833217	1.7072852	0.21989667	192000	-5.5879354e-09	0.13163695	-0.0066191815	-0.067910105	1.3564423	0.005738934	0.0900625	127.0	455.9020473957062	4.56709	1.6564333	11.18483	2.7601898	0.0	0.0
12	500.0	1.1684055	0.41898113	2.5274818	0.3019738	208000	0.0	0.06045153	-0.0058581	-0.012089767	1.3564423	0.0073406002	0.052562498	127.0	493.66254353523254	4.744824	1.5203904	10.841988	2.6348767	0.0	0.0
13	500.0	1.2300916	0.5663885	3.0355146	0.24794719	224000	3.7252903e-09	0.111715615	-0.0076725	-0.03433986	1.3564423	0.008591275	0.0753125	127.0	548.7677984237671	5.568925	2.5600162	12.78255	3.4430904	0.0	0.0
14	500.0	1.5187746	0.82910883	4.160739	0.13218534	240000	-7.450581e-09	0.147614	-0.0096836295	-0.058185935	1.3564423	0.009207636	0.098312505	127.0	593.7110192775726	6.9935875	3.617586	16.062737	2.9713042	0.0	0.0
15	500.0	1.4329262	0.848678	4.5256944	0.3199672	256000	3.7252903e-09	0.24574132	-0.007239254	-0.09374033	1.3564423	0.006210915	0.0708125	127.0	640.3044285774231	6.2254725	4.5565257	22.782845	3.035588	0.0	0.0
16	500.0	2.4128897	1.614874	5.9736423	0.089742914	272000	-3.7252903e-09	0.3701986	-0.0091223195	-0.13555917	1.3564423	0.007170177	0.0825625	127.0	681.6642742156982	9.894843	6.603409	24.536652	3.2912202	0.0	0.0
17	500.0	2.620062	2.0081284	6.869643	-0.143551	288000	-7.450581e-09	0.30121094	-0.009372916	-0.09030538	1.3564423	0.0052882694	0.081375	127.0	727.2714581489563	11.1442585	7.661574	23.424528	2.850482	0.0	0.0
18	500.0	3.428005	2.3868544	7.3373766	0.089405194	304000	-9.313226e-09	0.75869757	-0.009046806	-0.15623847	1.3564423	0.007849108	0.0775	127.0	771.3708670139313	14.867791	9.078693	28.593212	2.0719585	0.0	0.0
19	500.0	3.5754578	2.6214876	8.317893	-0.16059217	320000	-9.313226e-10	0.55316746	-0.0071375496	-0.10943273	1.3564423	0.005727536	0.0605625	127.0	813.3841094970703	14.087497	10.29441	31.176262	1.4764327	0.0	0.0
20	500.0	4.4920273	2.7327902	8.219336	-0.10076974	336000	7.450581e-09	0.6567195	-0.008206788	-0.08161752	1.3564423	0.0073701376	0.066875	127.0	853.6228773593903	18.209656	9.977345	32.166794	2.5261006	0.0	0.0
21	500.0	5.4742384	2.4938638	8.232156	-0.08495292	352000	3.7252903e-09	1.109031	-0.009116396	-0.19624749	1.3564423	0.007411209	0.066125005	127.0	891.3881616592407	21.463562	8.283576	30.109497	3.2505171	0.0	0.0
22	500.0	5.5234156	2.150219	7.644447	-0.026898205	368000	7.450581e-09	1.4039053	-0.008991837	-0.2573676	1.3564423	0.007197473	0.07	127.0	929.416743516922	24.380823	8.828218	34.440887	3.149008	0.0	0.0
23	500.0	5.838298	2.3545842	8.163709	-0.15007658	384000	1.1175871e-08	1.1217837	-0.009340253	-0.22760212	1.3564423	0.008046219	0.071062505	127.0	967.342889547348	25.044125	9.17309	36.048233	2.986219	0.0	0.0
