Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.06911166	0.013165037	0.122908205	0.02854269	16000	-6.3329935e-08	0.0020357135	-0.0061474484	-0.0015731765	1.3564423	0.0067800754	0.0644375	127.0	96.18261814117432	0.14654195	0.103374444	0.52172935	0.022442967	0.0	0.0
1	500.0	0.040697172	0.011967293	0.08205332	0.007813882	32000	5.5879354e-09	0.0008388305	-0.007457123	-0.0003331884	1.3564423	0.008559877	0.081562504	127.0	155.6637716293335	0.20132132	0.13402069	0.5967762	0.032230873	0.0	0.0
2	500.0	0.05311374	0.016340293	0.09989248	0.0020105988	48000	1.4901161e-08	0.0010990223	-0.010513898	-0.0005177492	1.3564423	0.008981155	0.105125	127.0	193.3342001438141	0.34152445	0.18116008	0.7806762	0.054268487	0.0	0.0
3	500.0	0.092288695	0.02233926	0.18340777	0.012565989	64000	-1.4901161e-08	0.001700708	-0.009826722	-0.000567548	1.3564423	0.008040879	0.0889375	127.0	230.5797929763794	0.50242853	0.20576356	0.98789495	0.13610455	0.0	0.0
4	500.0	0.1414616	0.026020706	0.21361472	0.051291727	80000	3.7252903e-08	0.0046762833	-0.009562565	-0.0016322493	1.3564423	0.0077001085	0.079375	127.0	334.37792801856995	0.7506987	0.26117986	1.3988985	0.40874726	0.0	0.0
5	500.0	0.17251304	0.026783694	0.2502401	0.093838535	96000	5.5879354e-08	0.013786672	-0.009518012	-0.006078162	1.3564423	0.0063004373	0.100062504	127.0	386.5899302959442	1.1525674	0.43790653	2.686339	0.50980395	0.0	0.0
6	500.0	0.2701772	0.055263456	0.47966418	0.07123629	112000	1.3038516e-08	0.05399288	-0.0096044205	-0.029568724	1.3564423	0.0064012026	0.080562495	127.0	456.4772171974182	2.0049467	0.7606909	3.5546262	0.76083213	0.0	0.0
7	500.0	0.4787233	0.13869043	0.9861472	0.14649779	128000	5.5879354e-09	0.19076204	-0.0073751225	-0.10288441	1.3564423	0.0060181473	0.0648125	127.0	502.5459339618683	3.1857042	1.5783749	9.461521	0.8566326	0.0	0.0
8	500.0	0.8800012	0.39612895	1.8677568	0.09650351	144000	-2.9802322e-08	0.30927423	-0.008067267	-0.16983981	1.3564423	0.0060485853	0.087375	127.0	635.2155916690826	4.718706	2.3070052	10.556873	1.1135212	0.0	0.0
9	500.0	1.4284203	0.6144261	2.7152991	-0.14757594	160000	-1.4901161e-08	0.83955073	-0.009976	-0.3581716	1.3564423	0.007892586	0.1058125	127.0	719.6782276630402	7.9611955	3.6010096	17.326307	2.6213155	0.0	0.0
