Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.012665587	0.025915122	0.090172365	-0.042316284	16000	1.4901161e-08	0.0016184815	-0.007886652	-0.00088306295	1.3564423	0.007207387	0.074625	127.0	42.68873310089111	0.22336954	0.14031164	0.65859723	0.062400732	0.0	0.0
1	500.0	0.041939855	0.018749502	0.09262489	-0.01486733	32000	1.0244548e-08	0.0011883881	-0.008524124	-0.00035601584	1.3564423	0.010424123	0.1216875	127.0	76.01236724853516	0.24490803	0.19450314	1.0707784	0.048295308	0.0	0.0
2	500.0	0.07599152	0.023277674	0.14125203	0.016781949	48000	-4.0978193e-08	0.010735418	-0.008908918	-0.006276206	1.3564423	0.0076841027	0.0961875	127.0	109.28008246421814	0.7997648	0.41420305	1.6753303	0.23109134	0.0	0.0
3	500.0	0.17778721	0.043725904	0.3080582	0.050510127	64000	0.0	0.017873801	-0.008081307	-0.006143735	1.3564423	0.006683739	0.0831875	127.0	145.59455561637878	1.1012791	0.71106994	3.9813473	0.28169987	0.0	0.0
4	500.0	0.27848035	0.058473546	0.4237712	0.047419038	80000	-1.8626451e-08	0.082417294	-0.0063736574	-0.04604271	1.3564423	0.006978062	0.0685625	127.0	183.08325934410095	1.616453	1.4148387	7.155669	0.40426853	0.0	0.0
5	500.0	0.45761517	0.14534037	0.94761896	0.08268149	96000	1.21071935e-08	0.06548955	-0.010691473	-0.02270599	1.3564423	0.007826671	0.119624995	127.0	217.93558859825134	2.226844	1.6036592	8.240072	0.60521066	0.0	0.0
6	500.0	0.64169353	0.2753376	1.323799	-0.11304346	112000	1.3038516e-08	0.35714692	-0.010365077	-0.18244797	1.3564423	0.00857463	0.1105625	127.0	253.3544421195984	4.589067	2.723782	13.009802	0.80174285	0.0	0.0
7	500.0	1.462034	0.579	3.1228247	-0.24291214	128000	1.4901161e-08	0.79625	-0.009288117	-0.37746096	1.3564423	0.0061303917	0.091562495	127.0	292.8823401927948	7.5801134	3.5516129	15.63793	2.0328057	0.0	0.0
8	500.0	2.0964434	0.87688035	3.947493	-0.29390123	144000	-3.9115548e-08	1.1009017	-0.010441612	-0.6398695	1.3564423	0.0070648785	0.1056875	127.0	329.9238941669464	11.23054	4.005646	17.806578	3.2383094	0.0	0.0
9	500.0	3.2111878	1.1757032	5.5072165	-0.26305193	160000	-3.5390258e-08	1.9472207	-0.010520678	-0.9964181	1.3564423	0.0076657403	0.100250006	127.0	363.64480090141296	17.489672	4.323569	26.549839	9.312905	0.0	0.0
10	500.0	4.405079	1.5310161	6.882565	-0.2434139	176000	-2.6077032e-08	1.5928894	-0.009784485	-0.42486566	1.3564423	0.0072567975	0.085187495	127.0	403.4803228378296	20.687796	5.2331667	35.946117	10.34096	0.0	0.0
11	500.0	5.366316	1.5091696	7.665004	0.2010401	192000	2.2351742e-08	1.7516689	-0.0077561853	-0.23112598	1.3564423	0.0055495705	0.058125	127.0	441.34526562690735	22.713108	5.5509686	35.15991	13.767762	0.0	0.0
12	500.0	5.6302423	1.545009	7.9416723	0.46507064	208000	-7.450581e-09	2.1143138	-0.0065666502	-0.39000195	1.3564423	0.0063319053	0.0503125	127.0	477.6532664299011	26.101944	6.104683	38.568604	15.6024885	0.0	0.0
