Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07218858	0.012949691	0.12514855	0.031562455	16000	2.6077032e-08	0.0022101316	-0.0060735676	-0.0017283203	1.3564423	0.006566306	0.06375	127.0	42.20340609550476	0.1495521	0.105097644	0.5310156	0.022732448	0.0	0.0
1	500.0	0.041502465	0.011957367	0.08275466	0.007852089	32000	-3.7252903e-09	0.00088584184	-0.007556483	-0.0003533921	1.3564423	0.008765418	0.08075	127.0	78.73566508293152	0.2076737	0.13941702	0.62137103	0.03284613	0.0	0.0
2	500.0	0.055159796	0.017000575	0.10322522	0.002015911	48000	2.2351742e-08	0.001132553	-0.010760977	-0.00052949315	1.3564423	0.008926263	0.107562505	127.0	112.21982479095459	0.35741585	0.18422964	0.80575234	0.053753387	0.0	0.0
3	500.0	0.09722162	0.02354834	0.19260257	0.015787728	64000	3.7252903e-09	0.0019265354	-0.009497447	-0.000662043	1.3564423	0.007751319	0.084375	127.0	151.241770029068	0.526084	0.21321872	1.0289702	0.14122993	0.0	0.0
4	500.0	0.14583474	0.026015477	0.21615842	0.052910335	80000	7.450581e-09	0.0047246707	-0.009490751	-0.0016815907	1.3564423	0.0075121154	0.078375	127.0	193.9510419368744	0.7668035	0.26003814	1.3868225	0.44567353	0.0	0.0
5	500.0	0.17861031	0.027432332	0.2604876	0.098686635	96000	-3.7252903e-09	0.017296385	-0.00976534	-0.00821174	1.3564423	0.0062185354	0.1020625	127.0	228.11995100975037	1.2497878	0.4552374	2.7134943	0.53064966	0.0	0.0
6	500.0	0.28928465	0.058318023	0.50864446	0.094201885	112000	4.8428774e-08	0.056300536	-0.009762311	-0.03066106	1.3564423	0.0063842875	0.0838125	127.0	271.89171600341797	2.0736442	0.7906861	3.5860133	0.7924326	0.0	0.0
7	500.0	0.49569	0.14431696	1.0182583	0.15329507	128000	2.9802322e-08	0.1956344	-0.0069882334	-0.10485215	1.3564423	0.0058166636	0.0623125	127.0	317.608989238739	3.2569432	1.5761606	9.949141	1.3111099	0.0	0.0
8	500.0	0.8882041	0.41280073	1.8627014	0.0891387	144000	7.450581e-09	0.28111565	-0.008346394	-0.15153058	1.3564423	0.0059894896	0.0925	127.0	354.9868793487549	4.6561813	2.1571224	10.308438	1.094295	0.0	0.0
9	500.0	1.4206386	0.6198869	2.8679652	-0.119596824	160000	-2.9802322e-08	0.912997	-0.009467958	-0.4364775	1.3564423	0.007680789	0.10393751	127.0	397.1654145717621	8.099235	3.644542	17.759388	2.7078285	0.0	0.0
10	500.0	2.269615	0.97597396	4.289947	-0.20440419	176000	-4.4703484e-08	1.2311418	-0.008980677	-0.4045173	1.3564423	0.007414394	0.08912501	127.0	433.80958318710327	11.291302	4.426525	21.967058	3.5475519	0.0	0.0
11	500.0	3.2245328	1.2995118	5.639198	-0.2995632	192000	1.1175871e-08	1.8882519	-0.009373866	-0.5601053	1.3564423	0.007203119	0.086500004	127.0	485.5443150997162	15.601402	5.2450438	29.292685	4.739765	0.0	0.0
12	500.0	4.293344	1.6959112	7.0963025	-0.15671206	208000	7.450581e-09	1.6192389	-0.0068893502	-0.51182294	1.3564423	0.006718888	0.055437498	127.0	540.7045438289642	16.917137	4.7112365	27.378052	5.8263144	0.0	0.0
