Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.017698128	0.025806716	0.09379755	-0.04074333	16000	2.7939677e-08	0.0015231546	-0.007877992	-0.00081463106	1.3564423	0.007369362	0.077125	127.0	42.409358978271484	0.22012034	0.1366609	0.642592	0.062790975	0.0	0.0
1	500.0	0.04198748	0.017764278	0.090986	-0.0050335377	32000	9.313226e-10	0.0010831896	-0.008402273	-0.0003291165	1.3564423	0.0104571525	0.1238125	127.0	80.77057695388794	0.23084635	0.18035978	0.9977594	0.046916805	0.0	0.0
2	500.0	0.07057051	0.021521984	0.13188481	0.016700171	48000	-2.2351742e-08	0.0086440565	-0.008410907	-0.0049856235	1.3564423	0.0078098467	0.092999995	127.0	120.86425065994263	0.72533834	0.3665133	1.500738	0.20843928	0.0	0.0
3	500.0	0.15823273	0.041553598	0.2669461	0.036497116	64000	-7.450581e-09	0.014931028	-0.008130664	-0.005136669	1.3564423	0.0064769797	0.08625001	127.0	165.6398468017578	1.0045586	0.6563664	3.7473376	0.25543806	0.0	0.0
4	500.0	0.25661066	0.05692457	0.3989537	0.0137223415	80000	2.6077032e-08	0.051057458	-0.0071471967	-0.029204391	1.3564423	0.0072611277	0.076812506	127.0	203.823646068573	1.4784857	1.1515802	5.4407554	0.40277934	0.0	0.0
5	500.0	0.4103086	0.12562926	0.8111216	0.08354851	96000	1.0244548e-08	0.051990572	-0.009976117	-0.019049194	1.3564423	0.0075830594	0.1126875	127.0	244.31151723861694	2.0471425	1.4460348	7.202046	0.5368932	0.0	0.0
6	500.0	0.56211317	0.23609799	1.1370134	-0.13528495	112000	-4.377216e-08	0.27999324	-0.010604734	-0.14535703	1.3564423	0.008598313	0.11049999	127.0	281.59332275390625	4.1474557	2.4752457	11.91142	0.61505103	0.0	0.0
7	500.0	1.2910678	0.49066177	2.7550628	-0.15766416	128000	4.0978193e-08	0.681657	-0.009531768	-0.3235309	1.3564423	0.0065411534	0.0915	127.0	318.9418935775757	7.2096596	3.259087	15.336029	2.303099	0.0	0.0
8	500.0	2.004559	0.8168629	3.8426342	-0.23413056	144000	1.6763806e-08	1.1204385	-0.009257448	-0.6629118	1.3564423	0.006854767	0.093499996	127.0	358.52790331840515	10.821886	4.0500793	18.814482	3.0699098	0.0	0.0
9	500.0	3.0494697	1.1217244	5.149241	-0.2281252	160000	7.450581e-09	2.0678468	-0.010573791	-1.0733674	1.3564423	0.007457057	0.10075	127.0	399.5847661495209	16.945683	4.8342023	26.622753	8.741352	0.0	0.0
10	500.0	4.331272	1.6188215	7.0941896	-0.33326456	176000	-2.2351742e-08	1.426974	-0.010648898	-0.3325848	1.3564423	0.008226072	0.09075	127.0	439.08935952186584	19.270035	4.7196374	31.586607	9.001164	0.0	0.0
11	500.0	5.1704736	1.4560932	7.434546	0.3174301	192000	1.8626451e-08	1.8842977	-0.008447959	-0.18861544	1.3564423	0.005287032	0.064375	127.0	476.6797695159912	22.325718	5.9438095	36.404602	13.820383	0.0	0.0
12	500.0	5.3556848	1.4091077	7.2719626	0.4863241	208000	2.9802322e-08	2.5394938	-0.0068969633	-0.91004384	1.3564423	0.005285917	0.047625	127.0	518.7678227424622	26.955269	6.275256	38.861523	16.555803	0.0	0.0
