Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07527536	0.013223286	0.12977336	0.034325607	16000	3.3527613e-08	0.0023728954	-0.00618305	-0.0018792106	1.3564423	0.006865413	0.063062504	127.0	46.115023136138916	0.1481616	0.10065486	0.5077647	0.023150286	0.0	0.0
1	500.0	0.042788237	0.012316516	0.08873114	0.013146393	32000	2.0489097e-08	0.00090175925	-0.007266756	-0.000374614	1.3564423	0.008288977	0.078687504	127.0	90.77362275123596	0.20635882	0.13505782	0.59396	0.03272778	0.0	0.0
2	500.0	0.05354129	0.015907679	0.09741357	0.0007777773	48000	1.4901161e-08	0.0010644528	-0.010649493	-0.00048428436	1.3564423	0.009216329	0.106	127.0	131.97789978981018	0.33887243	0.18024288	0.8143762	0.057406865	0.0	0.0
3	500.0	0.091166	0.021135865	0.17606182	0.017211717	64000	1.1175871e-08	0.0017285801	-0.009592127	-0.00060134055	1.3564423	0.0077643963	0.087	127.0	177.07089233398438	0.5042238	0.20402458	0.9986795	0.14723282	0.0	0.0
4	500.0	0.13816117	0.024128241	0.20878561	0.05426479	80000	2.2351742e-08	0.004650923	-0.009710667	-0.0016333456	1.3564423	0.0076535144	0.0809375	127.0	216.99590921401978	0.7577175	0.26165822	1.4170047	0.42544085	0.0	0.0
5	500.0	0.1732089	0.026622003	0.25063202	0.09348653	96000	5.2154064e-08	0.014242859	-0.00976371	-0.0066217915	1.3564423	0.0061877407	0.10125001	127.0	257.0413992404938	1.1842585	0.41855478	2.6075747	0.5383356	0.0	0.0
6	500.0	0.272625	0.054572042	0.47853673	0.07913779	112000	6.3329935e-08	0.05391805	-0.009398202	-0.02976903	1.3564423	0.0064192084	0.080125004	127.0	299.8145089149475	2.015005	0.7523181	3.6019022	0.74501026	0.0	0.0
7	500.0	0.48615557	0.13980599	0.95512545	0.16316344	128000	-3.3527613e-08	0.19806692	-0.007143732	-0.111506835	1.3564423	0.0058518136	0.0609375	127.0	345.2014322280884	3.2878418	1.5551809	9.406182	1.3775926	0.0	0.0
8	500.0	0.89793384	0.39307967	1.8730438	0.08652799	144000	-3.7252903e-08	0.3133267	-0.0077205617	-0.15956487	1.3564423	0.0059871105	0.09075	127.0	387.63419222831726	4.7413254	2.3544154	10.68042	1.1030877	0.0	0.0
9	500.0	1.4202465	0.59564227	2.6781454	-0.11969979	160000	-1.4901161e-08	0.94067246	-0.009930073	-0.44297567	1.3564423	0.008118034	0.103875	127.0	426.8255457878113	8.205875	3.75405	18.462791	3.1935418	0.0	0.0
10	500.0	2.368943	0.9876652	4.4826107	-0.15119879	176000	-1.8626451e-08	1.5715377	-0.008319398	-0.58954245	1.3564423	0.007534863	0.089875	127.0	479.96948409080505	12.285248	4.596481	22.296799	4.6247053	0.0	0.0
11	500.0	3.499283	1.3825214	5.9486337	-0.48022103	192000	0.0	1.8627545	-0.009419014	-0.47574985	1.3564423	0.006607808	0.0790625	127.0	544.3179080486298	16.015461	5.5858364	29.419819	4.6735187	0.0	0.0
12	500.0	4.457218	1.8127477	7.4375725	-0.26458353	208000	1.3038516e-08	1.4657189	-0.007998738	-0.38189098	1.3564423	0.0068386737	0.058625	127.0	603.8354861736298	16.65482	4.480836	27.34049	6.527038	0.0	0.0
13	500.0	4.462777	1.9946798	7.761347	-0.34874728	224000	-1.3038516e-08	1.9457254	-0.008405512	-0.83694714	1.3564423	0.0075780526	0.0665	127.0	649.4998171329498	16.033827	7.360673	29.166294	4.1105833	0.0	0.0
