Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.05098697	0.017512906	0.13194911	-0.0040561594	16000	3.7252903e-09	0.001120384	-0.0075130165	-0.0007140123	1.3564423	0.0065026204	0.0658125	127.0	42.30914092063904	0.13627455	0.09531834	0.36294043	0.028964503	0.0	0.0
1	500.0	0.034722127	0.015163094	0.10280241	-0.016905382	32000	2.9802322e-08	0.0006238074	-0.007704721	-0.00024174157	1.3564423	0.008500738	0.0801875	127.0	85.31389021873474	0.1831582	0.10879121	0.50220513	0.031259794	0.0	0.0
2	500.0	0.044388853	0.017343817	0.10873737	-0.011204934	48000	-3.7252903e-09	0.0015596878	-0.0084472075	-0.0007395572	1.3564423	0.008626003	0.0979375	127.0	126.03571605682373	0.31109217	0.19731958	0.69644797	0.033996392	0.0	0.0
3	500.0	0.06154888	0.026410935	0.12264888	-0.0106740855	64000	2.2351742e-08	0.0014248546	-0.009424035	-0.0004757342	1.3564423	0.008037467	0.085687496	127.0	161.103422164917	0.41059977	0.20711198	0.87485266	0.04461595	0.0	0.0
4	500.0	0.10640545	0.02983369	0.17919546	0.01680319	80000	0.0	0.007499135	-0.009326477	-0.0038799467	1.3564423	0.009075845	0.093125	127.0	204.91023302078247	0.7731965	0.4157592	2.2592907	0.32202196	0.0	0.0
5	500.0	0.18695562	0.047362894	0.361859	0.035283867	96000	-9.313226e-09	0.033765543	-0.006535737	-0.015158359	1.3564423	0.0067853555	0.080125004	127.0	248.53842496871948	1.222392	0.8673439	4.8936167	0.42364997	0.0	0.0
6	500.0	0.36710426	0.19227628	0.85373884	-0.0078350995	112000	-2.9802322e-08	0.26727867	-0.005090099	-0.16587833	1.3564423	0.0074191736	0.07275	127.0	291.1667709350586	2.9496212	2.0947542	8.63498	0.7663222	0.0	0.0
7	500.0	0.94926053	0.50065833	2.02314	-0.05385986	128000	-1.6763806e-08	1.5551686	-0.0078035225	-0.6894355	1.3564423	0.007226915	0.070625	127.0	329.47270584106445	6.8815246	4.561507	17.04775	0.36427662	0.0	0.0
8	500.0	1.9013022	1.0752465	4.1788526	-0.35499886	144000	-7.916242e-09	2.187684	-0.008303998	-0.8699198	1.3564423	0.0068342993	0.0813125	127.0	370.2849135398865	10.8614	5.5613055	19.791431	0.7186273	0.0	0.0
9	500.0	2.7562702	1.7179685	5.9277287	-0.5414505	160000	2.0489097e-08	1.9412277	-0.008211466	-0.43077034	1.3564423	0.00838687	0.0965	127.0	413.1453866958618	11.283139	7.080422	24.486526	0.7257979	0.0	0.0
10	500.0	3.633509	1.9636426	6.844233	-0.31606886	176000	3.7252903e-09	1.825186	-0.008698886	-0.12349894	1.3564423	0.007171977	0.078375	127.0	450.34656167030334	13.835791	7.497733	25.105377	0.694815	0.0	0.0
11	500.0	4.4096937	1.7390729	7.068688	-0.24582803	192000	-2.6077032e-08	1.6761949	-0.009433073	-0.24267983	1.3564423	0.007282081	0.090875	127.0	495.55341386795044	18.966347	5.0735927	28.52799	1.2695521	0.0	0.0
