Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.008498878	0.02848867	0.09672612	-0.05981093	16000	-1.9557774e-08	0.0022022359	-0.009143304	-0.0014263948	1.3564423	0.008396351	0.0874375	127.0	48.33832788467407	0.24162401	0.12303941	0.61580235	0.07830285	0.0	0.0
1	500.0	0.050045174	0.01678249	0.119997	0.010311335	32000	-1.3038516e-08	0.0014998068	-0.007943432	-0.000475989	1.3564423	0.009598931	0.0985625	127.0	84.15986371040344	0.2931012	0.17126802	1.0002666	0.08715652	0.0	0.0
2	500.0	0.07379536	0.016732128	0.13224529	0.030241437	48000	-2.2351742e-08	0.007166914	-0.0076593114	-0.0040216497	1.3564423	0.00713629	0.0801875	127.0	122.4885675907135	0.66505975	0.2843012	1.2091511	0.24656023	0.0	0.0
3	500.0	0.1315717	0.04787796	0.24739265	0.008179415	64000	7.450581e-09	0.007851554	-0.009013096	-0.0024133408	1.3564423	0.007805974	0.0924375	127.0	158.48088359832764	0.8561338	0.39369756	1.8445007	0.2531422	0.0	0.0
4	500.0	0.20574717	0.05113277	0.37569085	-0.01360679	80000	3.7252903e-08	0.035164144	-0.009080846	-0.01897122	1.3564423	0.008432545	0.0936875	127.0	197.7278311252594	1.5561397	0.8464134	4.3029385	0.58098483	0.0	0.0
5	500.0	0.4236318	0.091509506	0.67868316	0.060518775	96000	1.1175871e-08	0.15586883	-0.009876928	-0.06825152	1.3564423	0.0070071677	0.094437495	127.0	233.24800562858582	3.2333603	1.6774147	8.262195	1.2812324	0.0	0.0
6	500.0	0.8178214	0.1890467	1.408745	0.17006268	112000	3.7252903e-09	0.8289011	-0.008650214	-0.42189276	1.3564423	0.0072345594	0.08825	127.0	271.8345146179199	6.606037	3.3530655	14.359289	1.3798	0.0	0.0
7	500.0	1.7806935	0.4889755	3.2250526	0.14631431	128000	0.0	2.822318	-0.009472471	-1.4190588	1.3564423	0.0058248476	0.079375	127.0	312.86546206474304	12.256205	6.276279	29.368446	3.0037975	0.0	0.0
8	500.0	3.2556043	1.0971705	5.618336	0.15840831	144000	4.8428774e-08	2.708263	-0.012242299	-1.3513579	1.3564423	0.0071135787	0.1064375	127.0	351.2613115310669	18.674511	4.874769	30.230843	9.320987	0.0	0.0
9	500.0	4.800585	1.4129927	6.9579234	0.4441492	160000	2.514571e-08	2.647028	-0.010375924	-0.79459673	1.3564423	0.0069798273	0.092250004	127.0	395.88835048675537	23.044544	6.049435	37.350334	11.072156	0.0	0.0
10	500.0	5.906511	1.8101726	8.446593	0.31751925	176000	-3.7252903e-09	1.9263135	-0.008463669	-0.40236172	1.3564423	0.0076400633	0.069562495	127.0	443.72046399116516	22.428679	5.002772	32.075066	12.703456	0.0	0.0
11	500.0	5.850801	1.3971876	7.637181	1.104668	192000	-7.450581e-09	2.1869125	-0.009039572	-0.25283918	1.3564423	0.0061803902	0.073875	127.0	496.0451922416687	23.577652	5.1182585	36.302483	13.851028	0.0	0.0
12	500.0	5.7121525	1.0420201	7.0412817	1.722139	208000	7.450581e-09	2.4492583	-0.007939698	-0.38500452	1.3564423	0.00648807	0.0749375	127.0	559.6180830001831	26.799213	4.830465	34.284954	17.548693	0.0	0.0
13	500.0	6.0871024	0.6298214	6.8018384	2.2652512	224000	-2.4214387e-08	2.16496	-0.008757374	-0.21622	1.3564423	0.0064034206	0.065312505	127.0	605.9667282104492	29.65406	4.952063	42.063194	22.334097	0.0	0.0
14	500.0	6.5579963	0.62504596	7.1963177	2.4835112	240000	-2.2351742e-08	2.8339062	-0.008235699	-0.109045014	1.3564423	0.0070366664	0.07025	127.0	649.6914377212524	29.092354	6.954911	43.22979	16.815111	0.0	0.0
15	500.0	6.382523	0.5267087	7.062213	3.1255052	256000	2.6077032e-08	2.9026263	-0.0070328834	-0.5604083	1.3564423	0.0044193203	0.052500002	127.0	708.0897588729858	33.110607	5.4959536	45.288387	19.647951	0.0	0.0
16	500.0	7.111367	0.55429536	7.715806	3.31637	272000	-3.7252903e-09	2.0625384	-0.008253992	-0.068805516	1.3564423	0.005179848	0.062375	127.0	763.0490226745605	31.853033	5.161389	43.831993	18.693449	0.0	0.0
17	500.0	6.915726	0.580618	7.5311737	3.0500062	288000	1.4901161e-08	1.9814688	-0.00856434	-0.1151203	1.3564423	0.006827092	0.066	127.0	812.737459897995	33.349613	5.570727	43.746746	22.289614	0.0	0.0
18	500.0	7.154907	0.6364987	7.825258	3.0927548	304000	-2.0489097e-08	2.0273857	-0.008672455	-0.19669658	1.3564423	0.006890366	0.0569375	127.0	866.9584863185883	33.76274	5.4613523	45.424908	23.864609	0.0	0.0
