Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.01486577	0.027538361	0.10276429	-0.05543113	16000	7.450581e-09	0.0020213167	-0.009004201	-0.0012801276	1.3564423	0.008090055	0.08668749	127.0	43.21258854866028	0.23671077	0.11816629	0.59921813	0.07753851	0.0	0.0
1	500.0	0.048569746	0.016069427	0.11397172	0.010443311	32000	-1.21071935e-08	0.0014251403	-0.007661026	-0.000471183	1.3564423	0.009404197	0.095125	127.0	84.9105896949768	0.28013337	0.16774154	0.9793931	0.0679361	0.0	0.0
2	500.0	0.071355835	0.017181262	0.12964615	0.026804801	48000	-2.2351742e-08	0.006578697	-0.007693326	-0.0036464967	1.3564423	0.007321301	0.0823125	127.0	125.24896574020386	0.6373479	0.275688	1.1740005	0.23952946	0.0	0.0
3	500.0	0.13008967	0.04738222	0.24916077	0.0041985586	64000	0.0	0.007559565	-0.009236736	-0.0023254412	1.3564423	0.007901749	0.095625	127.0	165.08079361915588	0.83068216	0.3841483	1.8390278	0.25310922	0.0	0.0
4	500.0	0.20554736	0.04905915	0.37124217	-0.009963259	80000	-2.9802322e-08	0.034159712	-0.008925443	-0.018406527	1.3564423	0.008389166	0.0935625	127.0	212.8272647857666	1.485089	0.845377	4.5264673	0.54428875	0.0	0.0
5	500.0	0.4110549	0.09440704	0.6848118	0.05128507	96000	-3.7252903e-09	0.1280853	-0.010027534	-0.054256577	1.3564423	0.0070570097	0.0935625	127.0	267.403915643692	2.9789367	1.6092285	7.669387	1.0659629	0.0	0.0
6	500.0	0.7851449	0.20021951	1.421695	0.10728215	112000	2.7939677e-08	0.7534461	-0.008717446	-0.3835761	1.3564423	0.0073676356	0.08975001	127.0	326.2161536216736	6.2718735	3.3006525	13.839679	1.4714513	0.0	0.0
7	500.0	1.7836136	0.5251822	3.5496483	0.16742545	128000	1.4901161e-08	2.6016967	-0.009524082	-1.2290788	1.3564423	0.0056935297	0.080437504	127.0	382.13445377349854	11.77712	6.208888	28.874252	2.588136	0.0	0.0
8	500.0	3.239967	1.1336555	5.659686	0.15452823	144000	7.0780516e-08	2.562651	-0.012165955	-1.3120329	1.3564423	0.007595801	0.108125	127.0	425.23063039779663	18.323599	4.7130423	28.428932	7.67474	0.0	0.0
9	500.0	4.755797	1.4449627	7.1299367	0.4265754	160000	-7.450581e-09	2.2061636	-0.00974638	-0.4671175	1.3564423	0.006003169	0.086375006	127.0	473.3950197696686	21.689117	5.70891	31.924038	9.737195	0.0	0.0
10	500.0	5.588643	1.7340078	8.007205	0.37641436	176000	1.4901161e-08	2.2295318	-0.007959858	-0.4254766	1.3564423	0.006897009	0.06275	127.0	516.5466032028198	22.065231	5.2843194	32.29936	11.336069	0.0	0.0
11	500.0	5.7419634	1.3547124	7.456741	1.2042054	192000	-1.1175871e-08	2.1587796	-0.00847771	-0.331312	1.3564423	0.0064255157	0.07287499	127.0	556.9546020030975	22.735567	5.0781403	37.017147	12.983699	0.0	0.0
12	500.0	5.4821773	0.92703813	6.6789618	1.9852471	208000	1.8626451e-08	2.2852166	-0.008566765	-0.39233357	1.3564423	0.00732666	0.081250004	127.0	598.4325861930847	25.558468	4.361193	33.586185	17.271795	0.0	0.0
13	500.0	5.770746	0.49367437	6.421695	2.448742	224000	1.8626451e-08	2.671183	-0.008970116	-0.21274339	1.3564423	0.0049392935	0.0605	127.0	637.6782832145691	28.41449	5.9016094	40.164326	17.01044	0.0	0.0
14	500.0	6.197136	0.54899776	6.94057	2.6595008	240000	-1.1175871e-08	2.9019835	-0.0069053294	-0.16670099	1.3564423	0.0055390466	0.0546875	127.0	677.5979433059692	27.313175	6.624746	39.99329	14.464352	0.0	0.0
15	500.0	5.9618726	0.34426278	6.451976	3.2181451	256000	-1.4901161e-08	3.1218438	-0.0067759966	-1.1009043	1.3564423	0.0059054554	0.061375	127.0	719.8060812950134	33.005325	4.5065684	40.199158	20.516434	0.0	0.0
16	500.0	6.976858	0.55368125	7.6232715	3.140462	272000	-7.450581e-09	1.8822043	-0.007914411	-0.11973707	1.3564423	0.0063966615	0.06375	127.0	762.8179123401642	31.417295	4.6639824	43.79451	22.998554	0.0	0.0
17	500.0	6.7709565	0.49913645	7.477462	3.2448466	288000	1.3038516e-08	2.1368253	-0.007616395	-0.19075093	1.3564423	0.0052955057	0.057937503	127.0	803.1480803489685	32.78678	5.803968	41.66795	17.324835	0.0	0.0
18	500.0	7.0277476	0.6162927	7.758288	2.4070337	304000	0.0	1.532522	-0.0077204024	-0.09023312	1.3564423	0.0068404595	0.0616875	127.0	848.0399963855743	33.220993	4.9816313	43.25109	23.373678	0.0	0.0
19	500.0	7.182716	0.64406484	8.006463	3.1880958	320000	2.9802322e-08	2.0340466	-0.008614475	-0.24141502	1.3564423	0.006317014	0.0626875	127.0	891.2008588314056	32.70991	6.142984	44.330738	17.170866	0.0	0.0
20	500.0	7.1114745	0.621107	8.212326	3.6954086	336000	1.8626451e-09	2.037259	-0.008611987	-0.17180063	1.3564423	0.006445596	0.065375	127.0	935.9674220085144	34.51293	5.994551	46.689934	22.27811	0.0	0.0
21	500.0	7.2703433	0.68296885	8.585486	3.6822588	352000	1.4901161e-08	1.3621224	-0.00800413	-0.23071587	1.3564423	0.0061815702	0.067875	127.0	986.7092995643616	35.94467	4.570769	45.364056	27.128386	0.0	0.0
