Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.05006903	0.01831168	0.12955548	-0.0017133504	16000	-2.2351742e-08	0.0010231824	-0.007789853	-0.00075545075	1.3564423	0.0060779443	0.0649375	127.0	52.473318099975586	0.114890546	0.06965873	0.31097794	0.020465389	0.0	0.0
1	500.0	0.030609531	0.014945554	0.09874855	-0.0073051937	32000	-5.5879354e-09	0.00046450167	-0.0074355286	-0.00019511301	1.3564423	0.008687088	0.080125004	127.0	103.70253610610962	0.14984247	0.0899037	0.36682725	0.028079843	0.0	0.0
2	500.0	0.03815606	0.011276549	0.090271726	-0.0059621967	48000	3.7252903e-09	0.00058008125	-0.009863313	-0.00028037746	1.3564423	0.009264785	0.1005	127.0	143.24634861946106	0.22723517	0.114571586	0.53904265	0.034332156	0.0	0.0
3	500.0	0.054942418	0.016709628	0.096810594	0.0062516555	64000	-1.4901161e-08	0.00071165926	-0.010773806	-0.00024418323	1.3564423	0.009055283	0.100999996	127.0	179.5035481452942	0.32842657	0.13703257	0.665715	0.08468909	0.0	0.0
4	500.0	0.09401459	0.021020748	0.14636219	0.025902033	80000	-3.7252903e-09	0.0037816355	-0.00927315	-0.0015179554	1.3564423	0.008281603	0.08543751	127.0	213.73348450660706	0.57242894	0.22534597	1.0423118	0.27194142	0.0	0.0
5	500.0	0.12553811	0.026385428	0.18893172	0.039479043	96000	1.8626451e-08	0.005544085	-0.008761631	-0.0018715642	1.3564423	0.006852863	0.078687504	127.0	249.12936902046204	0.8086192	0.30026665	1.6453137	0.39340508	0.0	0.0
6	500.0	0.18289043	0.040283546	0.3217384	0.032072987	112000	-2.0489097e-08	0.029130492	-0.00894776	-0.013753695	1.3564423	0.0072264876	0.085187495	127.0	304.3505017757416	1.3481331	0.67069376	3.012962	0.37963963	0.0	0.0
7	500.0	0.31454864	0.10665801	0.6914763	0.10016805	128000	-2.2351742e-08	0.06710476	-0.00868584	-0.03546176	1.3564423	0.006816454	0.087249994	127.0	342.47946548461914	1.9753729	0.90835494	4.139381	0.52987623	0.0	0.0
8	500.0	0.56055194	0.26599798	1.2721128	0.07340868	144000	2.2351742e-08	0.4634787	-0.0066357544	-0.2275268	1.3564423	0.0061343135	0.0728125	127.0	378.58858013153076	3.7052336	2.6553845	12.94057	0.45324492	0.0	0.0
9	500.0	1.0748833	0.5803739	2.581292	-0.0630009	160000	2.2351742e-08	0.4212165	-0.009356058	-0.14055043	1.3564423	0.008414524	0.099375	127.0	417.4978928565979	5.121172	2.4171016	10.369414	1.068365	0.0	0.0
10	500.0	1.6492199	0.9489811	3.6578476	-0.039459802	176000	-2.9802322e-08	5.133812	-0.0049278927	-1.5193976	1.3564423	0.0065725027	0.067875	127.0	461.83963441848755	10.714294	8.5071745	50.2488	2.8956623	0.0	0.0
11	500.0	3.0714135	1.474489	5.94834	0.05833236	192000	1.4901161e-08	1.8160406	-0.009050454	-0.59369534	1.3564423	0.0057696328	0.082499996	127.0	517.6413376331329	14.657629	5.4784455	26.272474	7.05505	0.0	0.0
12	500.0	3.7987354	1.8867997	7.128488	0.06127243	208000	2.2351742e-08	1.5300682	-0.007788956	-0.11458264	1.3564423	0.0056356043	0.0679375	127.0	565.7719423770905	14.978536	6.049234	29.049627	4.013892	0.0	0.0
13	500.0	4.3810115	1.9484631	7.483519	-0.043720327	224000	-3.7252903e-08	1.6988394	-0.009868816	-0.4281442	1.3564423	0.009089719	0.0796875	127.0	606.0770816802979	19.673664	5.658825	28.455713	8.547322	0.0	0.0
14	500.0	5.321179	2.2013774	8.094175	0.090276726	240000	3.7252903e-08	3.4024065	-0.008684981	-0.54746675	1.3564423	0.0069621047	0.068312496	127.0	664.4317786693573	18.775349	7.5894957	31.51205	7.27721	0.0	0.0
15	500.0	5.234419	1.7440621	7.4964094	0.7597683	256000	-2.6077032e-08	2.9995444	-0.008807896	-0.6948966	1.3564423	0.0070591834	0.073125	127.0	754.4555790424347	22.991604	7.41117	35.908405	10.794219	0.0	0.0
16	500.0	5.7028418	1.5394422	7.5961394	0.23494546	272000	-1.1175871e-08	3.0887918	-0.008267185	-0.4113333	1.3564423	0.007256946	0.0626875	127.0	861.6903636455536	24.258682	7.874403	38.336475	10.779581	0.0	0.0
