Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.044808593	0.021740334	0.122368515	-0.04105842	16000	-1.0244548e-08	0.0021857542	-0.0073952423	-0.0010094834	1.3564423	0.007909885	0.083749995	127.0	33.70305562019348	0.22682247	0.19207832	0.770371	0.02873446	0.0	0.0
1	500.0	0.05043447	0.017260691	0.1187757	0.0078407675	32000	-5.5879354e-09	0.0016317747	-0.0063081793	-0.0005190474	1.3564423	0.008315208	0.08125	127.0	66.90240430831909	0.27352375	0.20346408	0.9011183	0.03464706	0.0	0.0
2	500.0	0.061018318	0.02183063	0.14011495	0.008623373	48000	5.5879354e-09	0.004366091	-0.008924468	-0.0017844142	1.3564423	0.009017903	0.110062495	127.0	101.72985100746155	0.47200143	0.35840067	1.6863725	0.084313	0.0	0.0
3	500.0	0.124964766	0.044608306	0.27132282	0.0015390217	64000	7.450581e-09	0.009726279	-0.009383644	-0.004349986	1.3564423	0.008932073	0.0964375	127.0	135.73022294044495	0.8355144	0.51808494	2.6631107	0.21006253	0.0	0.0
4	500.0	0.28323486	0.08090574	0.6069922	0.062185917	80000	-7.450581e-09	0.055607595	-0.008389134	-0.026730925	1.3564423	0.008099928	0.0833125	127.0	169.56553268432617	1.8361483	1.0885804	4.966298	0.3695542	0.0	0.0
5	500.0	0.4453246	0.11390974	0.794617	0.048398145	96000	1.3969839e-08	0.070458665	-0.0107972305	-0.03225857	1.3564423	0.008599648	0.1079375	127.0	206.07269430160522	2.5181942	1.3829439	5.9417396	0.33730432	0.0	0.0
6	500.0	0.7833777	0.27319416	1.5528026	0.017702784	112000	5.2154064e-08	1.3579724	-0.007818106	-0.7220806	1.3564423	0.007092896	0.087312505	127.0	239.63509941101074	7.1004086	4.6602077	19.136711	1.767106	0.0	0.0
7	500.0	2.075502	0.7673405	4.3035192	-0.2907075	128000	0.0	4.2035995	-0.008347847	-1.662629	1.3564423	0.0064353435	0.082	127.0	280.4335596561432	14.065149	8.053541	38.38725	3.2423935	0.0	0.0
8	500.0	3.7809434	1.3398976	6.5688024	-0.50067836	144000	-2.2351742e-08	1.4052476	-0.010763383	-0.21082288	1.3564423	0.007344667	0.0958125	127.0	317.64007687568665	15.716813	4.255306	27.056055	6.457033	0.0	0.0
9	500.0	4.4301085	1.3478018	6.856981	0.22454855	160000	-7.450581e-09	1.3082987	-0.008584081	-0.27311864	1.3564423	0.0069522383	0.0730625	127.0	356.38025879859924	16.896656	3.5495799	22.761541	9.332045	0.0	0.0
10	500.0	4.5246377	1.2494947	6.389784	0.64988935	176000	7.450581e-09	2.9722438	-0.0074654794	-0.41775838	1.3564423	0.008602195	0.0771875	127.0	409.02142810821533	18.830133	6.327689	42.98159	11.953841	0.0	0.0
11	500.0	4.605973	0.82264066	6.0094104	1.0019933	192000	0.0	2.2672591	-0.007753456	-0.37796402	1.3564423	0.00481838	0.06475	127.0	448.2524793148041	21.78765	5.6429563	36.102768	11.742846	0.0	0.0
12	500.0	4.978182	0.62980837	5.9267845	2.0048447	208000	-7.450581e-09	8.472102	-0.0057833367	-1.7652701	1.3564423	0.004252776	0.048125	127.0	484.9147136211395	28.72078	12.2504225	86.888756	14.151031	0.0	0.0
13	500.0	6.2412863	0.6824264	7.116135	2.052005	224000	3.7252903e-08	24.143261	-0.005888566	-2.5328376	1.3564423	0.008119832	0.060000002	127.0	520.8973038196564	34.138855	23.44666	98.39118	17.05513	0.0	0.0
14	500.0	7.3396597	1.2792562	9.12058	0.6503619	240000	0.0	10.499921	-0.0081123095	-2.7406197	1.3564423	0.0073758382	0.0669375	127.0	568.6555995941162	25.399672	14.358635	91.783554	12.920557	0.0	0.0
15	500.0	6.6586866	1.227395	9.031847	2.1673214	256000	-7.450581e-09	13.755218	-0.0067840996	-0.7503108	1.3564423	0.005457617	0.055875003	127.0	620.6506247520447	29.031298	17.493395	86.644684	13.628862	0.0	0.0
16	500.0	6.6640983	1.1534263	9.141653	1.1896036	272000	-1.4901161e-08	11.130416	-0.008137306	-1.7971576	1.3564423	0.006082872	0.0754375	127.0	662.5742747783661	25.963154	14.861488	88.405716	14.302394	0.0	0.0
17	500.0	6.216202	0.91328305	8.669307	3.3603415	288000	0.0	9.421438	-0.007930368	-0.8639414	1.3564423	0.0077087493	0.078625	127.0	715.5049004554749	29.037167	15.53924	105.3314	13.42809	0.0	0.0
