Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.04904551	0.021786295	0.12798059	-0.037977874	16000	2.7939677e-09	0.0021930838	-0.007850958	-0.0010245543	1.3564423	0.008538751	0.089312494	127.0	40.517438650131226	0.22103232	0.18664214	0.7499391	0.028490974	0.0	0.0
1	500.0	0.05049411	0.016315155	0.11662671	0.010138035	32000	-1.1175871e-08	0.0016391556	-0.0063955644	-0.0005403634	1.3564423	0.008291626	0.081687495	127.0	74.2924132347107	0.2685544	0.19849001	0.87257093	0.034866575	0.0	0.0
2	500.0	0.058600556	0.020224955	0.13176328	0.011620522	48000	-7.450581e-09	0.0038037698	-0.008830941	-0.0015161796	1.3564423	0.009092683	0.1104375	127.0	108.79448938369751	0.4412647	0.333522	1.610636	0.085618	0.0	0.0
3	500.0	0.115389444	0.041687034	0.24756439	-0.00032975525	64000	-1.4901161e-08	0.008073224	-0.009469904	-0.0034035104	1.3564423	0.008888135	0.099	127.0	143.7305006980896	0.76844776	0.47334826	2.445189	0.19848292	0.0	0.0
4	500.0	0.25890642	0.070975915	0.5307517	0.06724238	80000	3.7252903e-08	0.05027655	-0.008349486	-0.024411675	1.3564423	0.008287427	0.086624995	127.0	177.67182993888855	1.7389965	1.0235051	4.576553	0.35509497	0.0	0.0
5	500.0	0.42177626	0.1043966	0.7333435	0.025542088	96000	5.3085387e-08	0.062953115	-0.010473769	-0.028394366	1.3564423	0.008468732	0.1046875	127.0	214.30082654953003	2.3966234	1.2795496	5.642999	0.3233102	0.0	0.0
6	500.0	0.72544837	0.25226274	1.4468185	0.053393975	112000	1.4901161e-08	1.4344984	-0.007039353	-0.7444267	1.3564423	0.0068167923	0.0834375	127.0	250.60104036331177	6.8296237	4.791946	18.75579	1.6748018	0.0	0.0
7	500.0	2.0533047	0.7768721	4.2239842	-0.20482484	128000	-4.4703484e-08	4.2273088	-0.007883558	-1.716994	1.3564423	0.006299058	0.082312495	127.0	297.2795672416687	14.0174675	8.248486	38.880917	3.239738	0.0	0.0
8	500.0	3.8557255	1.3852799	6.5108128	-0.49795228	144000	-1.4901161e-08	1.1446853	-0.010429496	-0.2459048	1.3564423	0.0070677106	0.08825	127.0	346.3817307949066	15.016275	3.782318	25.462795	5.748656	0.0	0.0
9	500.0	4.2838936	1.3156669	6.459067	0.32962036	160000	-1.4901161e-08	1.8392911	-0.0073849745	-0.21008544	1.3564423	0.006536185	0.0746875	127.0	393.97091579437256	16.801918	4.631878	32.6884	8.002032	0.0	0.0
