Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.05704137	0.018656667	0.13716331	0.0037982166	16000	3.7252903e-09	0.001292357	-0.007586725	-0.0010014956	1.3564423	0.0056039672	0.061625	127.0	48.19341039657593	0.11522697	0.06797776	0.30046973	0.020901667	0.0	0.0
1	500.0	0.032132186	0.016371446	0.10451007	-0.014344417	32000	-7.450581e-09	0.0004699932	-0.007798615	-0.0002032656	1.3564423	0.008339947	0.0818125	127.0	92.25225973129272	0.14590096	0.086899795	0.3381116	0.026633425	0.0	0.0
2	500.0	0.03844575	0.011372819	0.09199967	-0.005327303	48000	1.8626451e-08	0.000529628	-0.01011986	-0.00025081675	1.3564423	0.008919996	0.097875	127.0	132.5885787010193	0.214675	0.104623154	0.48274264	0.029944222	0.0	0.0
3	500.0	0.051694047	0.015166291	0.092489466	0.007007785	64000	1.4901161e-08	0.00074443716	-0.009704698	-0.00025124726	1.3564423	0.008816947	0.0913125	127.0	174.74532294273376	0.3064186	0.14004113	0.69957113	0.06701093	0.0	0.0
4	500.0	0.089268185	0.020312235	0.14671472	0.022604238	80000	-7.450581e-09	0.0032009273	-0.0094201015	-0.0012835028	1.3564423	0.008148452	0.087	127.0	214.26800441741943	0.5329994	0.2038056	1.023538	0.25160867	0.0	0.0
5	500.0	0.116472006	0.02362634	0.1762528	0.042866122	96000	-7.450581e-09	0.004038818	-0.009500562	-0.0013521613	1.3564423	0.006803069	0.089625	127.0	259.00601506233215	0.7363801	0.25035468	1.3544734	0.35026392	0.0	0.0
6	500.0	0.16532388	0.035437733	0.2981961	0.037389882	112000	0.0	0.033041906	-0.008760835	-0.013836632	1.3564423	0.007538684	0.0830625	127.0	300.80986285209656	1.317491	0.67714494	3.2345417	0.454443	0.0	0.0
7	500.0	0.3030396	0.09147622	0.663911	0.08994417	128000	-2.6077032e-08	0.06843033	-0.008296139	-0.03729403	1.3564423	0.0067519005	0.0843125	127.0	342.18311381340027	1.8823586	0.91044325	3.760568	0.4768634	0.0	0.0
8	500.0	0.5121511	0.26904947	1.2943927	0.08273956	144000	2.9802322e-08	0.41092366	-0.0067913993	-0.21094604	1.3564423	0.0060413834	0.073249996	127.0	385.8067467212677	3.411966	2.5116944	13.080237	0.3946289	0.0	0.0
9	500.0	1.0505192	0.62209445	2.6242595	-0.029914333	160000	2.9802322e-08	0.41466478	-0.009253493	-0.15194933	1.3564423	0.008831471	0.1059375	127.0	430.56926369667053	5.1990814	2.56208	11.646747	1.9020982	0.0	0.0
