Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.057905406	0.018164184	0.13729608	0.006798353	16000	3.306195e-08	0.0012869141	-0.0077195456	-0.0010112333	1.3564423	0.005938544	0.062562495	127.0	37.77724027633667	0.12153296	0.05773506	0.27995577	0.025633091	0.0	0.0
1	500.0	0.031484857	0.017357573	0.11130354	-0.014250094	32000	-3.7252903e-09	0.00045510754	-0.007435683	-0.00020429982	1.3564423	0.008167949	0.0828125	127.0	71.97712135314941	0.13604729	0.08317706	0.3319501	0.031927638	0.0	0.0
2	500.0	0.036959883	0.012417831	0.09871118	-0.007859033	48000	1.4901161e-08	0.0006372982	-0.009918995	-0.00026427727	1.3564423	0.009095227	0.101500005	127.0	106.08103823661804	0.1986399	0.116756134	0.62255824	0.020824315	0.0	0.0
3	500.0	0.048980255	0.013603424	0.09153211	0.010378517	64000	-1.1175871e-08	0.0007570013	-0.0085503375	-0.00029025332	1.3564423	0.0076490794	0.082812496	127.0	142.64226388931274	0.26845723	0.12380904	0.5475697	0.06118632	0.0	0.0
4	500.0	0.07908209	0.01596538	0.1352514	0.015986525	80000	7.450581e-09	0.0022179761	-0.00981744	-0.0011300207	1.3564423	0.007973271	0.088375	127.0	177.86363744735718	0.44847602	0.14187129	0.7779409	0.25346226	0.0	0.0
5	500.0	0.098955795	0.024059797	0.15076683	0.038331408	96000	-3.7252903e-09	0.002782636	-0.010259393	-0.0013425392	1.3564423	0.0078084725	0.0929375	127.0	214.8716938495636	0.6263148	0.24825943	1.1695598	0.2932573	0.0	0.0
6	500.0	0.14958103	0.042450592	0.28283808	0.04657661	112000	3.7252903e-09	0.008148526	-0.0090669785	-0.0023745927	1.3564423	0.0075507746	0.098875	127.0	254.8648464679718	0.87236977	0.45423964	2.5941317	0.3021992	0.0	0.0
7	500.0	0.24451886	0.08708541	0.4884463	0.04315526	128000	-3.7252903e-08	0.3216259	-0.004273747	-0.16789894	1.3564423	0.004883878	0.0363125	127.0	301.57121181488037	2.4290047	2.3596838	8.944534	0.4124865	0.0	0.0
8	500.0	0.50065356	0.34187347	1.6383108	-0.25034025	144000	-1.1175871e-08	0.796651	-0.005746721	-0.3349706	1.3564423	0.008591529	0.096750006	127.0	347.7424416542053	3.164254	4.439742	18.499035	0.46956107	0.0	0.0
9	500.0	1.1168733	1.0520664	4.1186466	-0.5592988	160000	-1.8626451e-09	0.73401284	-0.009229979	-0.16187207	1.3564423	0.00934105	0.10625	127.0	391.2440311908722	4.7489786	4.718346	15.517265	0.43569928	0.0	0.0
10	500.0	2.469202	1.5091543	5.1370544	-0.28885376	176000	-6.9849193e-09	0.86084926	-0.008677036	-0.25771147	1.3564423	0.0065849354	0.0795625	127.0	431.48410511016846	8.00346	4.4428024	16.101294	0.8803484	0.0	0.0
11	500.0	2.8542411	1.3262726	5.097014	-0.056957275	192000	1.4901161e-08	1.1576974	-0.008056197	-0.16909444	1.3564423	0.00679774	0.079500005	127.0	468.24719882011414	11.017632	4.8973355	27.84062	0.6470029	0.0	0.0
12	500.0	3.5338213	1.330767	5.887279	-0.14623533	208000	1.4901161e-08	6.9761333	-0.006439403	-0.47489405	1.3564423	0.0063706785	0.0791875	127.0	505.5727369785309	15.460773	12.788613	82.3645	1.4024829	0.0	0.0
13	500.0	3.9702778	1.4289434	6.223804	-0.9209354	224000	-2.9802322e-08	12.152559	-0.005586172	-1.604171	1.3564423	0.008007986	0.0749375	127.0	544.4248988628387	19.945154	16.48281	88.64345	1.0806799	0.0	0.0
14	500.0	5.0329533	1.8067204	8.091083	-1.0965137	240000	-2.9802322e-08	7.5453973	-0.008086277	-0.89887196	1.3564423	0.0087745	0.0806875	127.0	587.6724753379822	18.17358	12.302262	77.48027	4.7032037	0.0	0.0
15	500.0	4.8481154	1.3729179	6.7979946	-0.3505504	256000	1.4901161e-08	5.4218874	-0.0058120354	-0.28678894	1.3564423	0.0062559885	0.0678125	127.0	633.4504375457764	19.714756	10.67062	72.01759	8.850687	0.0	0.0
16	500.0	4.815957	1.1866903	7.224523	0.012093931	272000	-2.0489097e-08	2.022394	-0.007859839	-0.3371675	1.3564423	0.005960801	0.06793749	127.0	678.6946325302124	20.927422	7.024712	34.34325	1.4598998	0.0	0.0
17	500.0	4.9837627	1.2229205	7.139294	-0.8804433	288000	0.0	5.2039824	-0.008012081	-0.5243748	1.3564423	0.00757721	0.0715625	127.0	718.19446849823	23.011826	10.895014	74.25261	12.987938	0.0	0.0
