Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.046382453	0.021983718	0.12436783	-0.040168967	16000	-1.6763806e-08	0.0055896873	-0.006423402	-0.0023152744	1.3564423	0.0076921424	0.0729375	127.0	42.121039390563965	0.34302032	0.3460109	1.349795	0.026982693	0.0	0.0
1	500.0	0.06624029	0.029153747	0.14682059	-0.014258673	32000	5.5879354e-09	0.004265788	-0.00631277	-0.0010812514	1.3564423	0.008958286	0.0904375	127.0	78.16264915466309	0.41798472	0.37522715	1.6170324	0.031276103	0.0	0.0
2	500.0	0.08924231	0.04115835	0.23997809	-0.006559277	48000	-2.0489097e-08	0.011800388	-0.008769261	-0.004781888	1.3564423	0.009032309	0.11125	127.0	114.26617503166199	0.71492934	0.6505849	3.054218	0.120197415	0.0	0.0
3	500.0	0.1883109	0.08202598	0.40789497	-0.023045626	64000	-2.2351742e-08	0.027134754	-0.009087952	-0.013806954	1.3564423	0.0091705285	0.099875	127.0	149.429869890213	1.2916152	0.95882946	4.101775	0.21851423	0.0	0.0
4	500.0	0.47529057	0.16741398	1.125846	0.008964956	80000	4.8428774e-08	0.1634565	-0.008140727	-0.072888605	1.3564423	0.007834908	0.0828125	127.0	186.08929085731506	2.8962476	2.0808952	8.651782	0.45504537	0.0	0.0
5	500.0	0.68781024	0.23565438	1.4080628	0.034722872	96000	2.9802322e-08	0.18253914	-0.010924205	-0.07696624	1.3564423	0.008532459	0.115125	127.0	224.8114194869995	3.935967	2.4210193	10.887119	0.38703033	0.0	0.0
6	500.0	1.2180245	0.5070494	2.652811	-0.19997633	112000	4.4703484e-08	2.6631856	-0.0077230553	-1.2848523	1.3564423	0.0071927384	0.09199999	127.0	263.6757445335388	9.920037	7.2537036	30.411339	2.4715593	0.0	0.0
7	500.0	2.9532063	1.1749907	5.7270412	-0.93914884	128000	-3.3527613e-08	4.339828	-0.009652242	-1.8733027	1.3564423	0.0067925127	0.092125	127.0	300.56127285957336	18.564316	9.076909	34.377502	3.7753162	0.0	0.0
8	500.0	4.972722	1.6995932	8.002727	-1.3170329	144000	3.7252903e-09	2.927996	-0.009939383	-0.4504974	1.3564423	0.006710763	0.080249995	127.0	338.3836886882782	22.036894	6.626444	35.543404	6.8226476	0.0	0.0
9	500.0	5.8021007	1.6724689	8.303828	-0.3169528	160000	0.0	2.4653087	-0.008428937	-0.301246	1.3564423	0.005565458	0.059875	127.0	372.95333099365234	24.700716	5.5365214	34.953236	12.889061	0.0	0.0
10	500.0	6.369257	1.5984547	8.390346	0.3053437	176000	-7.450581e-09	3.9045844	-0.008077741	-0.8525757	1.3564423	0.007147633	0.0620625	127.0	412.42497086524963	23.891834	6.1493073	35.842426	13.81485	0.0	0.0
11	500.0	5.7557306	1.0613284	7.2588034	1.3736436	192000	-7.450581e-09	5.1194115	-0.008599893	-1.239528	1.3564423	0.0056163794	0.0618125	127.0	448.5325424671173	30.26532	7.2206483	47.08737	16.932491	0.0	0.0
12	500.0	6.6583915	0.9110778	7.8385777	1.6911993	208000	-1.4901161e-08	3.884563	-0.008770433	-0.5990632	1.3564423	0.006252518	0.066562496	127.0	484.465749502182	32.064133	7.0509706	49.422718	19.557108	0.0	0.0
13	500.0	7.2460017	0.8917999	8.228915	1.5170093	224000	-1.8626451e-08	6.647064	-0.0066122953	-0.9210141	1.3564423	0.0061698686	0.046937503	127.0	521.3682942390442	33.7694	10.182742	77.28883	21.432459	0.0	0.0
14	500.0	7.475614	1.3393692	9.204067	-0.28300962	240000	-2.2351742e-08	4.257654	-0.008914156	-0.4299817	1.3564423	0.0072786	0.060875	127.0	564.0227885246277	34.68885	8.782352	51.25806	16.69324	0.0	0.0
15	500.0	7.820711	1.05685	9.289978	2.6353507	256000	0.0	11.83482	-0.006656592	-0.9967036	1.3564423	0.0061847423	0.055625003	127.0	602.4291424751282	39.33404	14.653664	89.78599	22.383314	0.0	0.0
16	500.0	8.337945	1.403972	10.332696	2.875528	272000	1.1175871e-08	9.406848	-0.009124266	-2.364624	1.3564423	0.0051348396	0.073625	127.0	640.1239385604858	32.923462	11.855525	75.299774	17.40022	0.0	0.0
17	500.0	7.6360936	0.8210011	9.073029	3.0591586	288000	2.2351742e-08	8.426777	-0.007680653	-0.94262195	1.3564423	0.006441922	0.0646875	127.0	677.8254837989807	38.441948	13.194655	89.187	23.479523	0.0	0.0
18	500.0	7.7541685	1.4619439	9.662165	1.1037827	304000	1.4901161e-08	3.3129182	-0.009336265	-0.48190558	1.3564423	0.006441623	0.074875	127.0	718.4368851184845	36.467903	7.889717	51.843834	25.096743	0.0	0.0
19	500.0	7.900413	1.2156647	10.102965	2.3233695	320000	1.4901161e-08	12.854916	-0.0061206277	-1.503948	1.3564423	0.0059613744	0.064624995	127.0	752.6812055110931	39.479965	16.90186	112.94926	24.346148	0.0	0.0
20	500.0	9.152677	1.438111	11.475755	3.448219	336000	-1.8626451e-09	19.00267	-0.0076659	-4.303151	1.3564423	0.007406123	0.0814375	127.0	796.3738558292389	51.133835	17.719238	106.72806	22.699562	0.0	0.0
21	500.0	11.174879	1.3007256	12.807421	4.9332066	352000	-1.4901161e-08	7.3295965	-0.008643396	-0.6506908	1.3564423	0.0062573925	0.0795	127.0	832.8774220943451	48.27613	12.896949	105.2469	28.238981	0.0	0.0
22	500.0	11.128535	1.6947503	13.195288	3.721825	368000	-7.450581e-09	9.4988575	-0.0080008395	-1.135549	1.3564423	0.006024586	0.0649375	127.0	868.9568092823029	49.001972	13.176601	88.8423	24.899698	0.0	0.0
23	500.0	11.095633	1.7643484	13.458846	2.533879	384000	1.4901161e-08	10.799585	-0.007723595	-1.811882	1.3564423	0.0075932113	0.0650625	127.0	906.8743121623993	51.989548	14.745108	100.94532	28.230461	0.0	0.0
24	500.0	11.343699	1.7149364	14.296846	4.9747205	400000	-2.2351742e-08	19.97485	-0.0065384246	-5.19512	1.3564423	0.0044618547	0.0534375	127.0	946.771785736084	50.643463	21.932312	106.42669	21.465878	0.0	0.0
25	500.0	11.296334	2.5899467	15.896095	2.4348044	416000	0.0	15.782719	-0.00899208	-3.0333173	1.3564423	0.007325373	0.071125	127.0	992.0517754554749	53.494984	20.795687	117.31187	22.34582	0.0	0.0
26	500.0	11.864458	2.8194592	16.6657	-3.9403393	432000	0.0	17.20194	-0.008734263	-3.6334493	1.3564423	0.0057241046	0.0695	127.0	1043.6912751197815	50.535336	20.416725	97.4839	23.695126	0.0	0.0
27	500.0	12.596824	2.8916993	17.569324	0.15169561	448000	-7.450581e-09	15.290089	-0.008704061	-2.3922	1.3564423	0.0071626725	0.078687504	127.0	1085.424217224121	53.575127	17.770056	101.7084	28.54233	0.0	0.0
28	500.0	11.036535	3.1064627	16.752419	1.0148038	464000	-3.7252903e-09	11.065672	-0.0100488	-3.4847853	1.3564423	0.008061275	0.0855625	127.0	1146.7215025424957	45.981373	16.262318	101.53453	22.362152	0.0	0.0
