Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.05198518	0.018362029	0.13146536	0.00013462082	16000	-3.1664968e-08	0.0010948577	-0.007707111	-0.00082048436	1.3564423	0.005950579	0.064375	127.0	42.46734857559204	0.11534238	0.06941841	0.30721152	0.020604085	0.0	0.0
1	500.0	0.03025924	0.015394572	0.10005439	-0.011576176	32000	9.313226e-09	0.00046388214	-0.007592244	-0.00018826046	1.3564423	0.00846985	0.0808125	127.0	77.89595746994019	0.14760341	0.08990327	0.3594441	0.027298134	0.0	0.0
2	500.0	0.037329823	0.011302184	0.08847719	-0.004692558	48000	-1.4901161e-08	0.0005537317	-0.01017217	-0.00026662275	1.3564423	0.008761576	0.097125	127.0	125.10630321502686	0.22489396	0.11149275	0.5120914	0.03227074	0.0	0.0
3	500.0	0.053537425	0.015935237	0.092524454	0.0060486384	64000	-2.2351742e-08	0.0007175192	-0.010196393	-0.00024516866	1.3564423	0.008891875	0.096875	127.0	161.7517008781433	0.31939614	0.1387823	0.69761825	0.077333726	0.0	0.0
4	500.0	0.092600085	0.021345653	0.15079108	0.023756169	80000	3.7252903e-09	0.0035767276	-0.009413343	-0.001402885	1.3564423	0.008415164	0.08675	127.0	202.8504319190979	0.5549341	0.22144473	1.1135411	0.2691882	0.0	0.0
5	500.0	0.12154109	0.025183687	0.18267462	0.03726057	96000	-2.2351742e-08	0.0045078965	-0.009421075	-0.0014998666	1.3564423	0.006776016	0.087437496	127.0	242.83551263809204	0.76692337	0.26614526	1.43488	0.385898	0.0	0.0
6	500.0	0.17272162	0.035982694	0.29439145	0.0433071	112000	-2.2351742e-08	0.023078628	-0.009547235	-0.010559995	1.3564423	0.007441001	0.0886875	127.0	282.55081963539124	1.2635355	0.5964475	2.7041187	0.3962709	0.0	0.0
7	500.0	0.29151955	0.08730707	0.62457246	0.08236587	128000	7.450581e-09	0.03638766	-0.009138457	-0.01832505	1.3564423	0.0067411447	0.084875	127.0	326.7573218345642	1.7085164	0.681704	2.9242682	0.55095243	0.0	0.0
8	500.0	0.47528374	0.20610774	1.1071742	0.090250775	144000	-1.8626451e-08	0.3735779	-0.0063965274	-0.19273923	1.3564423	0.0059370473	0.0643125	127.0	369.4752285480499	3.3998165	2.301342	11.384074	0.3969335	0.0	0.0
9	500.0	0.89814085	0.463252	2.1835635	-0.036179878	160000	-1.4901161e-08	0.33675283	-0.009107412	-0.11223966	1.3564423	0.008170074	0.1004375	127.0	414.7922987937927	4.51334	2.3263624	10.4522915	1.3441386	0.0	0.0
10	500.0	1.5055026	0.8599512	3.3230424	0.028850242	176000	1.6763806e-08	2.4026866	-0.0073106815	-1.3449904	1.3564423	0.0069157304	0.073	127.0	474.5023763179779	10.419256	5.014115	23.413752	1.5055014	0.0	0.0
11	500.0	2.8471072	1.3147174	5.188655	0.018928219	192000	2.2351742e-08	1.9069905	-0.0076523535	-0.6495806	1.3564423	0.0049278904	0.0694375	127.0	526.8375351428986	13.81469	5.4332623	26.331068	2.9904954	0.0	0.0
12	500.0	3.5786247	1.8207009	6.830366	0.060924336	208000	-2.2351742e-08	1.5931484	-0.007423938	-0.22948427	1.3564423	0.005614439	0.0706875	127.0	594.0940957069397	14.752251	6.762777	28.48696	3.793175	0.0	0.0
13	500.0	4.3028855	1.9715416	7.365561	0.019616432	224000	1.5832484e-08	1.965476	-0.008928737	-0.23495364	1.3564423	0.008681373	0.078062505	127.0	642.2703373432159	18.110006	5.793226	36.1174	6.8622575	0.0	0.0
14	500.0	4.9906244	2.11454	7.8745627	0.105366476	240000	-7.450581e-09	2.9443476	-0.00929861	-0.52222514	1.3564423	0.0071144844	0.0763125	127.0	681.8128745555878	17.037022	7.4153843	30.47929	4.3250527	0.0	0.0
15	500.0	4.843546	1.6541665	7.026424	0.6758583	256000	-1.8626451e-09	2.8103888	-0.007999556	-0.61919767	1.3564423	0.0075664595	0.0679375	127.0	736.4944987297058	22.201323	7.0790844	34.782078	12.679732	0.0	0.0
16	500.0	5.440236	1.5334525	7.5346646	0.91370016	272000	-1.1175871e-08	2.946367	-0.007610565	-0.4432617	1.3564423	0.007199027	0.0621875	127.0	803.0302336215973	24.605751	8.004115	39.987938	11.046834	0.0	0.0
17	500.0	5.967198	1.7237872	8.244471	-0.18486951	288000	0.0	2.7842202	-0.0079602655	-0.36817658	1.3564423	0.0062851887	0.058312498	127.0	864.0726799964905	24.246494	7.6103683	39.593014	12.229724	0.0	0.0
18	500.0	6.170195	1.5328274	8.296234	0.75803274	304000	3.7252903e-09	3.022676	-0.0068765813	-0.17855301	1.3564423	0.005400273	0.0475	127.0	919.8303532600403	25.806425	8.328172	38.689186	12.224671	0.0	0.0
19	500.0	5.95082	1.654308	9.1082325	0.18738961	320000	0.0	2.6509428	-0.0076644556	-0.47071767	1.3564423	0.0053636036	0.055687502	127.0	958.3817262649536	25.115032	8.419945	38.518875	11.41526	0.0	0.0
20	500.0	6.2994294	1.6061904	8.957197	1.3798739	336000	-1.1175871e-08	2.5477672	-0.009397288	-0.40177774	1.3564423	0.007958969	0.0791875	127.0	998.1604526042938	29.10175	7.3469696	40.246147	16.721605	0.0	0.0
21	500.0	6.700257	1.8308983	9.312437	-1.2559243	352000	-1.4901161e-08	2.3223403	-0.007979911	-0.28934807	1.3564423	0.0058801793	0.062250003	127.0	1041.388753414154	29.616714	8.487317	42.200916	14.239861	0.0	0.0
22	500.0	6.712469	2.1219993	10.040048	-1.4836826	368000	-1.4901161e-08	3.1011803	-0.008018717	-1.076339	1.3564423	0.0063773785	0.0555	127.0	1088.48157787323	25.292503	7.6461434	39.757244	13.633934	0.0	0.0
23	500.0	6.140287	1.9584343	9.28558	-2.0625024	384000	-2.4214387e-08	2.6760583	-0.0086320415	-0.48142666	1.3564423	0.005698718	0.066	127.0	1137.35076379776	28.364355	7.1327543	42.195778	11.584491	0.0	0.0
24	500.0	6.666271	1.5800439	9.213972	1.5821767	400000	-7.450581e-09	2.0451326	-0.008531965	-0.19744194	1.3564423	0.006922872	0.067999996	127.0	1184.683521747589	29.831104	7.266548	39.474094	14.773228	0.0	0.0
25	500.0	6.4594617	1.7518559	9.240464	1.9578575	416000	2.6077032e-08	1.8392022	-0.009188409	-0.25310102	1.3564423	0.0066582155	0.068749994	127.0	1225.6296894550323	27.310802	7.3934402	40.633938	14.046164	0.0	0.0
26	500.0	6.6577687	1.6976963	9.182738	1.5940129	432000	0.0	1.8668764	-0.008593177	-0.65398765	1.3564423	0.008494248	0.0613125	127.0	1275.1282243728638	31.217136	6.394032	39.538136	13.534819	0.0	0.0
27	500.0	7.4058976	1.6135312	9.79629	2.3409636	448000	-1.8626451e-09	1.6523651	-0.007896071	-0.42833465	1.3564423	0.005386224	0.059750002	127.0	1319.040361881256	33.55921	5.9402037	42.544987	15.036384	0.0	0.0
28	500.0	7.6861053	1.874828	9.96309	2.5065591	464000	5.5879354e-09	1.0452029	-0.007667076	-0.17946966	1.3564423	0.007496168	0.0565625	127.0	1366.8044447898865	34.6658	6.5486937	42.34843	18.668982	0.0	0.0
29	500.0	7.4656553	2.0810986	10.203944	1.3537157	480000	1.3038516e-08	1.1162165	-0.010465166	-0.22152439	1.3564423	0.0072198985	0.07225	127.0	1432.9283602237701	32.797478	5.7537217	40.449093	20.384377	0.0	0.0
30	500.0	7.2548175	1.8319385	9.918801	2.7567415	496000	2.0489097e-08	1.0242898	-0.009961205	-0.16692185	1.3564423	0.008054768	0.076375	127.0	1485.1397323608398	31.413668	5.809067	39.146767	17.03042	0.0	0.0
31	500.0	7.3614817	1.691089	9.765345	2.5701761	512000	-1.1175871e-08	1.3001492	-0.009443685	-0.1883477	1.3564423	0.0072673466	0.0735625	127.0	1527.2497098445892	32.354	6.4115305	40.63934	17.736439	0.0	0.0
32	500.0	7.7224264	1.806245	9.943997	2.4987206	528000	2.7939677e-08	1.1976017	-0.009714009	-0.23454359	1.3564423	0.0056869444	0.0763125	127.0	1565.365648508072	35.551872	5.717528	43.529285	19.974707	0.0	0.0
33	500.0	8.058875	1.8273001	10.402288	2.9729292	544000	2.9802322e-08	2.564874	-0.009200869	-0.8510746	1.3564423	0.006639612	0.0715	127.0	1609.820511341095	33.66986	8.024044	48.021545	12.773037	0.0	0.0
34	500.0	7.746404	1.746089	10.15489	2.840971	560000	7.450581e-09	1.141197	-0.008823091	-0.20789926	1.3564423	0.0072582494	0.0700625	127.0	1648.6933989524841	34.1278	6.295349	41.94889	19.948755	0.0	0.0
35	500.0	8.113064	1.8629467	10.479728	2.9173365	576000	7.450581e-09	1.2161946	-0.008713496	-0.20350516	1.3564423	0.006672924	0.066874996	127.0	1691.2375535964966	35.597076	6.8760514	42.720486	11.436148	0.0	0.0
36	500.0	8.077816	1.7297659	10.263687	2.956996	592000	-1.4901161e-08	0.9297029	-0.009516874	-0.11733759	1.3564423	0.0069774548	0.080249995	127.0	1732.8053665161133	35.04936	5.795947	44.8827	16.904482	0.0	0.0
37	500.0	8.300278	1.8204833	10.220008	2.4730127	608000	4.656613e-09	1.0769101	-0.0082570445	-0.17447686	1.3564423	0.007333901	0.06125	127.0	1775.0400710105896	37.178085	5.3036156	46.55523	18.722107	0.0	0.0
38	500.0	8.316449	1.7162591	10.440398	3.1218226	624000	-7.450581e-09	0.84201956	-0.007854184	-0.16448274	1.3564423	0.0054329354	0.0596875	127.0	1816.3162479400635	36.011375	5.4750805	42.812874	20.296291	0.0	0.0
39	500.0	8.485149	1.7406812	10.163672	2.8456197	640000	-5.5879354e-09	0.6258303	-0.007986175	-0.102561705	1.3564423	0.0056918385	0.0663125	127.0	1866.338297843933	37.931877	3.283498	42.97662	26.732582	0.0	0.0
40	500.0	8.64173	1.6155194	10.425294	3.4322581	656000	1.3038516e-08	0.91531754	-0.007533189	-0.09973507	1.3564423	0.0067638075	0.0658125	127.0	1916.1211712360382	38.03276	4.3891435	49.846424	20.67766	0.0	0.0
41	500.0	8.725107	1.7590345	10.436946	2.9067676	672000	-9.313226e-09	0.7119422	-0.008766361	-0.058176346	1.3564423	0.006906662	0.0849375	127.0	1963.4220478534698	38.230743	4.5120635	43.55253	21.599546	0.0	0.0
42	500.0	8.852414	1.7505039	10.541365	2.9960337	688000	-7.450581e-09	0.545168	-0.0095375115	-0.0765329	1.3564423	0.0070063956	0.08125	127.0	2007.5710549354553	38.348087	4.7518888	42.649456	20.039005	0.0	0.0
43	500.0	8.641178	1.7944472	10.563225	2.959927	704000	-1.8626451e-09	1.0544322	-0.008907614	-0.33490038	1.3564423	0.0073885033	0.078125	127.0	2053.7986636161804	38.412193	4.4459314	51.15531	28.41442	0.0	0.0
44	500.0	8.937346	1.6704779	10.586198	3.0072112	720000	7.450581e-09	0.57053304	-0.009656897	-0.12193248	1.3564423	0.0052972357	0.06125	127.0	2097.569155216217	40.15334	3.177258	49.060863	29.447481	0.0	0.0
45	500.0	9.069812	1.7158936	10.921679	3.3915722	736000	5.5879354e-09	0.5050329	-0.007804753	-0.07361023	1.3564423	0.007454179	0.070999995	127.0	2137.821295976639	38.796448	4.660471	44.366188	18.723492	0.0	0.0
46	500.0	8.9603	1.7958955	10.571155	2.7359536	752000	7.450581e-09	0.35793304	-0.009853029	-0.042094953	1.3564423	0.008655312	0.080249995	127.0	2184.31338596344	39.488136	2.9635556	44.336323	30.271978	0.0	0.0
47	500.0	9.035113	1.600226	10.744695	3.2296438	768000	2.2351742e-08	2.451169	-0.007901702	-0.4362049	1.3564423	0.006120343	0.06325	127.0	2227.907712697983	41.577003	6.4781575	74.31208	36.32786	0.0	0.0
48	500.0	9.357858	1.6749722	10.899113	3.210513	784000	5.5879354e-09	0.70045555	-0.0102074975	-0.19164547	1.3564423	0.0070214504	0.0808125	127.0	2273.646998643875	39.78009	3.0966487	49.70631	31.61318	0.0	0.0
49	500.0	9.200203	1.7523857	10.754301	3.168236	800000	0.0	1.4575856	-0.008102253	-0.0799218	1.3564423	0.008464756	0.0945	127.0	2329.823846101761	40.96785	4.1234713	57.90605	33.648945	0.0	0.0
50	500.0	9.321438	1.6570175	10.920879	3.5643284	816000	1.4901161e-08	0.6460998	-0.009592982	-0.061157785	1.3564423	0.00576105	0.072125	127.0	2382.7016909122467	40.246655	3.2202652	50.375603	29.914125	0.0	0.0
51	500.0	9.2184925	1.6183796	10.695421	3.4835522	832000	6.519258e-09	0.21836182	-0.008385096	-0.010916645	1.3564423	0.0047543496	0.066437505	127.0	2447.9078743457794	40.28522	1.5748962	43.227993	37.12555	0.0	0.0
52	500.0	9.186038	1.5886097	11.019262	3.3154914	848000	0.0	1.4564533	-0.008300929	-0.14472094	1.3564423	0.006793388	0.081375	127.0	2493.771590232849	40.916466	5.1540504	61.0429	26.765734	0.0	0.0
53	500.0	9.372786	1.6599333	11.311431	3.0624788	864000	3.7252903e-09	1.0669329	-0.009234089	-0.15141591	1.3564423	0.007929694	0.0798125	127.0	2542.5597953796387	41.593014	3.3828328	53.107487	35.486706	0.0	0.0
54	500.0	9.50118	1.7435752	11.371336	3.5047295	880000	-2.2351742e-08	0.39001912	-0.009183435	-0.13338071	1.3564423	0.007491113	0.0725625	127.0	2602.284497976303	40.050396	2.4317517	44.45958	34.57842	0.0	0.0
55	500.0	9.248097	1.5877682	10.82071	3.4474373	896000	3.7252903e-09	0.75032824	-0.009604736	-0.065099634	1.3564423	0.008225584	0.081375	127.0	2653.7277250289917	41.40191	3.3296058	55.490158	36.03452	0.0	0.0
56	500.0	9.442286	1.628267	11.348188	3.6339834	912000	1.8626451e-09	1.274704	-0.007889081	-0.118064195	1.3564423	0.0070084995	0.076875	127.0	2705.916900396347	41.22321	5.025689	62.49237	30.295778	0.0	0.0
57	500.0	9.16063	1.7064749	11.544802	3.3143086	928000	-7.450581e-09	1.1726725	-0.0086179115	-0.329	1.3564423	0.0042218585	0.070062496	127.0	2761.5058765411377	39.29549	5.321608	51.728657	23.480005	0.0	0.0
58	500.0	9.282418	1.8236061	10.855287	2.235641	944000	7.450581e-09	2.041676	-0.008568426	-0.35179996	1.3564423	0.006034204	0.069874994	127.0	2819.8797519207	42.140083	6.1446757	58.69418	26.944485	0.0	0.0
59	500.0	9.64926	1.7560889	12.098375	3.3307433	960000	3.7252903e-09	2.2056806	-0.008361215	-0.2600677	1.3564423	0.009121275	0.090875	127.0	2875.3883430957794	41.60408	6.9498153	64.66921	25.311253	0.0	0.0
60	500.0	9.758086	1.9298338	12.004252	2.7090743	976000	-1.1175871e-08	2.9849396	-0.0071380194	-0.11350087	1.3564423	0.006565227	0.056374997	127.0	2915.559356212616	42.99067	7.511695	72.2695	28.930243	0.0	0.0
61	500.0	9.877559	1.9983902	12.585795	2.659039	992000	-7.450581e-09	1.8911297	-0.008723354	-0.23182786	1.3564423	0.007593042	0.0710625	127.0	2955.280277490616	42.801186	5.0930147	58.74753	30.234028	0.0	0.0
62	500.0	9.858144	1.8795851	12.363256	3.7597942	1008000	0.0	6.508678	-0.007549062	-0.76670694	1.3564423	0.0060317777	0.083124995	127.0	2998.766789674759	45.35813	10.728706	92.6149	33.8619	0.0	0.0
63	500.0	10.358201	2.0742705	13.212086	3.226493	1024000	3.7252903e-09	2.662396	-0.009219376	-0.38583142	1.3564423	0.0066342605	0.0899375	127.0	3041.2872643470764	43.5306	5.4701357	64.95504	38.020874	0.0	0.0
64	500.0	10.027933	2.020877	13.085432	3.8126879	1040000	7.450581e-09	2.3098104	-0.008157712	-0.5628921	1.3564423	0.008599779	0.0740625	127.0	3085.5011854171753	40.72797	6.224247	60.01205	27.194738	0.0	0.0
65	500.0	9.620981	1.8669711	12.3935175	3.5531926	1056000	7.450581e-09	4.544608	-0.0078303935	-0.36211222	1.3564423	0.00834568	0.08775	127.0	3124.0668585300446	44.286762	8.96582	78.99064	28.723269	0.0	0.0
66	500.0	10.158753	1.9504107	13.05058	3.9385257	1072000	-3.7252903e-09	2.406591	-0.008208899	-0.08314384	1.3564423	0.006953283	0.08425	127.0	3163.1973509788513	44.401512	6.3478403	60.243965	35.130375	0.0	0.0
67	500.0	10.0449	2.2523894	13.336099	2.854372	1088000	9.313226e-09	2.2353113	-0.007803497	-0.82921207	1.3564423	0.0066720424	0.06856249	127.0	3204.6432478427887	40.40506	7.8287883	59.697075	5.25743	0.0	0.0
68	500.0	9.586746	1.9927185	12.830127	3.5409284	1104000	-1.8626451e-08	2.0480514	-0.008251566	-0.1424968	1.3564423	0.007282121	0.078375	127.0	3245.7791953086853	41.24719	5.6548376	65.062775	33.831825	0.0	0.0
69	500.0	9.691297	1.9015849	12.270949	3.1056156	1120000	7.450581e-09	2.0920484	-0.009127977	-0.1950977	1.3564423	0.008638119	0.093062505	127.0	3284.648945093155	43.356506	6.1824374	59.40342	34.12052	0.0	0.0
70	500.0	9.851121	2.1014721	12.074413	3.499064	1136000	7.450581e-09	9.130051	-0.00841628	-2.097122	1.3564423	0.009669287	0.082375005	127.0	3327.6317994594574	47.530487	13.838388	87.3373	13.592378	0.0	0.0
71	500.0	11.068406	2.5137515	14.150777	3.446091	1152000	1.1175871e-08	4.561706	-0.0077356948	-0.33663803	1.3564423	0.0064180735	0.07125	127.0	3369.416039466858	46.09124	8.287484	68.4586	30.230362	0.0	0.0
72	500.0	11.028721	2.4426851	13.985481	3.7041247	1168000	1.8626451e-08	4.771261	-0.009303791	-0.38922763	1.3564423	0.0074785766	0.078875	127.0	3418.71959400177	48.091606	9.2440195	82.573654	25.10831	0.0	0.0
