Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.26416948	0.019564744	0.34036058	0.21038172	16000	1.13621354e-07	0.040049262	-0.008928223	-0.037963472	1.3564423	0.0074504316	0.0823125	127.0	48.62187314033508	0.14596853	0.09940105	0.50823057	0.052340116	0.0	0.0
1	500.0	0.08243265	0.03823644	0.20542885	0.011454746	32000	2.2584572e-08	0.0026227927	-0.006950468	-0.0011000556	1.3564423	0.0064302776	0.057375	127.0	87.11402940750122	0.21249378	0.2281666	1.3063905	0.033375353	0.0	0.0
2	500.0	0.0865231	0.032013804	0.17469598	0.021744769	48000	0.0	0.005330608	-0.0070047267	-0.0017854304	1.3564423	0.0054818364	0.0659375	127.0	119.17416024208069	0.5002428	0.32424766	1.4581336	0.09810245	0.0	0.0
3	500.0	0.11202031	0.020117398	0.1668432	0.057558008	64000	7.450581e-09	0.009672512	-0.0057595475	-0.0030854056	1.3564423	0.0068839723	0.0611875	127.0	151.3913915157318	0.60753524	0.50281215	1.8740022	0.04480117	0.0	0.0
4	500.0	0.16269846	0.044454146	0.2744651	0.04750753	80000	2.9802322e-08	0.043407865	-0.0062731695	-0.017338544	1.3564423	0.00557476	0.0518125	127.0	183.31049180030823	1.1402712	0.90620357	3.856481	0.14887238	0.0	0.0
5	500.0	0.28415206	0.083037324	0.4892991	0.066335335	96000	0.0	0.2547058	-0.005450379	-0.121704966	1.3564423	0.008014123	0.067625	127.0	222.76192259788513	2.0701468	2.2430782	8.73701	0.23484738	0.0	0.0
6	500.0	0.65083176	0.35972652	1.7170907	-0.24756354	112000	-7.450581e-09	0.58921707	-0.007176839	-0.2594752	1.3564423	0.0064971484	0.097625	127.0	259.67754077911377	3.9581313	3.6154623	16.6256	0.33902577	0.0	0.0
7	500.0	1.559793	0.7784316	3.6215353	-0.462055	128000	-1.4901161e-08	1.1112989	-0.007816536	-0.38391966	1.3564423	0.0065511093	0.088	127.0	296.781049489975	6.140172	4.5491095	21.38339	0.48198995	0.0	0.0
8	500.0	1.9717423	1.0525423	3.9795547	-0.7672187	144000	2.9802322e-08	2.5372581	-0.00844294	-1.0368627	1.3564423	0.008379944	0.111375	127.0	329.459552526474	10.360929	7.2754555	23.55413	0.34958172	0.0	0.0
9	500.0	3.6126323	1.924848	7.125711	-1.7049484	160000	-1.8626451e-08	2.593961	-0.010804873	-0.41448525	1.3564423	0.008704253	0.0985	127.0	366.7519347667694	14.931208	7.429238	31.981087	0.9119602	0.0	0.0
10	500.0	5.0400987	2.4727106	8.629452	-1.9738908	176000	-3.7252903e-09	4.504355	-0.0069458014	-1.0672935	1.3564423	0.0046679014	0.056125	127.0	401.7133162021637	17.300201	5.959707	31.880896	4.606147	0.0	0.0
11	500.0	5.1066484	1.9074973	7.3901277	-0.7331317	192000	1.1175871e-08	5.7939396	-0.005707868	-1.036453	1.3564423	0.004491619	0.0488125	127.0	436.8751711845398	17.040356	8.959741	32.80619	3.8158233	0.0	0.0
12	500.0	4.621835	1.6206185	6.7263265	0.09782152	208000	3.7252903e-09	8.530104	-0.007285661	-1.3703955	1.3564423	0.005551637	0.082312495	127.0	476.41891288757324	23.000729	11.7233305	76.3316	2.6299558	0.0	0.0
13	500.0	5.691194	1.8966149	7.922819	-0.25031927	224000	-2.9802322e-08	4.2535	-0.0075641107	-0.4806894	1.3564423	0.0061075776	0.0611875	127.0	511.6387004852295	24.299885	9.053968	48.003883	6.457935	0.0	0.0
14	500.0	6.1129913	2.1248395	9.118644	-0.043467827	240000	-1.8626451e-08	4.9263587	-0.009475196	-0.2684028	1.3564423	0.0063701957	0.0688125	127.0	556.0150728225708	26.158531	9.174649	46.792	10.130513	0.0	0.0
15	500.0	6.7447004	1.9200312	8.896817	0.54636997	256000	-3.7252903e-09	4.9761615	-0.0069875126	-0.89918816	1.3564423	0.005387	0.0599375	127.0	611.0515649318695	31.614906	8.010817	45.621082	11.708264	0.0	0.0
16	500.0	7.593844	1.8885326	9.34631	0.22610709	272000	0.0	7.282812	-0.009670744	-0.5673497	1.3564423	0.008762704	0.080875	127.0	661.3148925304413	31.38774	12.171254	61.29942	10.1561985	0.0	0.0
