Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.29184115	0.016733658	0.36135587	0.23712921	16000	4.0978193e-08	0.047842927	-0.008590553	-0.045302212	1.3564423	0.006896148	0.0775	127.0	42.84249496459961	0.16912583	0.13872577	0.6598064	0.024870783	0.0	0.0
1	500.0	0.098730095	0.043523427	0.22082575	0.009756863	32000	3.5390258e-08	0.003441969	-0.006323751	-0.0014735374	1.3564423	0.006534504	0.05475	127.0	80.29529690742493	0.2448728	0.2511285	1.2952493	0.02859793	0.0	0.0
2	500.0	0.08636421	0.033631492	0.17443188	0.019052505	48000	3.7252903e-09	0.0045058457	-0.00584497	-0.0010681927	1.3564423	0.0053808764	0.061437503	127.0	114.64423084259033	0.35135102	0.3230924	1.4892768	0.045313917	0.0	0.0
3	500.0	0.09536699	0.026059855	0.16107197	0.038729634	64000	-2.9802322e-08	0.005520731	-0.0054115057	-0.0014147621	1.3564423	0.0066848584	0.054750003	127.0	146.9026198387146	0.46026808	0.4024199	1.602865	0.09871013	0.0	0.0
4	500.0	0.12557156	0.027413508	0.21104053	0.04174774	80000	7.450581e-09	0.091250494	-0.005715752	-0.03929916	1.3564423	0.0070604286	0.054437503	127.0	183.62968945503235	1.3922358	1.3068764	6.050444	0.23032926	0.0	0.0
5	500.0	0.27631903	0.07165168	0.4406601	0.0642793	96000	1.8626451e-09	0.052391533	-0.0073985728	-0.01356146	1.3564423	0.008126095	0.0881875	127.0	216.74299311637878	1.1180489	1.1444408	6.159672	0.14653374	0.0	0.0
6	500.0	0.33945805	0.14276032	0.719188	-0.07441278	112000	2.2351742e-08	0.6108452	-0.005525046	-0.32308894	1.3564423	0.005418534	0.065124996	127.0	252.95149302482605	3.3750572	3.15438	10.805695	0.3221233	0.0	0.0
7	500.0	0.9583333	0.46871987	2.0989926	-0.3321585	128000	-1.8626451e-08	2.7619195	-0.0068495427	-1.1493732	1.3564423	0.0066119246	0.081375	127.0	284.0813624858856	7.354567	6.741566	23.849545	0.66534483	0.0	0.0
8	500.0	2.0165024	1.082236	4.3086634	-0.8552677	144000	-1.4901161e-08	3.9322891	-0.0064350967	-1.9804193	1.3564423	0.006805509	0.0735	127.0	318.04810881614685	12.942226	7.615467	31.53913	2.3929293	0.0	0.0
9	500.0	3.718803	1.8043214	6.8330564	-1.492806	160000	-2.9802322e-08	4.141676	-0.0076327077	-1.4397736	1.3564423	0.007094357	0.0755	127.0	367.8844835758209	19.048388	8.532812	40.695286	3.932574	0.0	0.0
10	500.0	5.368245	2.3153443	8.475981	-1.5637416	176000	3.7252903e-09	3.415812	-0.0069346926	-0.49080813	1.3564423	0.005160994	0.0586875	127.0	417.61685156822205	19.361942	6.3316007	31.392107	4.322894	0.0	0.0
11	500.0	5.384517	2.083783	7.9250636	-0.83160686	192000	-1.6763806e-08	3.7623482	-0.0067625917	-0.3676239	1.3564423	0.004362597	0.0576875	127.0	466.0835635662079	22.457592	7.000858	45.603928	7.879935	0.0	0.0
12	500.0	5.867739	1.9933482	7.884448	0.0016288497	208000	2.2351742e-08	4.0688744	-0.0077916584	-0.36049074	1.3564423	0.005477248	0.0545	127.0	499.9413859844208	21.510532	7.511976	38.880432	7.3631973	0.0	0.0
13	500.0	5.619013	1.650141	7.5678725	0.027267938	224000	2.7939677e-09	4.0003166	-0.008510721	-0.374997	1.3564423	0.0060502165	0.06712499	127.0	537.530336856842	25.473816	7.6806073	37.464977	8.825265	0.0	0.0
14	500.0	6.210177	1.7238053	7.892377	-0.21476656	240000	-3.7252903e-09	10.955193	-0.0071670823	-0.9861842	1.3564423	0.005407718	0.0596875	127.0	572.8139312267303	30.197523	12.9155445	75.11275	10.298183	0.0	0.0
15	500.0	7.2164383	1.8544192	8.753568	0.5805576	256000	-7.450581e-09	14.354626	-0.0061520142	-0.32957333	1.3564423	0.0058189793	0.05325	127.0	606.5664610862732	32.44458	15.962092	87.631546	14.299168	0.0	0.0
16	500.0	7.7095146	1.7786525	9.275734	0.73034924	272000	-2.6077032e-08	5.2143717	-0.008616688	-0.4421683	1.3564423	0.0060536135	0.0621875	127.0	643.0800261497498	29.903742	8.881506	50.811993	13.634699	0.0	0.0
17	500.0	7.281546	1.5426908	8.56354	1.2879906	288000	1.4901161e-08	3.4802623	-0.008768804	-0.18911767	1.3564423	0.0058547417	0.058187503	127.0	679.5756347179413	29.954693	6.4860106	42.603107	16.908552	0.0	0.0
18	500.0	7.0304394	1.3593509	8.046504	1.6033604	304000	7.450581e-09	7.6337795	-0.006981353	-1.2418773	1.3564423	0.0058271363	0.052	127.0	714.3589494228363	35.814182	10.549529	80.18568	23.081308	0.0	0.0
19	500.0	8.115099	1.6494845	9.220926	0.6079568	320000	-3.7252903e-09	4.5193005	-0.0070020426	-0.05138569	1.3564423	0.0039518867	0.0505	127.0	749.8108031749725	34.451225	8.60304	53.41421	21.11277	0.0	0.0
20	500.0	8.13163	1.6421056	9.20092	1.0511307	336000	2.2351742e-08	12.199182	-0.008021372	-1.3231914	1.3564423	0.0057306346	0.063875005	127.0	784.5752334594727	41.0512	14.730173	105.958176	21.490915	0.0	0.0
21	500.0	9.211895	1.8901424	10.335224	1.321219	352000	-5.5879354e-09	10.008831	-0.008092421	-1.6390543	1.3564423	0.00857796	0.077875	127.0	822.451411485672	44.561234	11.866685	93.464775	27.428083	0.0	0.0
22	500.0	10.095865	2.293795	11.71305	0.7196666	368000	1.1175871e-08	3.1419864	-0.008923246	-0.13405068	1.3564423	0.005489772	0.0796875	127.0	860.3368277549744	41.919884	7.24381	63.281036	23.872482	0.0	0.0
23	500.0	9.882587	2.07129	11.553833	2.1346035	384000	-3.7252903e-09	9.272361	-0.0067750285	-0.29501253	1.3564423	0.0070930803	0.069375	127.0	897.0731179714203	44.516586	13.771161	111.56801	25.165546	0.0	0.0
24	500.0	10.299137	2.1379344	11.972975	2.2130852	400000	1.8626451e-08	12.134693	-0.006495832	-0.4055164	1.3564423	0.005915947	0.053625	127.0	935.2903501987457	44.57499	15.40538	99.651276	22.35371	0.0	0.0
