Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.3203824	0.024240304	0.41008756	0.262757	16000	3.222376e-07	0.063509546	-0.008581801	-0.06028515	1.3564423	0.0075226463	0.0855	127.0	39.92079782485962	0.0816147	0.045081917	0.21125816	0.022424612	0.0	0.0
1	500.0	0.10364118	0.052515626	0.23171055	-0.01592974	32000	-9.313226e-09	0.0042512193	-0.0065426445	-0.0037164302	1.3564423	0.0064626094	0.061125	127.0	74.84751510620117	0.08963009	0.0554537	0.27721485	0.019317633	0.0	0.0
2	500.0	0.062137987	0.042436413	0.17302316	-0.02706451	48000	-1.3969839e-09	0.0013755582	-0.0075054048	-0.0010011918	1.3564423	0.0056236824	0.065375	127.0	114.22755193710327	0.087807715	0.049805295	0.2577206	0.02962878	0.0	0.0
3	500.0	0.048954923	0.025238438	0.12094042	-0.015760837	64000	7.450581e-09	0.00068608444	-0.008424849	-0.0004846997	1.3564423	0.0049231113	0.0715	127.0	149.0445041656494	0.09555732	0.04910615	0.20543213	0.027242733	0.0	0.0
4	500.0	0.03924684	0.015435558	0.09397787	0.0027079321	80000	7.450581e-09	0.0004137053	-0.00888194	-0.00020562204	1.3564423	0.0076303147	0.076	127.0	186.5059037208557	0.14639568	0.07627175	0.4063548	0.047485247	0.0	0.0
5	500.0	0.035172362	0.010800746	0.070382476	0.009882942	96000	5.029142e-08	0.00020938815	-0.010829444	-0.000107262116	1.3564423	0.0094392225	0.107374996	127.0	220.67699122428894	0.11426264	0.051594697	0.26342514	0.042462427	0.0	0.0
6	500.0	0.036104772	0.010052809	0.072897725	0.011818826	112000	-1.9557774e-08	0.0024166713	-0.007352226	-0.0012751336	1.3564423	0.0073882886	0.072875	127.0	256.724404335022	0.31853998	0.20086244	0.770923	0.061603524	0.0	0.0
7	500.0	0.07967421	0.022609867	0.13013718	0.013417549	128000	-3.7252903e-08	0.01989348	-0.0069699227	-0.0089826835	1.3564423	0.006461884	0.062937506	127.0	296.63583612442017	0.75068676	0.5332887	2.0221853	0.078055255	0.0	0.0
8	500.0	0.18744153	0.06438248	0.31302562	-0.027296942	144000	2.9802322e-08	0.062747225	-0.0052006957	-0.02806812	1.3564423	0.0056457585	0.056	127.0	334.60185837745667	1.4700973	0.8873642	4.404255	0.2998949	0.0	0.0
9	500.0	0.36498418	0.12527654	0.6240276	-0.09304984	160000	-7.450581e-09	0.2621794	-0.0053803464	-0.0847343	1.3564423	0.007776409	0.07475	127.0	370.206481218338	2.2842515	2.0530162	10.327287	0.6080716	0.0	0.0
10	500.0	0.6976283	0.3177889	1.4319437	-0.08832665	176000	1.4901161e-08	1.5089638	-0.0054903617	-0.7854698	1.3564423	0.0057635196	0.064687505	127.0	407.3160614967346	6.072709	3.8938646	17.039644	0.67539793	0.0	0.0
11	500.0	1.6106011	0.88759786	3.481587	-0.70089257	192000	1.8626451e-08	1.9303875	-0.0062946514	-0.548458	1.3564423	0.0068269344	0.072625	127.0	448.58475637435913	8.003544	5.501604	19.22007	0.53860176	0.0	0.0
12	500.0	2.428676	1.4641895	5.037095	-0.86133325	208000	-2.7939677e-08	2.1278229	-0.006690393	-0.23338014	1.3564423	0.0063676797	0.069000006	127.0	483.7781629562378	9.724197	6.1148868	25.16242	0.99115145	0.0	0.0
13	500.0	2.842816	1.6700565	5.5405536	-0.6029109	224000	-2.2351742e-08	2.2634957	-0.0063939686	-0.5429925	1.3564423	0.007265851	0.066062495	127.0	522.0579481124878	11.760907	7.4934645	27.749321	0.71517414	0.0	0.0
14	500.0	3.3938615	2.1205645	7.1445293	-1.0048946	240000	-2.0489097e-08	2.200025	-0.009794094	-0.47212517	1.3564423	0.0069593154	0.080249995	127.0	559.1953589916229	14.089784	8.798987	33.094193	0.89304936	0.0	0.0
15	500.0	4.8749747	2.4624276	8.234474	-1.2320598	256000	2.9802322e-08	3.8282833	-0.0077039744	-1.547776	1.3564423	0.005999579	0.065125	127.0	596.3586440086365	23.876068	7.287977	36.463726	3.6439466	0.0	0.0
16	500.0	6.045642	2.6798658	9.184206	-0.5495774	272000	1.8626451e-08	2.296359	-0.008856816	-0.1729672	1.3564423	0.00537113	0.061937496	127.0	633.9408979415894	23.809181	8.757954	35.320263	3.660609	0.0	0.0
17	500.0	6.6868324	2.5899122	9.31578	-0.42140383	288000	2.2351742e-08	2.617446	-0.010381134	-0.40832397	1.3564423	0.0074018976	0.070250005	127.0	670.7596728801727	26.997385	7.4554663	42.034145	10.011867	0.0	0.0
18	500.0	7.001464	2.4524727	9.482793	-0.52450967	304000	5.5879354e-09	1.9818077	-0.00821574	-0.48366183	1.3564423	0.0059274323	0.0573125	127.0	707.7601058483124	29.876015	5.5361814	41.5916	13.48716	0.0	0.0
19	500.0	7.4420757	2.4465806	9.855177	-0.2802555	320000	-2.2351742e-08	2.1901538	-0.009679177	-0.17567286	1.3564423	0.0046747653	0.056125	127.0	749.3269882202148	30.612953	6.325158	42.295345	14.952984	0.0	0.0
20	500.0	7.6083045	2.2739897	9.831202	1.0458335	336000	-7.450581e-09	2.5473685	-0.008822864	-0.3957305	1.3564423	0.006941315	0.067499995	127.0	787.883308172226	32.077133	7.2279778	44.21195	12.2672825	0.0	0.0
21	500.0	7.6909657	2.2004402	10.225421	1.5191156	352000	-2.2351742e-08	4.1836977	-0.008309884	-0.5078013	1.3564423	0.007540275	0.064	127.0	825.2843935489655	34.017303	8.614514	55.014996	18.758183	0.0	0.0
22	500.0	8.220934	2.417566	10.727051	1.285213	368000	-1.3038516e-08	3.431868	-0.0089616645	-0.20433262	1.3564423	0.005231078	0.072375	127.0	859.7675340175629	33.78601	8.689093	54.308773	13.465365	0.0	0.0
23	500.0	8.109412	2.377046	10.56521	0.99466044	384000	-7.450581e-09	3.262924	-0.008013503	-0.4574831	1.3564423	0.005047021	0.0495625	127.0	899.8175313472748	34.286095	9.637406	48.97761	13.457355	0.0	0.0
24	500.0	8.375335	2.5859327	10.801476	1.2169739	400000	1.8626451e-09	9.4629135	-0.006562394	-0.714382	1.3564423	0.0051078177	0.062250003	127.0	937.6593215465546	37.53102	15.216029	98.806725	5.8836603	0.0	0.0
25	500.0	8.290125	2.9634418	12.112128	1.1327119	416000	7.450581e-09	5.514632	-0.007919693	-0.65791875	1.3564423	0.0050921687	0.0684375	127.0	976.4958324432373	35.825462	10.147359	65.60955	13.545119	0.0	0.0
26	500.0	9.219173	3.2109442	12.8241625	0.35026768	432000	1.1175871e-08	2.8617847	-0.008590243	-0.6615221	1.3564423	0.008195973	0.065500006	127.0	1014.9638175964355	36.364983	9.710413	51.784386	4.549827	0.0	0.0
27	500.0	8.812774	2.7226686	12.48345	1.2857891	448000	0.0	2.1197839	-0.009194608	-0.57179105	1.3564423	0.008643586	0.066874996	127.0	1052.5936551094055	34.247887	7.5992365	47.621387	17.14532	0.0	0.0
28	500.0	8.564203	3.020035	12.190462	0.8638126	464000	9.313226e-09	2.023955	-0.0084675085	-0.59113085	1.3564423	0.0050823707	0.057937503	127.0	1092.2536346912384	37.546104	8.038168	48.514996	18.53222	0.0	0.0
29	500.0	8.33078	3.264411	12.579444	0.9128936	480000	-2.6077032e-08	2.911668	-0.008393019	-1.0761828	1.3564423	0.0061540864	0.058875002	127.0	1133.0874149799347	28.735216	10.141213	48.363	3.979566	0.0	0.0
30	500.0	7.1789985	3.3428557	12.193736	-1.5695413	496000	-1.8626451e-08	2.4424329	-0.008947685	-0.74801373	1.3564423	0.008454157	0.0695625	127.0	1168.7041969299316	26.841389	11.383179	46.32948	2.1265378	0.0	0.0
31	500.0	7.799059	3.5656168	12.124239	-1.0051347	512000	7.450581e-09	9.432698	-0.0074612293	-1.3888856	1.3564423	0.0073911175	0.060375	127.0	1207.362449169159	36.16347	16.894278	109.37244	3.521891	0.0	0.0
32	500.0	8.870082	3.6346018	13.144128	-0.2243841	528000	-3.7252903e-09	7.48437	-0.006460252	-0.84731376	1.3564423	0.0065199947	0.056125	127.0	1243.602662563324	36.266174	14.001373	92.77338	13.121662	0.0	0.0
33	500.0	9.536697	3.574836	13.10236	-0.3639631	544000	-3.7252903e-09	2.5422575	-0.00953322	-0.63308644	1.3564423	0.009141067	0.073	127.0	1281.9631688594818	36.526093	7.329774	47.741497	20.658792	0.0	0.0
34	500.0	9.306771	3.1250696	12.459668	0.33316505	560000	-9.313226e-09	2.372139	-0.008045139	-0.42658246	1.3564423	0.006782758	0.049999997	127.0	1320.029876947403	35.42271	8.202965	49.41404	21.84105	0.0	0.0
35	500.0	8.622684	3.0493228	11.733564	0.22589739	576000	1.1175871e-08	3.2853384	-0.00869451	-0.41592556	1.3564423	0.0047907857	0.061312504	127.0	1358.4549362659454	34.245834	7.967035	47.60872	19.609478	0.0	0.0
36	500.0	8.617168	2.896194	11.910316	-0.21562293	592000	-3.7252903e-09	3.2517264	-0.009414522	-0.684289	1.3564423	0.0076243486	0.065	127.0	1396.1444239616394	34.95894	9.175684	51.43152	19.451424	0.0	0.0
37	500.0	8.937431	2.943099	12.107929	-0.4685772	608000	1.4901161e-08	5.7768226	-0.007833163	-0.7224779	1.3564423	0.005883094	0.0674375	127.0	1434.519484758377	39.541782	12.245544	92.93135	23.099606	0.0	0.0
38	500.0	9.672094	2.881845	13.012331	-0.29005855	624000	7.450581e-09	2.304222	-0.008381778	-0.2496603	1.3564423	0.0067452886	0.0674375	127.0	1473.5160603523254	40.02124	8.24356	53.63575	25.662058	0.0	0.0
39	500.0	9.564596	2.9152527	13.075457	1.3198564	640000	1.4901161e-08	2.3757224	-0.008700254	-0.33952847	1.3564423	0.0055356994	0.0589375	127.0	1513.3351423740387	40.344093	7.9853063	54.172047	16.34858	0.0	0.0
40	500.0	9.692375	3.1035564	13.307637	1.5942801	656000	0.0	6.6935325	-0.008042614	-1.0329436	1.3564423	0.0062780743	0.0665	127.0	1554.78547000885	42.168694	13.818015	93.46493	9.290386	0.0	0.0
