Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.32056445	0.024486868	0.41008756	0.262757	16000	1.5087426e-07	0.063805565	-0.008503656	-0.060552835	1.3564423	0.007491486	0.0849375	127.0	36.728495597839355	0.07893957	0.045880333	0.21125816	0.022424612	0.0	0.0
1	500.0	0.10308993	0.052285463	0.23028667	-0.01716681	32000	1.6763806e-08	0.004169214	-0.006478735	-0.0036324766	1.3564423	0.0063023698	0.0594375	127.0	72.82168388366699	0.093210176	0.055970307	0.2765667	0.019467827	0.0	0.0
2	500.0	0.061959717	0.042252496	0.17261681	-0.026332658	48000	5.5879354e-09	0.00136479	-0.0075799115	-0.0010041221	1.3564423	0.005660181	0.065312505	127.0	104.22395133972168	0.08361357	0.04862733	0.25948063	0.0300686	0.0	0.0
3	500.0	0.048556898	0.025582317	0.12095031	-0.01606451	64000	-6.519258e-08	0.0006759943	-0.008179938	-0.00048759888	1.3564423	0.004768227	0.0703125	127.0	140.4348921775818	0.09401788	0.046801496	0.20745473	0.02643501	0.0	0.0
4	500.0	0.03884247	0.015537119	0.09398745	0.003173288	80000	7.450581e-09	0.00038554656	-0.008586587	-0.00018354245	1.3564423	0.0075057456	0.073875	127.0	173.03555631637573	0.14750156	0.07720539	0.43914855	0.04623989	0.0	0.0
5	500.0	0.036130592	0.011789835	0.07322891	0.0078065544	96000	-1.3038516e-08	0.00020701549	-0.011039395	-9.5978365e-05	1.3564423	0.00985327	0.108687505	127.0	207.48386573791504	0.118652955	0.05758849	0.29975966	0.044673283	0.0	0.0
6	500.0	0.03895507	0.011592877	0.07133165	0.0099517815	112000	-7.450581e-09	0.002395498	-0.007408932	-0.0012964051	1.3564423	0.0072661154	0.07	127.0	245.49309635162354	0.32894552	0.20600891	0.8612904	0.07229875	0.0	0.0
7	500.0	0.079654306	0.023456665	0.13004881	0.0055555217	128000	-3.7252903e-08	0.011402189	-0.0056932457	-0.0039033345	1.3564423	0.0065042125	0.07	127.0	276.9947729110718	0.6082098	0.45237288	2.3867831	0.06376573	0.0	0.0
8	500.0	0.14837903	0.037411366	0.2593357	-0.0075065643	144000	3.3527613e-08	0.021173991	-0.0065064137	-0.008728282	1.3564423	0.0062892474	0.0616875	127.0	307.7003502845764	0.9540217	0.6688528	2.9657764	0.20336537	0.0	0.0
9	500.0	0.26576993	0.091927566	0.51604015	0.025850628	160000	5.9604645e-08	0.05963704	-0.0056383116	-0.027304724	1.3564423	0.00546421	0.06475	127.0	344.79803681373596	1.4700441	1.1882704	6.225078	0.30738854	0.0	0.0
10	500.0	0.43807617	0.20514694	1.1397223	0.056349136	176000	7.450581e-09	0.12794842	-0.006593147	-0.041879937	1.3564423	0.009203245	0.106375	127.0	380.01948714256287	2.080298	1.7694951	9.705287	0.47739452	0.0	0.0
11	500.0	0.69108117	0.3323997	1.4520365	-0.20646738	192000	-1.8626451e-08	0.37732217	-0.0057183057	-0.1749147	1.3564423	0.006489205	0.07525	127.0	415.91496777534485	3.5077348	2.967382	12.015163	0.5195991	0.0	0.0
12	500.0	1.1864055	0.6632038	2.4718626	-0.92041683	208000	1.4901161e-08	2.440198	-0.0040300335	-1.4283007	1.3564423	0.004247515	0.0323125	127.0	455.7389614582062	8.734033	6.518825	23.39792	0.53920096	0.0	0.0
13	500.0	2.1596906	1.2973212	5.3335547	-1.6879958	224000	-1.8626451e-09	2.032758	-0.0078005116	-0.7276484	1.3564423	0.008787556	0.0719375	127.0	491.3209054470062	10.203712	7.40718	25.308826	0.55178565	0.0	0.0
14	500.0	2.9643247	1.8396696	6.7557864	-2.6863902	240000	7.450581e-09	3.5837703	-0.0092030885	-1.1793154	1.3564423	0.009064753	0.08775	127.0	527.5584533214569	15.19488	8.904295	33.42894	1.1208878	0.0	0.0
15	500.0	4.227636	2.6360476	8.675563	-3.2270925	256000	2.2351742e-08	3.2212977	-0.0073509654	-0.96553946	1.3564423	0.0051307837	0.063250005	127.0	565.0082392692566	18.786245	6.2534304	31.092783	5.7879753	0.0	0.0
16	500.0	4.889306	2.4766867	8.623746	-1.9987411	272000	-5.5879354e-09	1.7616329	-0.008370865	-0.17442317	1.3564423	0.0058221174	0.058625	127.0	601.2461280822754	17.283907	7.5765853	34.961815	0.9932068	0.0	0.0
17	500.0	4.787418	2.7547472	8.581478	-2.3542936	288000	-1.8626451e-08	2.701375	-0.0073633012	-0.2325746	1.3564423	0.0043164557	0.05675	127.0	637.5776534080505	18.78455	9.228787	33.783203	0.60216814	0.0	0.0
18	500.0	5.2788963	2.7611854	8.756148	-2.0386417	304000	-1.4901161e-08	2.5777063	-0.0077241464	-0.3257879	1.3564423	0.005561103	0.061249997	127.0	669.4962539672852	19.8475	7.812784	34.542362	2.58596	0.0	0.0
19	500.0	5.4010725	2.471572	8.02867	-1.463146	320000	-1.4901161e-08	2.6646729	-0.0060530817	-0.1868823	1.3564423	0.0050613447	0.0430625	127.0	706.0807421207428	19.826805	8.956532	36.8798	0.9753251	0.0	0.0
20	500.0	5.596372	2.1532245	7.5767026	-1.0337743	336000	-2.2351742e-08	3.7851076	-0.007210996	-0.3013132	1.3564423	0.006196258	0.0530625	127.0	741.0114121437073	23.750668	8.077244	43.123142	9.468081	0.0	0.0
