Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.054080293	0.018225787	0.13279147	0.0008852184	16000	-2.4214387e-08	0.0013165653	-0.0070777196	-0.00079389516	1.3564423	0.006149657	0.0615625	127.0	67.78700232505798	0.16376244	0.12066109	0.5402698	0.021663062	0.0	0.0
1	500.0	0.038900007	0.014895908	0.10454981	-0.0052108243	32000	-3.7252903e-09	0.0013044736	-0.0073201647	-0.0004635866	1.3564423	0.009118572	0.08212499	127.0	122.43192529678345	0.23321919	0.18114586	0.7501588	0.03530661	0.0	0.0
2	500.0	0.05484686	0.018410252	0.10817696	-0.014807614	48000	1.3038516e-08	0.0012653891	-0.011020174	-0.00048935466	1.3564423	0.009790203	0.117875	127.0	159.77414107322693	0.34060332	0.19981837	0.99216056	0.038737398	0.0	0.0
3	500.0	0.08458851	0.027257048	0.15863703	0.005092632	64000	-1.4901161e-08	0.002114412	-0.010188055	-0.0007377651	1.3564423	0.0092576295	0.0974375	127.0	205.99962973594666	0.5271014	0.23729706	1.1318903	0.12548704	0.0	0.0
4	500.0	0.15615875	0.038511068	0.2581368	0.040818494	80000	2.2351742e-08	0.013688806	-0.008354347	-0.005198494	1.3564423	0.007736217	0.076	127.0	246.5143802165985	0.9941828	0.49575022	2.0650487	0.30892295	0.0	0.0
5	500.0	0.22648437	0.04517236	0.367746	0.087750524	96000	1.4901161e-08	0.022155128	-0.008740423	-0.008043949	1.3564423	0.0070086773	0.09075	127.0	300.4959192276001	1.3942885	0.6151734	3.3304052	0.5418412	0.0	0.0
6	500.0	0.33141825	0.11086398	0.70483154	0.051778965	112000	1.1175871e-08	0.11819497	-0.008157686	-0.053718872	1.3564423	0.0071031675	0.0906875	127.0	371.7141287326813	2.28348	1.4175234	7.0205274	0.39048168	0.0	0.0
7	500.0	0.5670101	0.29200068	1.7077391	0.03586277	128000	7.450581e-09	0.2112988	-0.009489315	-0.10337983	1.3564423	0.007066479	0.098500006	127.0	425.5937714576721	3.0921998	1.9731427	10.161701	0.6909209	0.0	0.0
8	500.0	1.1128372	0.6643789	2.606097	-0.028427038	144000	-4.8428774e-08	1.1107687	-0.008105801	-0.6147543	1.3564423	0.007104086	0.0891875	127.0	469.7698040008545	6.793546	4.130149	16.98446	0.8295387	0.0	0.0
9	500.0	2.1961012	1.1653306	4.6135373	0.018810412	160000	-1.4901161e-08	1.9752233	-0.007003123	-0.6395532	1.3564423	0.0068237223	0.08675	127.0	503.43585991859436	10.273266	5.9681993	21.990145	2.8516543	0.0	0.0
