Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.32411146	0.024519596	0.4140572	0.26603138	16000	-6.146729e-08	0.064823315	-0.008355843	-0.061470497	1.3564423	0.0072870385	0.082125	127.0	40.93483781814575	0.08318536	0.04623479	0.21494618	0.02274343	0.0	0.0
1	500.0	0.10586943	0.05292711	0.23445296	-0.013242509	32000	-2.2351742e-08	0.004445621	-0.006445251	-0.003901817	1.3564423	0.00670412	0.062625	127.0	81.22076058387756	0.09117815	0.056432	0.2756017	0.019460095	0.0	0.0
2	500.0	0.063624814	0.0431257	0.17506576	-0.02646629	48000	-2.514571e-08	0.0014542057	-0.007345555	-0.0010639072	1.3564423	0.005723154	0.0621875	127.0	114.69872832298279	0.0885687	0.050921597	0.26307636	0.029445333	0.0	0.0
3	500.0	0.048929945	0.025169216	0.12127851	-0.015534701	64000	1.4901161e-08	0.0006816627	-0.008145938	-0.00046356855	1.3564423	0.0048046634	0.07143749	127.0	152.12144780158997	0.10195044	0.05218143	0.21511501	0.030162955	0.0	0.0
4	500.0	0.040791206	0.01497605	0.09177062	0.0051260926	80000	7.450581e-09	0.0004557115	-0.0084834965	-0.00020635492	1.3564423	0.007672294	0.07474999	127.0	185.59669709205627	0.16931093	0.088539265	0.45726594	0.0493166	0.0	0.0
5	500.0	0.039485175	0.012790541	0.08317584	0.009176802	96000	-3.7252903e-09	0.00025210492	-0.011230991	-6.4094624e-05	1.3564423	0.009455472	0.1018125	127.0	218.80662989616394	0.14500491	0.08102409	0.3752674	0.04902739	0.0	0.0
6	500.0	0.04213128	0.012865244	0.0840346	0.011992279	112000	-3.7252903e-08	0.005643784	-0.0060018683	-0.0032481044	1.3564423	0.008186869	0.0699375	127.0	249.2446551322937	0.41137558	0.31553692	1.184108	0.06762077	0.0	0.0
7	500.0	0.11078185	0.043401465	0.20463108	0.009383548	128000	-7.450581e-09	0.042019423	-0.0068965806	-0.018283091	1.3564423	0.0059830407	0.066750005	127.0	285.97693967819214	1.0042232	0.7819203	2.7137947	0.073610455	0.0	0.0
8	500.0	0.277722	0.09641547	0.46970585	-0.0422044	144000	3.3527613e-08	0.15723315	-0.004642092	-0.07655932	1.3564423	0.0054596695	0.0535625	127.0	319.6028747558594	2.12118	1.3562615	5.7600284	0.27140442	0.0	0.0
9	500.0	0.5360139	0.24079834	1.014996	-0.19350684	160000	-1.4901161e-08	0.5502471	-0.005641498	-0.21551873	1.3564423	0.008309392	0.0835	127.0	354.90260338783264	3.254332	3.029687	12.177448	0.7998609	0.0	0.0
10	500.0	1.073587	0.57804936	2.3300834	-0.22358997	176000	2.2351742e-08	2.3405554	-0.005980664	-1.1833274	1.3564423	0.0063260477	0.0743125	127.0	386.05439615249634	8.142002	4.9360523	19.996851	1.1076213	0.0	0.0
11	500.0	2.2792022	1.3011199	4.658957	-0.8159916	192000	8.381903e-09	1.7720315	-0.007963946	-0.28157997	1.3564423	0.00624596	0.0935625	127.0	425.4698007106781	9.234276	5.487438	23.618172	0.7889781	0.0	0.0
12	500.0	2.8907866	1.5762067	5.547936	-0.5347079	208000	-1.4901161e-08	2.2759337	-0.0069579226	-0.23465936	1.3564423	0.0061245114	0.0715	127.0	462.09615898132324	10.835903	6.1410336	24.082102	0.8387389	0.0	0.0
13	500.0	3.2152398	1.6805904	5.8173623	-0.7046943	224000	-3.7252903e-09	2.230025	-0.007682683	-0.56242883	1.3564423	0.0072308453	0.069437504	127.0	502.92634439468384	14.221674	6.747277	28.69353	1.3297188	0.0	0.0
14	500.0	4.043566	2.036454	7.3493066	-1.0822289	240000	-8.381903e-09	2.75709	-0.008945733	-0.5644083	1.3564423	0.007968549	0.078875	127.0	539.9643466472626	17.609844	8.278732	33.600254	2.7504787	0.0	0.0
