Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.29377142	0.017117258	0.36303014	0.20943771	16000	4.0978193e-07	0.045522757	-0.008399814	-0.042986415	1.3564423	0.006799355	0.073	127.0	39.94393801689148	0.2128576	0.14962006	0.7447862	0.047156785	0.0	0.0
1	500.0	0.10471669	0.042502563	0.2227698	0.009331431	32000	0.0	0.0036727202	-0.006519555	-0.0012676483	1.3564423	0.0065930877	0.053999998	127.0	75.09335660934448	0.3161676	0.26845774	1.451432	0.057525508	0.0	0.0
2	500.0	0.099885605	0.030527351	0.17783035	0.013849121	48000	-3.7252903e-09	0.0069474448	-0.0061335247	-0.0015415658	1.3564423	0.0056421515	0.0610625	127.0	111.32289004325867	0.50524443	0.38744956	1.8221469	0.09225424	0.0	0.0
3	500.0	0.12327997	0.023912407	0.1873124	0.060412373	64000	-7.450581e-09	0.009034447	-0.006014879	-0.002203713	1.3564423	0.0077541107	0.067	127.0	143.55801057815552	0.68812776	0.47743914	2.1360676	0.19600579	0.0	0.0
4	500.0	0.17802438	0.03187552	0.26062563	0.08038557	80000	-1.4901161e-08	0.17508852	-0.0059385374	-0.0750468	1.3564423	0.0075198743	0.055124998	127.0	179.1723871231079	2.1096349	1.5903102	7.439067	0.61508405	0.0	0.0
5	500.0	0.4320544	0.07841593	0.60472465	0.189017	96000	-1.4901161e-08	0.10026005	-0.0070635667	-0.026317174	1.3564423	0.0062667234	0.065625004	127.0	217.12975311279297	1.9691702	1.4146502	7.6267986	0.42638144	0.0	0.0
6	500.0	0.5426205	0.19927235	1.0102502	0.023636207	112000	-4.4703484e-08	1.0593464	-0.0060271947	-0.51979256	1.3564423	0.0057655885	0.065625004	127.0	254.01018357276917	5.156369	3.6577802	14.142497	0.9796395	0.0	0.0
7	500.0	1.3382072	0.59598285	2.6776123	-0.13138425	128000	3.7252903e-09	2.800153	-0.007313074	-1.1774329	1.3564423	0.006351983	0.0773125	127.0	296.38966393470764	9.492518	6.235633	23.451702	1.8065032	0.0	0.0
8	500.0	2.5474305	1.1474991	4.532334	-0.040377326	144000	-5.2154064e-08	2.7915993	-0.008055553	-1.4011357	1.3564423	0.0074326983	0.08425	127.0	345.0486719608307	14.4735365	5.5048285	24.6902	3.905637	0.0	0.0
9	500.0	4.053471	1.7216072	6.3935685	-0.530222	160000	-1.4901161e-08	2.1218762	-0.0085142255	-0.52488333	1.3564423	0.007592607	0.086812496	127.0	403.4639720916748	18.613026	5.8583665	33.806038	10.100827	0.0	0.0
10	500.0	5.1728153	1.907295	7.419869	-0.18910965	176000	7.450581e-09	2.3998854	-0.0077957083	-0.3228082	1.3564423	0.0066229543	0.06775	127.0	463.6468279361725	18.64567	5.3412004	32.45799	8.782768	0.0	0.0
11	500.0	5.020751	1.5560541	6.797646	0.49857432	192000	-2.2351742e-08	1.805936	-0.0064087864	-0.13663349	1.3564423	0.0050101355	0.060125	127.0	501.51688742637634	20.369286	4.954595	35.56098	10.350166	0.0	0.0
12	500.0	5.197146	1.3801292	6.536029	0.8130256	208000	0.0	2.6459975	-0.0078489985	-0.22849971	1.3564423	0.0051674005	0.062499996	127.0	558.2769889831543	20.655918	6.386934	39.837925	12.326683	0.0	0.0
13	500.0	5.0833235	1.040136	6.0112386	1.1283175	224000	2.2351742e-08	3.2535448	-0.006377003	-0.24455678	1.3564423	0.0050381566	0.053312503	127.0	610.0362546443939	23.460407	6.7006507	35.76431	13.294782	0.0	0.0
14	500.0	5.4576416	0.9686847	6.1198044	1.2077447	240000	1.1175871e-08	4.709117	-0.006070706	-0.5367	1.3564423	0.0052396636	0.048625	127.0	655.9593207836151	26.87629	8.434666	40.519035	14.8204775	0.0	0.0
15	500.0	6.1537533	1.1376876	6.8476696	1.3035644	256000	-9.313226e-09	3.4932344	-0.0064447233	-0.0949962	1.3564423	0.0059330324	0.052187502	127.0	702.7284970283508	26.128416	7.8818707	43.39678	15.598288	0.0	0.0
16	500.0	6.1118073	0.99418217	6.6779475	1.5166494	272000	2.6077032e-08	3.2020392	-0.0078009106	-0.09810526	1.3564423	0.0047006323	0.052562498	127.0	745.6543281078339	26.62007	6.9056478	41.801	16.289349	0.0	0.0
17	500.0	6.096885	0.946728	6.689182	1.3325379	288000	-1.3038516e-08	3.608923	-0.008519045	-0.22149968	1.3564423	0.0063500274	0.0639375	127.0	795.1749937534332	28.263874	7.6402516	43.810833	17.80975	0.0	0.0
18	500.0	6.378391	1.018879	7.077999	1.4967351	304000	3.7252903e-09	2.512626	-0.0064872084	-0.38024852	1.3564423	0.0061859684	0.052125	127.0	835.4954776763916	30.63694	6.0116587	45.467663	24.397951	0.0	0.0
19	500.0	6.8464227	1.1637748	7.7145176	1.0181743	320000	-2.9802322e-08	2.8562999	-0.0072558736	-0.18277559	1.3564423	0.004869187	0.06275	127.0	872.8385629653931	29.930984	7.3071375	45.723595	22.270319	0.0	0.0
20	500.0	6.881625	1.208895	7.992012	1.6322533	336000	1.4901161e-08	3.123455	-0.008185176	-0.41873777	1.3564423	0.0058045536	0.064500004	127.0	909.0046377182007	32.50063	7.9873905	52.505768	19.739828	0.0	0.0
21	500.0	7.3363256	1.2882675	8.55148	1.8918207	352000	2.2351742e-08	3.4841166	-0.008173446	-1.000346	1.3564423	0.008238377	0.07425	127.0	950.6821160316467	36.49749	7.5535398	47.39411	24.419918	0.0	0.0
22	500.0	8.155756	1.479792	9.889481	2.2678776	368000	0.0	3.8236713	-0.008985172	-0.54995334	1.3564423	0.0065219863	0.0705625	127.0	987.046630859375	35.485626	8.8046875	50.18952	22.166622	0.0	0.0
23	500.0	8.077419	1.4062189	9.837417	2.8368678	384000	-1.4901161e-08	4.0614853	-0.007983705	-0.5575791	1.3564423	0.006777428	0.057625	127.0	1026.589716911316	36.371918	9.806473	52.834957	22.4419	0.0	0.0
24	500.0	8.170663	1.5480592	10.176641	2.952479	400000	0.0	3.1220672	-0.008337457	-0.6075423	1.3564423	0.0049673524	0.068875	127.0	1070.0284714698792	37.67741	9.427022	51.286575	23.111853	0.0	0.0
25	500.0	8.623222	1.8166813	11.038094	2.988651	416000	5.7742e-08	2.392344	-0.010420391	-0.62412995	1.3564423	0.006504278	0.079125	127.0	1106.9351856708527	38.332535	9.011565	54.09707	22.584663	0.0	0.0
26	500.0	8.881115	1.8346101	11.812979	2.7175553	432000	0.0	2.695036	-0.008992307	-0.69121414	1.3564423	0.006426137	0.0670625	127.0	1148.325320482254	38.048756	9.385653	53.939587	21.975786	0.0	0.0
27	500.0	9.554963	2.1538165	12.75532	2.81937	448000	2.2351742e-08	1.9268935	-0.008507986	-0.35808596	1.3564423	0.006675234	0.072375	127.0	1202.8290503025055	42.162872	8.174856	53.01729	26.590626	0.0	0.0
28	500.0	9.677684	2.1548736	12.794831	3.4806368	464000	7.450581e-09	2.8049765	-0.0090669915	-0.78814435	1.3564423	0.0073501733	0.0748125	127.0	1248.5727248191833	39.380093	9.560794	53.834827	22.540617	0.0	0.0
29	500.0	9.173304	2.212989	13.076633	2.8536832	480000	-7.450581e-09	2.3237956	-0.009516909	-0.6087804	1.3564423	0.008214375	0.069749996	127.0	1292.099972486496	37.9145	9.363216	54.09932	21.721018	0.0	0.0
30	500.0	9.403083	2.2140782	12.945793	1.4256904	496000	-1.4901161e-08	2.7824404	-0.0098931305	-0.716039	1.3564423	0.0061014704	0.073937505	127.0	1343.8380284309387	41.16326	9.426679	54.601738	22.332888	0.0	0.0
31	500.0	9.992369	2.2602146	12.782839	3.2041137	512000	0.0	1.8778627	-0.0077555026	-0.48736158	1.3564423	0.005839019	0.059687503	127.0	1386.2019531726837	43.708176	9.554848	55.880474	22.80716	0.0	0.0
