Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.26978895	0.019391414	0.34489304	0.19441126	16000	4.284084e-08	0.03806586	-0.008939674	-0.035939418	1.3564423	0.0075504975	0.0819375	127.0	38.41296744346619	0.20394239	0.11485027	0.5840565	0.0822955	0.0	0.0
1	500.0	0.09251526	0.038503427	0.21759135	0.01545902	32000	-1.3969839e-08	0.002596527	-0.007431749	-0.001091091	1.3564423	0.006827444	0.059687503	127.0	70.4863851070404	0.27124366	0.21794662	1.2805959	0.05287371	0.0	0.0
2	500.0	0.09674378	0.030983428	0.18153141	0.018582363	48000	-1.8626451e-08	0.0077764285	-0.0072809625	-0.0027997044	1.3564423	0.005371853	0.064687505	127.0	105.8869378566742	0.6130731	0.37627825	1.712919	0.15892117	0.0	0.0
3	500.0	0.13142712	0.020014672	0.20063692	0.06207426	64000	3.7252903e-09	0.0129141975	-0.00662506	-0.0047766194	1.3564423	0.00791724	0.0695	127.0	141.4800102710724	0.76120555	0.56181496	2.358308	0.07740224	0.0	0.0
4	500.0	0.21281262	0.063047916	0.39639103	0.072552435	80000	-2.2351742e-08	0.0828916	-0.0067087538	-0.031750746	1.3564423	0.0062187035	0.0644375	127.0	176.1939718723297	1.5997938	1.1847956	5.386133	0.3117997	0.0	0.0
5	500.0	0.40556502	0.09656491	0.64334095	0.14309317	96000	-7.450581e-09	0.29435402	-0.0058582127	-0.1252709	1.3564423	0.007642776	0.071187496	127.0	211.62612175941467	2.6168694	2.3335865	10.2724285	0.60813475	0.0	0.0
6	500.0	0.8251744	0.36934763	1.8170027	-0.11240417	112000	0.0	1.0664136	-0.006725687	-0.52640975	1.3564423	0.0057290075	0.077374995	127.0	245.44266080856323	6.104039	3.8921466	15.45693	0.67411643	0.0	0.0
7	500.0	1.87067	0.783314	3.6633787	-0.24115202	128000	3.7252903e-09	1.5392542	-0.007426425	-0.49811932	1.3564423	0.0061817383	0.0783125	127.0	281.13734674453735	9.178896	4.556369	17.272467	2.0717487	0.0	0.0
8	500.0	2.548785	1.139539	4.6688843	-0.3393774	144000	-7.450581e-09	1.7168834	-0.00992096	-0.6400384	1.3564423	0.008183897	0.1125625	127.0	316.8771867752075	12.436437	5.17554	20.796885	1.5448077	0.0	0.0
9	500.0	3.7835176	1.587831	6.253689	-0.852099	160000	1.1175871e-08	1.7191656	-0.010735555	-0.3101776	1.3564423	0.008413808	0.09375	127.0	356.69104528427124	16.3352	5.06699	26.041405	2.7667608	0.0	0.0
10	500.0	4.819719	1.9112135	7.1810164	-0.58025885	176000	0.0	2.323131	-0.00723148	-0.35564092	1.3564423	0.006025537	0.059125	127.0	389.127477645874	17.948898	4.816311	35.315357	9.673527	0.0	0.0
11	500.0	4.817119	1.4295213	6.6095777	0.23669244	192000	1.4901161e-08	3.2908168	-0.0050212	-0.4122698	1.3564423	0.004345131	0.0399375	127.0	424.1348628997803	17.572262	6.607153	35.36384	8.017562	0.0	0.0
12	500.0	4.4573383	1.1799035	5.5751376	0.65623796	208000	1.1175871e-08	2.479595	-0.006013162	-0.1814288	1.3564423	0.0049572038	0.04775	127.0	459.1832947731018	19.81691	5.6148167	34.287033	8.264258	0.0	0.0
