Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.32605267	0.024099868	0.417391	0.26272357	16000	-7.7299774e-08	0.06420375	-0.008380908	-0.060885992	1.3564423	0.0071364427	0.078125	127.0	39.24630331993103	0.10006207	0.047533315	0.19831832	0.035415776	0.0	0.0
1	500.0	0.10732017	0.051599346	0.2320322	-0.0072240345	32000	-5.5879354e-09	0.0042041666	-0.0065854066	-0.003675616	1.3564423	0.006164741	0.058312498	127.0	78.46137118339539	0.11275015	0.052952923	0.27524546	0.039609127	0.0	0.0
2	500.0	0.06420764	0.041740563	0.17321815	-0.039208926	48000	-4.4703484e-08	0.0012957519	-0.007552921	-0.0009549497	1.3564423	0.005825705	0.06487501	127.0	112.11303234100342	0.09999448	0.04151423	0.23019788	0.03597526	0.0	0.0
3	500.0	0.05266148	0.025382485	0.12366371	-0.04189049	64000	-1.3038516e-08	0.0007503572	-0.007866236	-0.0005265053	1.3564423	0.0045009195	0.06343751	127.0	145.00352787971497	0.11328766	0.05086124	0.28128713	0.043400694	0.0	0.0
4	500.0	0.041294944	0.015375359	0.09278432	-0.012362627	80000	0.0	0.00042488542	-0.008820708	-0.00020955275	1.3564423	0.007042656	0.073625	127.0	181.15077710151672	0.15567023	0.077493496	0.47401056	0.058608696	0.0	0.0
5	500.0	0.038945593	0.011946806	0.08150755	-0.01916365	96000	1.1175871e-08	0.00020927508	-0.010886911	-6.0267623e-05	1.3564423	0.009304104	0.097	127.0	214.63254761695862	0.16117802	0.06359171	0.33128566	0.0630184	0.0	0.0
6	500.0	0.044619374	0.0116014695	0.098442614	-0.0012709796	112000	-2.9802322e-08	0.004976344	-0.006310741	-0.0025210865	1.3564423	0.0068116984	0.0611875	127.0	250.2265694141388	0.418204	0.29526243	1.58724	0.10817469	0.0	0.0
7	500.0	0.08933934	0.030589288	0.15415573	0.008245595	128000	-7.450581e-09	0.004562727	-0.008862743	-0.002258548	1.3564423	0.006695452	0.078375	127.0	281.96129059791565	0.64109695	0.29475504	1.1733536	0.095790245	0.0	0.0
8	500.0	0.15096743	0.041182026	0.30570808	0.035602156	144000	1.8626451e-08	0.027731422	-0.007390389	-0.01664668	1.3564423	0.0060429834	0.071125	127.0	319.0133273601532	1.2639253	0.59270835	3.3018467	0.39442268	0.0	0.0
9	500.0	0.29534742	0.10781675	0.61872846	0.058677617	160000	-7.450581e-09	0.12735991	-0.005512703	-0.05378035	1.3564423	0.0065130917	0.0673125	127.0	356.29219460487366	1.7043815	1.5486493	8.449381	0.54298425	0.0	0.0
10	500.0	0.54790443	0.3326306	1.5875169	-0.14628066	176000	-9.313226e-09	0.6499933	-0.0067082574	-0.25707203	1.3564423	0.008554647	0.096499994	127.0	387.9485409259796	3.2402115	3.4502711	14.541136	0.54611534	0.0	0.0
11	500.0	1.0734065	0.86898834	3.3895493	-0.44208717	192000	2.2351742e-08	1.3203814	-0.0075365137	-0.6424473	1.3564423	0.00717208	0.082625	127.0	425.54037046432495	6.1910076	6.0579524	19.704704	0.53350353	0.0	0.0
12	500.0	2.0499268	1.5428077	5.392368	-1.062837	208000	-4.4703484e-08	1.1693456	-0.009225736	-0.27976117	1.3564423	0.007329599	0.0856875	127.0	463.67530512809753	7.6705008	6.621502	28.822487	0.5962719	0.0	0.0
13	500.0	2.3022878	2.0862594	6.6331325	-1.406703	224000	-7.450581e-09	1.069235	-0.009526968	-0.214468	1.3564423	0.008547912	0.0885625	127.0	495.84437251091003	9.739201	8.313737	31.832556	0.71459	0.0	0.0
14	500.0	3.801263	2.4812284	7.6767173	-1.5029308	240000	0.0	1.499443	-0.0098181	-0.25510865	1.3564423	0.0074377935	0.085	127.0	531.9262599945068	13.835424	6.9361343	25.728418	0.8495077	0.0	0.0
