Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.27077878	0.019528588	0.34523818	0.1988589	16000	2.4586916e-07	0.039256975	-0.009098873	-0.03715024	1.3564423	0.0072026993	0.080625	127.0	41.368765115737915	0.19330716	0.104388714	0.535528	0.07853926	0.0	0.0
1	500.0	0.091829084	0.038204554	0.21268407	0.0038827136	32000	-9.778887e-09	0.0027728607	-0.007018845	-0.0010283175	1.3564423	0.0065517807	0.056187503	127.0	75.32807612419128	0.2761029	0.23407803	1.3789793	0.054333802	0.0	0.0
2	500.0	0.098235965	0.0314615	0.18216339	0.0043007024	48000	-4.0978193e-08	0.0075940946	-0.006938989	-0.0025099488	1.3564423	0.00535795	0.06425	127.0	112.96288776397705	0.6042616	0.3720224	1.7741909	0.16728695	0.0	0.0
3	500.0	0.13162068	0.01992857	0.19136745	0.07710379	64000	1.4901161e-08	0.011494309	-0.0064876983	-0.0036650184	1.3564423	0.0071391677	0.0678125	127.0	150.37320613861084	0.75340176	0.53176767	2.12728	0.09068399	0.0	0.0
4	500.0	0.20554654	0.05415953	0.355136	0.076475635	80000	2.2351742e-08	0.08844243	-0.0063576507	-0.033759378	1.3564423	0.006577464	0.06175	127.0	189.76067090034485	1.6526848	1.1845359	5.126951	0.26946422	0.0	0.0
5	500.0	0.39673072	0.09631426	0.64542496	0.12962577	96000	2.2351742e-08	0.2778038	-0.006544921	-0.12324912	1.3564423	0.008219634	0.0825625	127.0	231.23992252349854	2.623271	2.3073351	9.973048	0.5750459	0.0	0.0
6	500.0	0.8560729	0.37329397	1.8875043	-0.11313528	112000	0.0	1.0034909	-0.006733032	-0.49912316	1.3564423	0.005768562	0.075125	127.0	268.603896856308	6.045601	3.8519428	15.1108885	0.6443278	0.0	0.0
7	500.0	1.8637031	0.7901405	3.6712544	-0.24162418	128000	7.450581e-09	1.3310425	-0.007996686	-0.41193306	1.3564423	0.0065227803	0.08925	127.0	306.6195561885834	8.779335	4.619554	17.305748	1.471664	0.0	0.0
8	500.0	2.5302458	1.1173168	4.419847	-0.3756031	144000	1.8626451e-08	1.5278018	-0.011029129	-0.52327156	1.3564423	0.008499438	0.1188125	127.0	341.23449993133545	12.426167	4.8983564	20.367847	1.616638	0.0	0.0
9	500.0	3.7806988	1.5517994	6.297601	-0.74977386	160000	1.4901161e-08	2.051127	-0.01097649	-0.4493832	1.3564423	0.008521449	0.096562505	127.0	377.0653655529022	17.545284	5.6626043	29.497475	3.004403	0.0	0.0
10	500.0	5.0049095	1.9208734	7.690054	-0.6010803	176000	0.0	1.7823092	-0.008256301	-0.2962517	1.3564423	0.0061802594	0.06325	127.0	414.9224934577942	18.867575	3.5673766	27.162666	10.182715	0.0	0.0
11	500.0	5.0754676	1.4582863	6.709241	0.19632398	192000	-2.2351742e-08	3.710836	-0.0061907806	-0.3092626	1.3564423	0.006132287	0.0605625	127.0	452.02672028541565	20.041016	7.343803	36.42659	9.2960615	0.0	0.0
12	500.0	4.9148116	1.27586	6.19083	0.6737826	208000	-2.8871e-08	1.7625791	-0.0061356616	-0.082984455	1.3564423	0.0035464785	0.0470625	127.0	488.37608766555786	21.302067	5.0378957	34.108505	8.936933	0.0	0.0
13	500.0	5.1908855	1.2333238	6.226539	0.558154	224000	-1.8626451e-08	1.5688486	-0.006812459	-0.10197844	1.3564423	0.0053658234	0.0505625	127.0	524.724371433258	20.729042	4.789275	31.941725	7.705528	0.0	0.0
14	500.0	5.12677	1.112104	6.0110235	0.96499795	240000	-7.450581e-09	3.102902	-0.0064348187	-0.11387506	1.3564423	0.0062622577	0.0576875	127.0	562.0033836364746	22.837986	6.854846	37.200455	14.022222	0.0	0.0
15	500.0	5.347702	0.9473483	5.950532	1.4428022	256000	8.381903e-09	0.98222333	-0.007496457	-0.19684207	1.3564423	0.006392991	0.0650625	127.0	616.1129515171051	21.388626	2.649538	28.588934	15.709325	0.0	0.0
16	500.0	5.038679	0.75182104	5.505151	1.6831673	272000	1.8626451e-08	3.3099494	-0.0066252407	-0.53975576	1.3564423	0.005570497	0.050499998	127.0	670.9580807685852	25.64839	6.0648212	42.932327	15.940599	0.0	0.0
17	500.0	5.677611	0.8570715	6.2121224	1.6975148	288000	1.8626451e-09	2.2474194	-0.0069081415	-0.08118274	1.3564423	0.0056958403	0.060250003	127.0	726.6551785469055	24.843403	5.90693	40.94654	16.589388	0.0	0.0
18	500.0	5.6987305	0.8847441	6.304189	1.3130169	304000	1.4901161e-08	2.2671785	-0.005963358	-0.25158554	1.3564423	0.0063208104	0.053875	127.0	766.8277697563171	26.986935	6.2883077	43.916798	19.22887	0.0	0.0
