Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.29767808	0.017169788	0.3763395	0.21286255	16000	-2.4586916e-07	0.04747379	-0.008757539	-0.044865515	1.3564423	0.0068016206	0.074625	127.0	56.111467361450195	0.20707409	0.14494832	0.72266024	0.046271432	0.0	0.0
1	500.0	0.104480654	0.042463094	0.22244541	0.0065195337	32000	1.3038516e-08	0.003516158	-0.0066117523	-0.0013004234	1.3564423	0.0067574913	0.0545625	127.0	94.78135514259338	0.30567303	0.25743502	1.3746256	0.056629088	0.0	0.0
2	500.0	0.09800337	0.031070314	0.17818546	0.009406891	48000	2.2351742e-08	0.005845447	-0.0062144594	-0.0012692634	1.3564423	0.005717827	0.063999996	127.0	132.08680987358093	0.4736724	0.35807782	1.6209451	0.08969475	0.0	0.0
3	500.0	0.117318444	0.022747237	0.17948599	0.051725667	64000	-2.9802322e-08	0.0077778636	-0.0058227303	-0.0018889485	1.3564423	0.0073156105	0.061499998	127.0	167.57303094863892	0.6425749	0.44502312	1.9949096	0.18153003	0.0	0.0
4	500.0	0.16459501	0.029108373	0.23734903	0.07353114	80000	-5.2154064e-08	0.146757	-0.006025329	-0.06426698	1.3564423	0.0077105677	0.0555	127.0	201.85034370422363	1.9492149	1.469278	6.820567	0.5569132	0.0	0.0
5	500.0	0.40402174	0.077501155	0.58655417	0.15249492	96000	7.450581e-09	0.11014485	-0.007017082	-0.027907452	1.3564423	0.0067347325	0.07025	127.0	239.04305601119995	1.9530385	1.5019621	8.430079	0.3948931	0.0	0.0
6	500.0	0.5343079	0.19526282	1.0066981	0.016344953	112000	1.4901161e-08	1.0869797	-0.005881592	-0.53757524	1.3564423	0.0056090364	0.062312495	127.0	294.9766776561737	5.198629	3.6992142	13.9945755	0.9816459	0.0	0.0
7	500.0	1.3602027	0.5979034	2.7583048	-0.12739645	128000	-2.9802322e-08	3.0932572	-0.0072524664	-1.3139515	1.3564423	0.006232979	0.0733125	127.0	351.28980255126953	9.870485	6.565636	24.942802	1.6895633	0.0	0.0
8	500.0	2.5924375	1.1861178	4.683533	-0.047033418	144000	-2.6077032e-08	2.9896507	-0.008497394	-1.4703279	1.3564423	0.007079712	0.0846875	127.0	395.2932529449463	14.726574	5.928731	27.528734	3.967506	0.0	0.0
9	500.0	4.1204705	1.7707195	6.7264695	-0.57756996	160000	-1.4901161e-08	2.1581645	-0.008750742	-0.49827975	1.3564423	0.007345627	0.0884375	127.0	438.51461124420166	18.787165	6.0633044	34.84282	8.2747135	0.0	0.0
