Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.32675275	0.023744544	0.4146638	0.27064398	16000	-6.35162e-07	0.06473859	-0.0087798815	-0.061406083	1.3564423	0.0073575685	0.0824375	127.0	56.37723207473755	0.10013441	0.04669032	0.20393932	0.040474787	0.0	0.0
1	500.0	0.1069093	0.051493242	0.23336405	-0.0118980035	32000	3.9115548e-08	0.004203043	-0.0063309046	-0.0036637275	1.3564423	0.0059886873	0.054937497	127.0	97.4289619922638	0.113029286	0.055773947	0.26103958	0.038001895	0.0	0.0
2	500.0	0.0642662	0.040437452	0.17489526	-0.022013146	48000	4.8428774e-08	0.0012913655	-0.0073892716	-0.0009180134	1.3564423	0.0057863956	0.0635625	127.0	138.1218204498291	0.11709548	0.051453825	0.25330982	0.0498242	0.0	0.0
3	500.0	0.052889597	0.022962656	0.12195152	-0.029235834	64000	1.4901161e-08	0.00067260896	-0.008226916	-0.0004373963	1.3564423	0.0045426963	0.058937497	127.0	176.1128101348877	0.13641673	0.06291252	0.28224272	0.043996613	0.0	0.0
4	500.0	0.045386814	0.013313603	0.097539425	-0.0031310506	80000	1.4901161e-08	0.00051066047	-0.009317266	-0.00024510064	1.3564423	0.0075135827	0.076000005	127.0	214.47336339950562	0.21419337	0.09108562	0.49966905	0.07605112	0.0	0.0
5	500.0	0.047870595	0.01388352	0.09570891	-0.008234866	96000	1.6763806e-08	0.00046991697	-0.010385267	-4.065397e-05	1.3564423	0.008731377	0.09225	127.0	260.07553243637085	0.23538521	0.121588275	0.6412768	0.07779557	0.0	0.0
6	500.0	0.061587654	0.013967364	0.104608245	0.008436214	112000	-9.313226e-09	0.023064358	-0.0055352366	-0.011413738	1.3564423	0.0065113623	0.054624997	127.0	306.3315601348877	0.7410298	0.56005645	2.9909532	0.14150666	0.0	0.0
7	500.0	0.17031513	0.05638586	0.28585523	0.011980575	128000	-2.2351742e-08	0.09886824	-0.0067778532	-0.046187118	1.3564423	0.00601252	0.0636875	127.0	364.7824330329895	1.5803221	1.0878757	4.152336	0.11930186	0.0	0.0
8	500.0	0.4086352	0.16021782	0.76733303	-0.06962007	144000	1.1175871e-08	0.41692415	-0.0048819315	-0.23223494	1.3564423	0.005540942	0.05375	127.0	403.85953736305237	3.567093	1.9406431	9.333269	0.7347932	0.0	0.0
9	500.0	0.8927948	0.40814695	1.6659132	-0.32513365	160000	-2.2351742e-08	1.3505181	-0.006489869	-0.54517317	1.3564423	0.00808006	0.0818125	127.0	451.3539161682129	5.676029	4.739981	20.156693	1.38559	0.0	0.0
10	500.0	1.8134416	0.976652	3.7417192	-0.639646	176000	-9.313226e-09	1.8665247	-0.0073275156	-0.9659686	1.3564423	0.00771058	0.0880625	127.0	495.9747817516327	10.597467	3.9160643	18.185925	3.1546347	0.0	0.0
